['1', '161', '321', '481', '561', '721', '151', '711', '471', '311']
['2', '82', '162', '242', '322', '402', '482', '562', '642', '722']
['3', '83', '163', '243', '323', '403', '483', '563', '643', '723']
['4', '84', '164', '244', '324', '404', '484', '564', '644', '724']
['5', '85', '165', '245', '325', '405', '485', '565', '645', '725']
['6', '86', '166', '246', '326', '406', '486', '566', '646', '726']
['7', '87', '167', '247', '327', '407', '487', '567', '647', '727']
['8', '88', '168', '248', '328', '408', '488', '568', '648', '728']
['9', '89', '169', '249', '329', '409', '489', '569', '649', '729']
['90', '170', '250', '330', '410', '490', '570', '650', '730', '171']
['11', '91', '251', '411', '491', '651', '641', '401', '10', '241']
['12', '92', '172', '252', '332', '412', '492', '572', '652', '732']
['13', '93', '173', '253', '333', '413', '493', '573', '653', '733']
['14', '94', '174', '254', '334', '414', '494', '574', '654', '734']
['15', '95', '175', '255', '335', '415', '495', '575', '655', '735']
['16', '96', '176', '256', '336', '416', '496', '576', '656', '736']
['17', '97', '177', '257', '337', '417', '497', '577', '657', '737']
['18', '98', '178', '258', '338', '418', '498', '578', '658', '738']
['19', '99', '179', '259', '339', '419', '499', '579', '659', '739']
['20', '180', '260', '340', '420', '500', '580', '660', '740', '661']
['101', '181', '341', '421', '581', '741', '571', '331', '100', '731']
['22', '102', '182', '262', '342', '422', '502', '582', '662', '742']
['23', '103', '183', '263', '343', '423', '503', '583', '663', '743']
['24', '104', '184', '264', '344', '424', '504', '584', '664', '744']
['25', '105', '185', '265', '345', '425', '505', '585', '665', '745']
['26', '106', '186', '266', '346', '426', '506', '586', '666', '746']
['27', '107', '187', '267', '347', '427', '507', '587', '667', '747']
['28', '108', '188', '268', '348', '428', '508', '588', '668', '748']
['29', '109', '189', '269', '349', '429', '509', '589', '669', '749']
['30', '110', '190', '270', '350', '430', '510', '590', '750']
['31', '111', '271', '351', '511', '671', '501', '261', '21', '670']
['32', '112', '192', '272', '352', '432', '512', '592', '672', '752']
['33', '113', '193', '273', '353', '433', '513', '593', '673', '753']
['34', '114', '194', '274', '354', '434', '514', '594', '674', '754']
['35', '115', '195', '275', '355', '435', '515', '595', '675', '755']
['36', '116', '196', '276', '356', '436', '516', '596', '676', '756']
['37', '117', '197', '277', '357', '437', '517', '597', '677', '757']
['38', '118', '198', '278', '358', '438', '518', '598', '678', '758']
['39', '119', '199', '279', '359', '439', '519', '599', '679', '759']
['40', '120', '200', '280', '360', '440', '520', '600', '680', '760']
['41', '201', '281', '441', '601', '761', '431', '191', '751', '591']
['42', '122', '202', '282', '362', '442', '522', '602', '682', '762']
['43', '123', '203', '283', '363', '443', '523', '603', '683', '763']
['44', '124', '204', '284', '364', '444', '524', '604', '684', '764']
['45', '125', '205', '285', '365', '445', '525', '605', '685', '765']
['46', '126', '206', '286', '366', '446', '526', '606', '686', '766']
['47', '127', '207', '287', '367', '447', '527', '607', '687', '767']
['48', '128', '208', '288', '368', '448', '528', '608', '688', '768']
['49', '129', '209', '289', '369', '449', '529', '609', '689', '769']
['50', '130', '210', '290', '370', '450', '530', '610', '690', '770']
['131', '211', '371', '531', '691', '771', '361', '121', '681', '521']
['52', '132', '212', '292', '372', '452', '532', '612', '692', '772']
['53', '133', '213', '293', '373', '453', '533', '613', '693', '773']
['54', '134', '214', '294', '374', '454', '534', '614', '694', '774']
['55', '135', '215', '295', '375', '455', '535', '615', '695', '775']
['56', '136', '216', '296', '376', '456', '536', '616', '696', '776']
['57', '137', '217', '297', '377', '457', '537', '617', '697', '777']
['58', '138', '218', '298', '378', '458', '538', '618', '698', '778']
['59', '139', '219', '299', '379', '459', '539', '619', '699', '779']
['60', '140', '220', '300', '380', '460', '540', '620', '700', '780']
['61', '141', '301', '461', '621', '701', '291', '51', '611', '451']
['62', '142', '222', '302', '382', '462', '542', '622', '702', '782']
['63', '143', '223', '303', '383', '463', '543', '623', '703', '783']
['64', '144', '224', '304', '384', '464', '544', '624', '704', '784']
['65', '145', '225', '305', '385', '465', '545', '625', '705', '785']
['66', '146', '226', '306', '386', '466', '546', '626', '706', '786']
['67', '147', '227', '307', '387', '467', '547', '627', '707', '787']
['68', '148', '228', '308', '388', '468', '548', '628', '708', '788']
['69', '149', '229', '309', '389', '469', '549', '629', '709', '789']
['70', '150', '230', '310', '390', '470', '550', '630', '710', '790']
['71', '231', '391', '551', '631', '791', '221', '781', '541', '381']
['72', '152', '232', '312', '392', '472', '552', '632', '712', '792']
['73', '153', '233', '313', '393', '473', '553', '633', '713', '793']
['74', '154', '234', '314', '394', '474', '554', '634', '714', '794']
['75', '155', '235', '315', '395', '475', '555', '635', '715', '795']
['76', '156', '236', '316', '396', '476', '556', '636', '716', '796']
['77', '157', '237', '317', '397', '477', '557', '637', '717', '797']
['78', '158', '238', '318', '398', '478', '558', '638', '718', '798']
['79', '159', '239', '319', '399', '479', '559', '639', '719', '799']
['80', '160', '240', '320', '400', '480', '560', '640', '720', '81']
