['A0', 'E83', 'D83']
['B0', 'H41', 'F83']
['C0', 'A42', 'G83']
['D0', 'B42', 'H83']
['E0', 'C42', 'A84']
['F0', 'D42', 'B84']
['G0', 'E42', 'C84']
['H0', 'F42', 'D84']
['A1', 'G42', 'E84']
['B1', 'H42', 'F84']
['C1', 'A43', 'G84']
['D1', 'B43', 'H84']
['E1', 'C43', 'A85']
['F1', 'D43', 'B85']
['G1', 'E43', 'C85']
['H1', 'F43', 'D85']
['A2', 'G43', 'E85']
['B2', 'H43', 'F85']
['C2', 'A44', 'G85']
['D2', 'B44', 'H85']
['E2', 'C44', 'A86']
['F2', 'D44', 'B86']
['G2', 'E44', 'C86']
['H2', 'F44', 'D86']
['A3', 'G44', 'E86']
['B3', 'H44', 'F86']
['C3', 'A45', 'G86']
['D3', 'B45', 'H86']
['E3', 'C45', 'A87']
['F3', 'D45', 'B87']
['G3', 'E45', 'C87']
['H3', 'F45', 'D87']
['A4', 'G45', 'E87']
['B4', 'H45', 'F87']
['C4', 'A46', 'G87']
['D4', 'B46', 'H87']
['E4', 'C46', 'A88']
['F4', 'D46', 'B88']
['G4', 'E46', 'C88']
['H4', 'F46', 'D88']
['A5', 'G46', 'E88']
['B5', 'H46', 'F88']
['C5', 'A47', 'G88']
['D5', 'B47', 'H88']
['E5', 'C47', 'A89']
['F5', 'D47', 'B89']
['G5', 'E47', 'C89']
['H5', 'F47', 'D89']
['A6', 'G47', 'E89']
['B6', 'H47', 'F89']
['C6', 'A48', 'G89']
['D6', 'B48', 'H89']
['E6', 'C48', 'A90']
['F6', 'D48', 'B90']
['G6', 'E48', 'C90']
['H6', 'F48', 'D90']
['A7', 'G48', 'E90']
['B7', 'H48', 'F90']
['C7', 'A49', 'G90']
['D7', 'B49', 'H90']
['E7', 'C49', 'A91']
['F7', 'D49', 'B91']
['G7', 'E49', 'C91']
['H7', 'F49', 'D91']
['A8', 'G49', 'E91']
['B8', 'H49', 'F91']
['C8', 'A50', 'G91']
['D8', 'B50', 'H91']
['E8', 'C50', 'A92']
['F8', 'D50', 'B92']
['G8', 'E50', 'C92']
['H8', 'F50', 'D92']
['A9', 'G50', 'E92']
['B9', 'H50', 'F92']
['C9', 'A51', 'G92']
['D9', 'B51', 'H92']
['E9', 'C51', 'A93']
['F9', 'D51', 'B93']
['G9', 'E51', 'C93']
['H9', 'F51', 'D93']
['A10', 'G51', 'E93']
['B10', 'H51', 'F93']
['C10', 'A52', 'G93']
['D10', 'B52', 'H93']
['E10', 'C52', 'A94']
['F10', 'D52', 'B94']
['G10', 'E52', 'C94']
['H10', 'F52', 'D94']
['A11', 'G52', 'E94']
['B11', 'H52', 'F94']
['C11', 'A53', 'G94']
['D11', 'B53', 'H94']
['E11', 'C53', 'A95']
['F11', 'D53', 'B95']
['G11', 'E53', 'C95']
['H11', 'F53', 'D95']
['A12', 'G53', 'E95']
['B12', 'H53', 'F95']
['C12', 'A54', 'G95']
['D12', 'B54', 'H95']
['E12', 'C54', 'A96']
['F12', 'D54', 'B96']
['G12', 'E54', 'C96']
['H12', 'F54', 'D96']
['A13', 'G54', 'E96']
['B13', 'H54', 'F96']
['C13', 'A55', 'G96']
['D13', 'B55', 'H96']
['E13', 'C55', 'A97']
['F13', 'D55', 'B97']
['G13', 'E55', 'C97']
['H13', 'F55', 'D97']
['A14', 'G55', 'E97']
['B14', 'H55', 'F97']
['C14', 'A56', 'G97']
['D14', 'B56', 'H97']
['E14', 'C56', 'A98']
['F14', 'D56', 'B98']
['G14', 'E56', 'C98']
['H14', 'F56', 'D98']
['A15', 'G56', 'E98']
['B15', 'H56', 'F98']
['C15', 'A57', 'G98']
['D15', 'B57', 'H98']
['E15', 'C57', 'A99']
['F15', 'D57', 'B99']
['G15', 'E57', 'C99']
['H15', 'F57', 'D99']
['A16', 'G57', 'E99']
['B16', 'H57', 'F99']
['C16', 'A58', 'G99']
['D16', 'B58', 'H99']
['E16', 'C58', 'A100']
['F16', 'D58', 'B100']
['G16', 'E58', 'C100']
['H16', 'F58', 'D100']
['A17', 'G58', 'E100']
['B17', 'H58', 'F100']
['C17', 'A59', 'G100']
['D17', 'B59', 'H100']
['E17', 'C59', 'A101']
['F17', 'D59', 'B101']
['G17', 'E59', 'C101']
['H17', 'F59', 'D101']
['A18', 'G59', 'E101']
['B18', 'H59', 'F101']
['C18', 'A60', 'G101']
['D18', 'B60', 'H101']
['E18', 'C60', 'A102']
['F18', 'D60', 'B102']
['G18', 'E60', 'C102']
['H18', 'F60', 'D102']
['A19', 'G60', 'E102']
['B19', 'H60', 'F102']
['C19', 'A61', 'G102']
['D19', 'B61', 'H102']
['E19', 'C61', 'A103']
['F19', 'D61', 'B103']
['G19', 'E61', 'C103']
['H19', 'F61', 'D103']
['A20', 'G61', 'E103']
['B20', 'H61', 'F103']
['C20', 'A62', 'G103']
['D20', 'B62', 'H103']
['E20', 'C62', 'A104']
['F20', 'D62', 'B104']
['G20', 'E62', 'C104']
['H20', 'F62', 'D104']
['A21', 'G62', 'E104']
['B21', 'H62', 'F104']
['C21', 'A63', 'G104']
['D21', 'B63', 'H104']
['E21', 'C63', 'A105']
['F21', 'D63', 'B105']
['G21', 'E63', 'C105']
['H21', 'F63', 'D105']
['A22', 'G63', 'E105']
['B22', 'H63', 'F105']
['C22', 'A64', 'G105']
['D22', 'B64', 'H105']
['E22', 'C64', 'A106']
['F22', 'D64', 'B106']
['G22', 'E64', 'C106']
['H22', 'F64', 'D106']
['A23', 'G64', 'E106']
['B23', 'H64', 'F106']
['C23', 'A65', 'G106']
['D23', 'B65', 'H106']
['E23', 'C65', 'A107']
['F23', 'D65', 'B107']
['G23', 'E65', 'C107']
['H23', 'F65', 'D107']
['A24', 'G65', 'E107']
['B24', 'H65', 'F107']
['C24', 'A66', 'G107']
['D24', 'B66', 'H107']
['E24', 'C66', 'A108']
['F24', 'D66', 'B108']
['G24', 'E66', 'C108']
['H24', 'F66', 'D108']
['A25', 'G66', 'E108']
['B25', 'H66', 'F108']
['C25', 'A67', 'G108']
['D25', 'B67', 'H108']
['E25', 'C67', 'A109']
['F25', 'D67', 'B109']
['G25', 'E67', 'C109']
['H25', 'F67', 'D109']
['A26', 'G67', 'E109']
['B26', 'H67', 'F109']
['C26', 'A68', 'G109']
['D26', 'B68', 'H109']
['E26', 'C68', 'A110']
['F26', 'D68', 'B110']
['G26', 'E68', 'C110']
['H26', 'F68', 'D110']
['A27', 'G68', 'E110']
['B27', 'H68', 'F110']
['C27', 'A69', 'G110']
['D27', 'B69', 'H110']
['E27', 'C69', 'A111']
['F27', 'D69', 'B111']
['G27', 'E69', 'C111']
['H27', 'F69', 'D111']
['A28', 'G69', 'E111']
['B28', 'H69', 'F111']
['C28', 'A70', 'G111']
['D28', 'B70', 'H111']
['E28', 'C70', 'A112']
['F28', 'D70', 'B112']
['G28', 'E70', 'C112']
['H28', 'F70', 'D112']
['A29', 'G70', 'E112']
['B29', 'H70', 'F112']
['C29', 'A71', 'G112']
['D29', 'B71', 'H112']
['E29', 'C71', 'A113']
['F29', 'D71', 'B113']
['G29', 'E71', 'C113']
['H29', 'F71', 'D113']
['A30', 'G71', 'E113']
['B30', 'H71', 'F113']
['C30', 'A72', 'G113']
['D30', 'B72', 'H113']
['E30', 'C72', 'A114']
['F30', 'D72', 'B114']
['G30', 'E72', 'C114']
['H30', 'F72', 'D114']
['A31', 'G72', 'E114']
