['1', '78', '155', '232', '309', '463', '540', '617', '694', '771', '848', '925', '474']
['2', '79', '156', '233', '310', '464', '618', '695', '772', '926', '395', '555', '920']
['3', '80', '157', '234', '311', '388', '465', '542', '619', '773', '850', '927', '707']
['4', '81', '158', '235', '312', '389', '466', '543', '620', '697', '774', '851', '928']
['5', '82', '313', '390', '467', '544', '698', '775', '852', '929', '167', '244', '635']
['6', '83', '160', '237', '391', '468', '545', '622', '699', '930', '325', '787', '861']
['7', '161', '238', '315', '392', '469', '623', '700', '854', '931', '93', '554', '849']
['8', '85', '162', '239', '316', '393', '470', '547', '624', '701', '778', '855', '932']
['9', '86', '163', '240', '317', '394', '471', '548', '625', '702', '779', '856', '941']
['10', '87', '164', '241', '318', '472', '549', '626', '703', '780', '857', '934', '412']
['11', '88', '165', '242', '319', '396', '473', '550', '627', '704', '781', '858', '935']
['89', '166', '243', '320', '397', '551', '628', '705', '782', '859', '936', '21', '546']
['13', '90', '321', '398', '552', '629', '783', '860', '937', '182', '252', '492', '777']
['14', '91', '168', '245', '322', '399', '476', '553', '630', '784', '938', '715', '875']
['15', '92', '169', '246', '323', '400', '477', '631', '708', '785', '862', '939', '573']
['16', '170', '247', '324', '401', '478', '632', '709', '786', '863', '940', '102', '572']
['17', '94', '171', '248', '402', '479', '556', '633', '710', '864', '333', '795', '955']
['18', '95', '172', '249', '326', '403', '480', '557', '634', '711', '788', '865', '959']
['19', '96', '173', '250', '327', '404', '481', '558', '712', '789', '866', '943', '652']
['20', '97', '174', '251', '328', '405', '482', '559', '636', '713', '790', '867', '944']
['98', '175', '329', '406', '483', '560', '637', '714', '791', '868', '945', '30', '260']
['99', '176', '253', '330', '407', '484', '561', '638', '792', '869', '946', '732', '31']
['23', '100', '177', '254', '331', '408', '485', '562', '639', '716', '793', '870', '947']
['24', '101', '178', '255', '332', '409', '486', '563', '640', '717', '794', '871', '948']
['25', '179', '256', '410', '487', '564', '641', '718', '872', '949', '111', '341', '809']
['26', '103', '180', '257', '334', '411', '488', '565', '642', '719', '796', '873', '950']
['27', '104', '181', '258', '335', '489', '566', '643', '720', '797', '874', '951', '426']
['28', '105', '259', '336', '413', '490', '567', '721', '798', '952', '190', '889', '706']
['29', '106', '183', '337', '414', '491', '568', '645', '722', '799', '876', '953', '271']
['107', '184', '261', '338', '415', '569', '646', '723', '800', '877', '954', '39', '506']
['108', '185', '262', '339', '416', '493', '570', '647', '724', '801', '878', '1000', '40']
['32', '109', '186', '263', '340', '417', '494', '571', '648', '725', '802', '879', '956']
['33', '110', '187', '264', '418', '495', '649', '726', '803', '880', '957', '355', '586']
['34', '188', '265', '342', '419', '496', '650', '727', '804', '881', '958', '120', '644']
['35', '112', '189', '266', '343', '420', '497', '574', '651', '728', '805', '882', '973']
['36', '113', '267', '344', '421', '498', '575', '729', '806', '883', '960', '198', '666']
['37', '114', '268', '345', '422', '499', '576', '653', '730', '807', '884', '961', '199']
['38', '115', '192', '269', '346', '423', '500', '577', '654', '731', '808', '885', '962']
['116', '193', '347', '424', '501', '578', '655', '886', '963', '48', '746', '817', '288']
['117', '194', '348', '425', '502', '579', '656', '733', '810', '887', '964', '279', '49']
['41', '118', '195', '272', '349', '503', '580', '657', '734', '811', '888', '965', '434']
['42', '196', '273', '350', '427', '504', '581', '658', '735', '812', '966', '897', '191']
['43', '197', '274', '351', '428', '505', '582', '659', '736', '813', '890', '967', '132']
['44', '121', '275', '352', '429', '583', '660', '737', '814', '891', '968', '213', '514']
['45', '122', '276', '353', '430', '507', '584', '661', '738', '815', '892', '969', '222']
['46', '123', '200', '277', '431', '508', '585', '662', '739', '816', '893', '970', '365']
['47', '124', '201', '278', '432', '509', '663', '740', '894', '971', '376', '594', '831']
['125', '202', '356', '433', '510', '587', '664', '741', '818', '895', '972', '57', '287']
['126', '203', '280', '357', '511', '588', '665', '742', '819', '896', '445', '67', '987']
['50', '127', '204', '281', '358', '435', '512', '589', '743', '820', '974', '674', '911']
['51', '128', '205', '282', '359', '436', '513', '590', '667', '744', '821', '898', '975']
['52', '129', '206', '283', '360', '437', '591', '668', '745', '822', '899', '976', '525']
['53', '130', '207', '284', '361', '438', '515', '592', '669', '823', '900', '977', '760']
['54', '131', '208', '285', '362', '439', '516', '593', '670', '747', '824', '901', '978']
['55', '209', '286', '363', '440', '517', '671', '748', '825', '902', '979', '147', '605']
['56', '133', '210', '364', '441', '518', '595', '672', '749', '826', '903', '980', '298']
['134', '211', '442', '519', '596', '673', '750', '827', '904', '981', '66', '354', '386']
['58', '135', '212', '289', '366', '443', '520', '597', '751', '828', '905', '982', '688']
['59', '136', '290', '367', '444', '521', '598', '675', '752', '829', '906', '983', '221']
['60', '137', '214', '291', '368', '522', '599', '676', '753', '830', '907', '984', '453']
['61', '138', '215', '292', '369', '446', '523', '600', '677', '754', '908', '985', '839']
['62', '139', '216', '293', '370', '447', '524', '601', '678', '755', '832', '909', '986']
['63', '140', '217', '294', '371', '448', '602', '679', '756', '833', '910', '533']
['64', '141', '218', '295', '372', '449', '526', '603', '680', '757', '834', '988', '919']
['65', '142', '219', '296', '373', '450', '527', '604', '681', '758', '835', '912', '989']
['143', '220', '297', '374', '451', '528', '682', '759', '836', '913', '990', '75', '613']
['144', '375', '452', '529', '606', '683', '837', '914', '991', '236', '306', '768', '119']
['68', '145', '299', '530', '607', '684', '761', '838', '915', '992', '387', '461', '270']
['69', '146', '223', '300', '377', '454', '531', '608', '685', '762', '916', '993', '853']
['70', '224', '301', '378', '455', '532', '609', '686', '763', '840', '917', '994', '159']
['71', '148', '225', '302', '379', '456', '610', '687', '764', '841', '918', '995', '541']
['72', '149', '226', '303', '380', '457', '534', '611', '765', '842', '996', '696', '933']
['73', '150', '227', '304', '381', '458', '535', '612', '689', '766', '843', '997', '942']
['74', '151', '228', '305', '382', '459', '536', '690', '767', '844', '921', '998', '621']
['152', '229', '383', '460', '537', '614', '691', '845', '922', '999', '84', '314', '776']
['76', '153', '230', '307', '384', '538', '615', '692', '769', '846', '923', '475', '22']
['77', '154', '231', '308', '385', '462', '539', '616', '693', '770', '847', '924', '12']
