['0', '120', '240', '360', '480', '600']
['1', '121', '241', '361', '481', '601']
['2', '122', '242', '362', '482', '602']
['3', '123', '243', '363', '483', '603']
['4', '124', '244', '364', '484', '604']
['5', '125', '245', '365', '485', '605']
['6', '126', '246', '366', '486', '606']
['7', '127', '247', '367', '487', '607']
['8', '128', '248', '368', '488', '608']
['9', '129', '249', '369', '489', '609']
['10', '130', '250', '370', '490', '610']
['11', '131', '251', '371', '491', '611']
['12', '132', '252', '372', '492', '612']
['13', '133', '253', '373', '493', '613']
['14', '134', '254', '374', '494', '614']
['15', '135', '255', '375', '495', '615']
['16', '136', '256', '376', '496', '616']
['17', '137', '257', '377', '497', '617']
['18', '138', '258', '378', '498', '618']
['19', '139', '259', '379', '499', '619']
['20', '140', '260', '380', '500', '620']
['21', '141', '261', '381', '501', '621']
['22', '142', '262', '382', '502', '622']
['23', '143', '263', '383', '503', '623']
['24', '144', '264', '384', '504', '624']
['25', '145', '265', '385', '505', '625']
['26', '146', '266', '386', '506', '626']
['27', '147', '267', '387', '507', '627']
['28', '148', '268', '388', '508', '628']
['29', '149', '269', '389', '509', '629']
['30', '150', '270', '390', '510', '630']
['31', '151', '271', '391', '511', '631']
['32', '152', '272', '392', '512', '632']
['33', '153', '273', '393', '513', '633']
['34', '154', '274', '394', '514', '634']
['35', '155', '275', '395', '515', '635']
['36', '156', '276', '396', '516', '636']
['37', '157', '277', '397', '517', '637']
['38', '158', '278', '398', '518', '638']
['39', '159', '279', '399', '519', '639']
['40', '160', '280', '400', '520', '640']
['41', '161', '281', '401', '521', '641']
['42', '162', '282', '402', '522', '642']
['43', '163', '283', '403', '523', '643']
['44', '164', '284', '404', '524', '644']
['45', '165', '285', '405', '525', '645']
['46', '166', '286', '406', '526', '646']
['47', '167', '287', '407', '527', '647']
['48', '168', '288', '408', '528', '648']
['49', '169', '289', '409', '529', '649']
['50', '170', '290', '410', '530', '650']
['51', '171', '291', '411', '531', '651']
['52', '172', '292', '412', '532', '652']
['53', '173', '293', '413', '533', '653']
['54', '174', '294', '414', '534', '654']
['55', '175', '295', '415', '535', '655']
['56', '176', '296', '416', '536', '656']
['57', '177', '297', '417', '537', '657']
['58', '178', '298', '418', '538', '658']
['59', '179', '299', '419', '539', '659']
['60', '180', '300', '420', '540', '660']
['61', '181', '301', '421', '541', '661']
['62', '182', '302', '422', '542', '662']
['63', '183', '303', '423', '543', '663']
['64', '184', '304', '424', '544', '664']
['65', '185', '305', '425', '545', '665']
['66', '186', '306', '426', '546', '666']
['67', '187', '307', '427', '547', '667']
['68', '188', '308', '428', '548', '668']
['69', '189', '309', '429', '549', '669']
['70', '190', '310', '430', '550', '670']
['71', '191', '311', '431', '551', '671']
['72', '192', '312', '432', '552', '672']
['73', '193', '313', '433', '553', '673']
['74', '194', '314', '434', '554', '674']
['75', '195', '315', '435', '555', '675']
['76', '196', '316', '436', '556', '676']
['77', '197', '317', '437', '557', '677']
['78', '198', '318', '438', '558', '678']
['79', '199', '319', '439', '559', '679']
['80', '200', '320', '440', '560', '680']
['81', '201', '321', '441', '561', '687']
['82', '202', '322', '442', '562', '688']
['83', '203', '323', '443', '563', '689']
['84', '204', '324', '444', '564', '690']
['85', '205', '325', '445', '565', '681']
['86', '206', '326', '446', '566', '682']
['87', '207', '327', '447', '567', '683']
['88', '208', '328', '448', '568', '684']
['89', '209', '329', '449', '569', '685']
['90', '210', '330', '450', '570', '686']
['91', '211', '331', '451', '571', '691']
['92', '212', '332', '452', '572', '692']
['93', '213', '333', '453', '573', '693']
['94', '214', '334', '454', '574', '694']
['95', '215', '335', '455', '575', '695']
['96', '216', '336', '456', '576', '696']
['97', '217', '337', '457', '577', '697']
['98', '218', '338', '458', '578', '698']
['99', '219', '339', '459', '579', '699']
['100', '220', '340', '460', '580', '700']
['101', '221', '341', '461', '581', '701']
['102', '222', '342', '462', '582', '703']
['103', '223', '343', '463', '583', '702']
['104', '224', '344', '464', '584', '704']
['105', '225', '345', '465', '585', '707']
['106', '226', '346', '466', '586', '705']
['107', '227', '347', '467', '587', '706']
['108', '228', '348', '468', '588', '708']
['109', '229', '349', '469', '589', '709']
['110', '230', '350', '470', '590', '710']
['111', '231', '351', '471', '591', '711']
['112', '232', '352', '472', '592', '712']
['113', '233', '353', '473', '593', '713']
['114', '234', '354', '474', '594', '714']
['115', '235', '355', '475', '595', '715']
['116', '236', '356', '476', '596', '716']
['117', '237', '357', '477', '597', '717']
['118', '238', '358', '478', '598', '718']
['119', '239', '359', '479', '599', '719']
