['0', '25', '50', '75', '100', '125', '150', '175', '200', '225', '250', '275', '300', '325', '350', '375', '400', '425', '450', '475', '500', '525', '550', '575', '600', '625', '650', '675', '700', '725', '750', '775']
['1', '26', '51', '76', '101', '126', '151', '176', '201', '226', '251', '276', '301', '326', '351', '376', '401', '426', '451', '476', '501', '526', '551', '576', '601', '626', '651', '676', '701', '726', '751', '776']
['2', '27', '52', '77', '102', '127', '152', '177', '202', '227', '252', '277', '302', '327', '352', '377', '402', '427', '452', '477', '502', '527', '552', '577', '602', '627', '652', '677', '702', '727', '752', '777']
['3', '28', '53', '78', '103', '128', '153', '178', '203', '228', '253', '278', '303', '328', '353', '378', '403', '428', '453', '478', '503', '528', '553', '578', '603', '628', '653', '678', '703', '728', '753', '778']
['4', '29', '54', '79', '104', '129', '154', '179', '204', '229', '254', '279', '304', '329', '354', '379', '404', '429', '454', '479', '504', '529', '554', '579', '604', '629', '654', '679', '704', '729', '754', '779']
['5', '30', '55', '80', '105', '130', '155', '180', '205', '230', '255', '280', '305', '330', '355', '380', '405', '430', '455', '480', '505', '530', '555', '580', '605', '630', '655', '680', '705', '730', '755', '780']
['6', '31', '56', '81', '106', '131', '156', '181', '206', '231', '256', '281', '306', '331', '356', '381', '406', '431', '456', '481', '506', '531', '556', '581', '606', '631', '656', '681', '706', '731', '756', '781']
['7', '32', '57', '82', '107', '132', '157', '182', '207', '232', '257', '282', '307', '332', '357', '382', '407', '432', '457', '482', '507', '532', '557', '582', '607', '632', '657', '682', '707', '732', '757', '782']
['8', '33', '58', '83', '108', '133', '158', '183', '208', '233', '258', '283', '308', '333', '358', '383', '408', '433', '458', '483', '508', '533', '558', '583', '608', '633', '658', '683', '708', '733', '758', '783']
['9', '34', '59', '84', '109', '134', '159', '184', '209', '234', '259', '284', '309', '334', '359', '384', '409', '434', '459', '484', '509', '534', '559', '584', '609', '634', '659', '684', '709', '734', '759', '784']
['10', '35', '60', '85', '110', '135', '160', '185', '210', '235', '260', '285', '310', '335', '360', '385', '410', '435', '460', '485', '510', '535', '560', '585', '610', '635', '660', '685', '710', '735', '760', '785']
['11', '36', '61', '86', '111', '136', '161', '186', '211', '236', '261', '286', '311', '336', '361', '386', '411', '436', '461', '486', '511', '536', '561', '586', '611', '636', '661', '686', '711', '736', '761', '786']
['12', '37', '62', '87', '112', '137', '162', '187', '212', '237', '262', '287', '312', '337', '362', '387', '412', '437', '462', '487', '512', '537', '562', '587', '612', '637', '662', '687', '712', '737', '762', '787']
['13', '38', '63', '88', '113', '138', '163', '188', '213', '238', '263', '288', '313', '338', '363', '388', '413', '438', '463', '488', '513', '538', '563', '588', '613', '638', '663', '688', '713', '738', '763', '788']
['14', '39', '64', '89', '114', '139', '164', '189', '214', '239', '264', '289', '314', '339', '364', '389', '414', '439', '464', '489', '514', '539', '564', '589', '614', '639', '664', '689', '714', '739', '764', '789']
['15', '40', '65', '90', '115', '140', '165', '190', '215', '240', '265', '290', '315', '340', '365', '390', '415', '440', '465', '490', '515', '540', '565', '590', '615', '640', '665', '690', '715', '740', '765', '790']
['16', '41', '66', '91', '116', '141', '166', '191', '216', '241', '266', '291', '316', '341', '366', '391', '416', '441', '466', '491', '516', '541', '566', '591', '616', '641', '666', '691', '716', '741', '766', '791']
['17', '42', '67', '92', '117', '142', '167', '192', '217', '242', '267', '292', '317', '342', '367', '392', '417', '442', '467', '492', '517', '542', '567', '592', '617', '642', '667', '692', '717', '742', '767', '792']
['18', '43', '68', '93', '118', '143', '168', '193', '218', '243', '268', '293', '318', '343', '368', '393', '418', '443', '468', '493', '518', '543', '568', '593', '618', '643', '668', '693', '718', '743', '768', '793']
['19', '44', '69', '94', '119', '144', '169', '194', '219', '244', '269', '294', '319', '344', '369', '394', '419', '444', '469', '494', '519', '544', '569', '594', '619', '644', '669', '694', '719', '744', '769', '794']
['20', '45', '70', '95', '120', '145', '170', '195', '220', '245', '270', '295', '320', '345', '370', '395', '420', '445', '470', '495', '520', '545', '570', '595', '620', '645', '670', '695', '720', '745', '770', '795']
['21', '46', '71', '96', '121', '146', '171', '196', '221', '246', '271', '296', '321', '346', '371', '396', '421', '446', '471', '496', '521', '546', '571', '596', '621', '646', '671', '696', '721', '746', '771', '796']
['22', '47', '72', '97', '122', '147', '172', '197', '222', '247', '272', '297', '322', '347', '372', '397', '422', '447', '472', '497', '522', '547', '572', '597', '622', '647', '672', '697', '722', '747', '772', '797']
['23', '48', '73', '98', '123', '148', '173', '198', '223', '248', '273', '298', '323', '348', '373', '398', '423', '448', '473', '498', '523', '548', '573', '598', '623', '648', '673', '698', '723', '748', '773', '798']
['24', '49', '74', '99', '124', '149', '174', '199', '224', '249', '274', '299', '324', '349', '374', '399', '424', '449', '474', '499', '524', '549', '574', '599', '624', '649', '674', '699', '724', '749', '774', '799']
