['62', '47', '233', '234', '338', '411', '613', '529', '649', '696', '833', '803']
['104', '131', '309', '249', '314', '316', '508', '622', '746', '733', '792', '846']
['95', '49', '250', '252', '438', '458', '494', '569', '741', '680', '886', '894']
['117', '140', '283', '156', '347', '371', '472', '605', '640', '626', '825', '901']
['150', '10', '302', '239', '329', '363', '601', '617', '629', '674', '898', '927']
['43', '153', '303', '236', '407', '416', '484', '591', '651', '652', '883', '796']
['100', '9', '247', '170', '457', '332', '518', '521', '737', '763', '819', '841']
['103', '126', '297', '268', '459', '374', '587', '586', '631', '739', '913', '826']
['6', '127', '288', '285', '320', '426', '502', '588', '654', '730', '863', '876']
['1', '121', '237', '190', '328', '443', '568', '616', '751', '731', '868', '874']
['105', '139', '287', '257', '463', '467', '474', '592', '691', '720', '848', '832']
['36', '134', '197', '227', '434', '451', '543', '582', '706', '685', '839', '835']
['50', '4', '171', '271', '315', '388', '524', '495', '703', '697', '930', '809']
['108', '106', '209', '213', '341', '362', '491', '550', '759', '770', '815', '896']
['61', '149', '223', '258', '455', '446', '548', '562', '774', '694', '800', '834']
['65', '28', '275', '248', '343', '350', '615', '545', '769', '716', '827', '867']
['51', '20', '158', '300', '353', '439', '555', '603', '707', '754', '857', '804']
['13', '64', '201', '244', '339', '430', '578', '614', '766', '747', '845', '851']
['89', '145', '199', '251', '406', '444', '496', '623', '632', '634', '822', '870']
['143', '115', '290', '215', '435', '445', '520', '559', '718', '692', '817', '831']
['45', '141', '159', '294', '441', '436', '516', '602', '670', '775', '856', '837']
['33', '144', '276', '301', '323', '453', '500', '533', '637', '633', '893', '801']
['87', '60', '221', '168', '414', '386', '493', '522', '659', '644', '908', '802']
['73', '55', '245', '182', '404', '417', '573', '534', '728', '683', '782', '919']
['26', '57', '218', '210', '382', '340', '581', '612', '648', '752', '931', '906']
['152', '70', '242', '298', '368', '351', '600', '549', '743', '635', '852', '791']
['32', '85', '165', '286', '396', '333', '560', '501', '655', '678', '878', '869']
['59', '40', '228', '166', '364', '419', '523', '541', '698', '750', '793', '858']
['99', '113', '306', '311', '359', '389', '594', '468', '628', '638', '838', '935']
['37', '122', '265', '200', '372', '318', '574', '577', '719', '729', '799', '875']
['23', '142', '198', '180', '409', '360', '556', '510', '744', '645', '924', '907']
['39', '68', '266', '256', '378', '383', '576', '571', '779', '682', '916', '914']
['66', '38', '189', '207', '313', '358', '470', '547', '686', '660', '905', '897']
['155', '24', '295', '279', '375', '452', '531', '558', '668', '715', '787', '812']
['130', '124', '157', '202', '391', '366', '563', '504', '724', '676', '808', '887']
['25', '120', '175', '174', '397', '384', '606', '483', '704', '630', '861', '850']
['93', '0', '160', '217', '373', '437', '546', '536', '753', '699', '933', '786']
['16', '74', '220', '241', '379', '428', '552', '610', '671', '736', '854', '892']
['129', '5', '292', '176', '376', '393', '489', '619', '636', '713', '816', '884']
['15', '48', '310', '192', '337', '335', '595', '599', '666', '723', '847', '842']
['148', '78', '261', '260', '348', '422', '497', '507', '679', '738', '788', '789']
['79', '56', '212', '169', '357', '431', '540', '597', '650', '688', '885', '888']
['2', '30', '262', '254', '369', '317', '604', '607', '673', '661', '814', '918']
['34', '110', '255', '226', '461', '331', '537', '478', '764', '710', '798', '925']
['114', '98', '307', '308', '344', '394', '488', '598', '721', '665', '899', '895']
['75', '58', '203', '232', '423', '367', '539', '487', '734', '624', '824', '805']
['27', '17', '193', '161', '326', '324', '477', '469', '708', '771', '843', '911']
['94', '46', '205', '167', '440', '336', '567', '526', '625', '762', '829', '881']
['88', '84', '211', '269', '398', '361', '590', '479', '735', '758', '910', '811']
