['SirJellyTheTrueVampireSniffer', 'QueenBarneyTheMightyDragonSniffer', 'DuchessShadowTheTrueVampireFinder', 'QueenFluffyTheMightyVampireEater', 'MasterTrinityTheHeroicDragonHunter', 'MasterBarneyTheHeroicVampireMaker', 'SirFluffyTheGreatMonsterHunter', 'MasterBarneyTheGreatDragonEater', 'MasterJellyTheGreatZombieHunter', 'QueenBeetleTheGreatMonsterFinder', 'DukeBeetleTheGreatMonsterSniffer', 'MasterFluffyTheTrueDragonMaker', 'SirSushiTheMightyZombieMaker', 'LordSushiTheTrueZombieSniffer', 'MadameShadowTheTrueMonsterMaker', 'LordBarneyTheHeroicVampireFinder', 'QueenSushiTheMightyRobotHunter', 'DukeBeetleTheHeroicRobotFinder', 'DukeBeetleTheHeroicDragonEater', 'QueenFluffyTheBraveDragonEater']
['SirBarneyTheGreatZombieEater', 'DuchessFluffyTheTrueRobotFinder', 'DuchessTrinityTheTrueZombieEater', 'MasterBarneyTheTrueDragonFinder', 'DukeShadowTheHeroicVampireHunter', 'DukeSushiTheTrueMonsterEater', 'QueenBarneyTheMightyZombieHunter', 'DuchessBarneyTheBraveMonsterHunter', 'MadameJellyTheBraveDragonEater', 'DuchessShadowTheMightyVampireFinder', 'QueenTrinityTheBraveVampireFinder', 'LordJellyTheHeroicVampireHunter', 'QueenJellyTheBraveMonsterFinder', 'SirTrinityTheGreatZombieEater', 'SirSushiTheBraveDragonSniffer', 'DuchessBeetleTheTrueZombieMaker', 'DukeShadowTheBraveVampireSniffer', 'QueenBarneyTheGreatVampireFinder', 'QueenShadowTheMightyVampireEater', 'LordJellyTheHeroicDragonHunter']
['DuchessSushiTheHeroicRobotHunter', 'DukeJellyTheGreatMonsterFinder', 'SirSushiTheTrueDragonMaker', 'MadameTrinityTheHeroicMonsterEater', 'LordBarneyTheMightyDragonEater', 'SirBarneyTheBraveRobotHunter', 'MadameTrinityTheGreatZombieEater', 'QueenFluffyTheBraveDragonFinder', 'LordFluffyTheMightyDragonSniffer', 'DuchessFluffyTheGreatZombieSniffer', 'DukeTrinityTheGreatVampireEater', 'LordShadowTheBraveDragonFinder', 'DuchessJellyTheBraveMonsterEater', 'MadameBeetleTheMightyVampireFinder', 'DukeSushiTheHeroicDragonFinder', 'DuchessJellyTheMightyRobotMaker', 'DukeFluffyTheTrueDragonSniffer', 'LordBeetleTheGreatDragonSniffer', 'QueenTrinityTheGreatVampireSniffer', 'SirSushiTheBraveVampireSniffer']
['DuchessTrinityTheGreatVampireFinder', 'DukeFluffyTheMightyZombieHunter', 'SirSushiTheBraveDragonMaker', 'MadameFluffyTheTrueMonsterEater', 'MasterBeetleTheGreatRobotSniffer', 'LordSushiTheMightyZombieFinder', 'LordShadowTheHeroicDragonHunter', 'MasterJellyTheHeroicMonsterHunter', 'MadameShadowTheGreatVampireFinder', 'QueenShadowTheBraveRobotFinder', 'DukeTrinityTheGreatVampireHunter', 'MasterShadowTheBraveRobotHunter', 'MadameBarneyTheTrueZombieEater', 'DuchessBeetleTheTrueVampireMaker', 'DuchessTrinityTheTrueZombieFinder', 'DuchessBarneyTheGreatRobotSniffer', 'SirJellyTheHeroicRobotHunter', 'MasterSushiTheGreatMonsterEater', 'DukeBeetleTheBraveRobotEater', 'QueenJellyTheGreatRobotEater']
['MadameShadowTheGreatZombieSniffer', 'LordBeetleTheBraveDragonHunter', 'SirShadowTheMightyRobotSniffer', 'MasterSushiTheBraveRobotEater', 'MadameBeetleTheTrueVampireEater', 'MadameSushiTheTrueRobotEater', 'SirBeetleTheBraveZombieEater', 'QueenBeetleTheBraveVampireMaker', 'DuchessBeetleTheTrueZombieEater', 'SirShadowTheBraveZombieFinder', 'MasterJellyTheBraveVampireMaker', 'SirBarneyTheHeroicRobotHunter', 'QueenTrinityTheTrueVampireSniffer', 'SirJellyTheGreatRobotFinder', 'DukeShadowTheTrueRobotFinder', 'MasterBarneyTheTrueMonsterEater', 'MadameBeetleTheMightyVampireEater', 'DukeJellyTheHeroicZombieMaker', 'SirShadowTheHeroicRobotSniffer', 'SirShadowTheHeroicMonsterHunter']
['LordSushiTheHeroicDragonMaker', 'LordShadowTheBraveRobotMaker', 'DukeJellyTheMightyDragonFinder', 'DuchessFluffyTheMightyRobotMaker', 'QueenBarneyTheBraveVampireHunter', 'DukeJellyTheBraveVampireFinder', 'DukeJellyTheBraveZombieEater', 'MadameJellyTheGreatMonsterEater', 'MasterBeetleTheHeroicRobotFinder', 'MasterShadowTheGreatRobotSniffer', 'SirJellyTheHeroicZombieFinder', 'LordBeetleTheTrueMonsterHunter', 'DukeFluffyTheBraveZombieHunter', 'MasterJellyTheMightyRobotMaker', 'MadameShadowTheHeroicMonsterFinder', 'DuchessBeetleTheBraveMonsterMaker', 'DuchessShadowTheBraveVampireSniffer', 'LordFluffyTheGreatZombieFinder', 'DukeShadowTheGreatRobotMaker', 'SirBarneyTheHeroicZombieEater']
['QueenBeetleTheMightyRobotMaker', 'MadameJellyTheTrueRobotEater', 'QueenSushiTheTrueZombieEater', 'QueenBeetleTheBraveVampireFinder', 'SirShadowTheGreatRobotMaker', 'MadameJellyTheMightyZombieMaker', 'LordFluffyTheMightyVampireFinder', 'LordJellyTheGreatRobotHunter', 'MasterFluffyTheBraveVampireFinder', 'DuchessTrinityTheTrueDragonEater', 'SirJellyTheHeroicDragonHunter', 'LordTrinityTheGreatRobotHunter', 'MasterFluffyTheBraveZombieFinder', 'QueenTrinityTheTrueRobotEater', 'LordBarneyTheHeroicVampireMaker', 'SirBeetleTheTrueDragonSniffer', 'DuchessTrinityTheBraveDragonSniffer', 'LordBeetleTheMightyDragonSniffer', 'MadameFluffyTheMightyMonsterEater', 'DuchessBarneyTheHeroicDragonEater']
['LordFluffyTheGreatMonsterFinder', 'DuchessSushiTheBraveMonsterHunter', 'LordBeetleTheMightyZombieFinder', 'MasterTrinityTheHeroicMonsterSniffer', 'MasterShadowTheBraveDragonFinder', 'DuchessSushiTheTrueMonsterFinder', 'SirShadowTheHeroicRobotMaker', 'LordBeetleTheHeroicMonsterSniffer', 'MadameShadowTheMightyDragonEater', 'LordFluffyTheMightyRobotSniffer', 'DuchessFluffyTheBraveRobotMaker', 'MasterBarneyTheBraveRobotHunter', 'QueenBarneyTheBraveDragonHunter', 'MasterFluffyTheGreatVampireFinder', 'MasterShadowTheBraveVampireFinder', 'SirTrinityTheBraveMonsterSniffer', 'DukeSushiTheMightyRobotHunter', 'QueenShadowTheGreatRobotFinder', 'DukeBeetleTheGreatZombieEater', 'MadameFluffyTheTrueDragonMaker']
['QueenBeetleTheGreatMonsterEater', 'DuchessShadowTheHeroicZombieFinder', 'DukeFluffyTheGreatRobotEater', 'SirBarneyTheGreatRobotEater', 'QueenSushiTheHeroicVampireFinder', 'LordBeetleTheMightyMonsterMaker', 'MasterShadowTheGreatRobotHunter', 'DukeBeetleTheMightyRobotHunter', 'MasterTrinityTheBraveMonsterMaker', 'DukeBarneyTheMightyRobotSniffer', 'QueenBeetleTheMightyVampireHunter', 'MasterBarneyTheMightyDragonHunter', 'DuchessSushiTheBraveDragonMaker', 'MasterJellyTheBraveMonsterFinder', 'MadameBarneyTheBraveDragonFinder', 'DukeShadowTheGreatRobotSniffer', 'SirBeetleTheHeroicVampireHunter', 'QueenBeetleTheGreatZombieHunter', 'MadameFluffyTheGreatMonsterEater', 'DukeBarneyTheHeroicVampireHunter']
['SirTrinityTheGreatRobotMaker', 'DukeSushiTheBraveDragonFinder', 'DuchessJellyTheHeroicMonsterMaker', 'MadameBeetleTheHeroicDragonFinder', 'MadameSushiTheMightyZombieHunter', 'QueenShadowTheTrueVampireSniffer', 'LordSushiTheGreatDragonEater', 'MadameSushiTheMightyRobotMaker', 'LordFluffyTheMightyVampireMaker', 'DukeJellyTheGreatDragonFinder', 'DuchessShadowTheTrueMonsterHunter', 'LordSushiTheMightyMonsterFinder', 'MasterJellyTheTrueDragonSniffer', 'MasterBeetleTheBraveRobotHunter', 'LordSushiTheTrueVampireFinder', 'MasterShadowTheGreatVampireEater', 'LordBeetleTheHeroicVampireEater', 'DuchessSushiTheHeroicRobotMaker', 'DukeTrinityTheHeroicMonsterHunter', 'SirShadowTheHeroicZombieSniffer']
['LordSushiTheBraveVampireEater', 'SirJellyTheHeroicZombieEater', 'SirShadowTheGreatZombieSniffer', 'MasterBarneyTheGreatRobotEater', 'DukeShadowTheMightyMonsterMaker', 'MasterJellyTheMightyZombieEater', 'SirBarneyTheHeroicRobotSniffer', 'DukeShadowTheMightyRobotEater', 'MadameShadowTheGreatZombieMaker', 'MasterSushiTheTrueMonsterEater', 'SirSushiTheMightyDragonFinder', 'SirSushiTheBraveZombieMaker', 'QueenShadowTheMightyDragonMaker', 'DukeShadowTheBraveMonsterFinder', 'MadameJellyTheMightyVampireMaker', 'MasterBeetleTheHeroicZombieHunter', 'LordJellyTheTrueZombieFinder', 'DukeSushiTheHeroicZombieEater', 'SirTrinityTheTrueMonsterSniffer', 'MadameBarneyTheHeroicDragonHunter']
