['226', '978', '103', '98', '615']
['929', '488', '568', '698', '859']
['613', '558', '893', '350', '896']
['452', '221', '999', '553', '529']
['70', '368', '504', '998', '737']
['370', '661', '21', '652', '623']
['552', '624', '361', '246', '466']
['546', '724', '362', '783', '685']
['508', '116', '836', '697', '462']
['200', '979', '131', '275', '325']
['496', '901', '683', '27', '143']
['228', '278', '209', '113', '411']
['831', '861', '728', '500', '393']
['29', '394', '408', '118', '617']
['490', '961', '571', '924', '197']
['671', '173', '505', '777', '293']
['785', '659', '936', '181', '141']
['433', '799', '511', '699', '204']
['545', '646', '158', '949', '854']
['317', '911', '564', '32', '865']
['3', '323', '450', '94', '544']
['489', '402', '914', '541', '933']
['31', '106', '100', '600', '454']
['193', '548', '288', '165', '945']
['163', '409', '962', '843', '260']
['574', '432', '117', '243', '307']
['691', '199', '256', '437', '333']
['251', '601', '943', '229', '455']
['337', '380', '438', '789', '175']
['64', '706', '436', '74', '774']
['115', '604', '532', '704', '410']
['667', '518', '818', '953', '700']
['127', '995', '960', '857', '782']
['703', '184', '34', '339', '590']
['343', '633', '520', '729', '172']
['732', '428', '63', '214', '577']
['138', '84', '926', '982', '142']
['216', '259', '561', '599', '23']
['525', '351', '169', '855', '20']
['833', '506', '335', '658', '838']
['757', '386', '39', '369', '539']
['395', '670', '847', '111', '264']
['581', '915', '367', '849', '36']
['579', '101', '762', '22', '89']
['547', '160', '230', '565', '167']
['559', '848', '584', '830', '314']
['582', '990', '485', '816', '906']
['592', '478', '641', '227', '759']
['134', '591', '156', '682', '516']
['992', '210', '679', '349', '375']
['492', '382', '609', '981', '972']
['842', '35', '693', '883', '443']
['805', '864', '473', '727', '48']
['176', '189', '59', '542', '576']
['636', '970', '257', '262', '378']
['206', '435', '294', '304', '997']
['731', '852', '498', '846', '666']
['984', '442', '38', '54', '717']
['790', '764', '422', '467', '742']
['25', '741', '884', '358', '957']
['654', '918', '324', '296', '109']
['680', '244', '17', '586', '619']
['980', '234', '371', '273', '771']
['79', '460', '503', '345', '788']
['753', '916', '625', '942', '185']
['694', '425', '597', '97', '531']
['311', '83', '549', '357', '630']
['875', '839', '709', '162', '495']
['224', '669', '856', '715', '708']
['587', '513', '702', '414', '822']
['241', '346', '374', '948', '555']
['137', '751', '969', '837', '620']
['379', '983', '334', '866', '196']
['132', '120', '780', '28', '19']
['551', '935', '863', '649', '502']
['575', '987', '365', '26', '522']
['93', '468', '746', '530', '640']
['745', '252', '880', '407', '91']
['249', '352', '749', '967', '947']
['925', '254', '638', '533', '151']
['730', '280', '723', '725', '108']
['920', '82', '258', '480', '973']
['570', '940', '639', '383', '954']
['605', '316', '312', '507', '662']
['384', '754', '107', '194', '964']
['190', '245', '499', '326', '819']
['459', '870', '139', '208', '122']
['465', '217', '668', '734', '418']
['66', '344', '566', '821', '105']
['476', '75', '603', '812', '944']
['642', '744', '869', '49', '180']
['405', '239', '240', '931', '420']
['632', '461', '195', '403', '738']
['572', '655', '726', '201', '971']
['52', '810', '30', '366', '526']
['222', '608', '755', '338', '457']
['922', '950', '766', '899', '927']
['614', '119', '809', '281', '202']
['716', '412', '250', '907', '475']
['145', '87', '253', '329', '808']
['589', '824', '426', '14', '795']
['236', '593', '634', '596', '225']
['359', '430', '15', '773', '481']
['463', '876', '159', '298', '509']
['68', '161', '877', '527', '45']
['928', '65', '537', '413', '270']
['860', '213', '340', '401', '747']
['404', '618', '150', '136', '449']
['155', '289', '397', '796', '215']
['207', '123', '391', '291', '388']
['441', '598', '886', '806', '248']
['376', '858', '396', '519', '1']
['829', '152', '406', '803', '736']
['464', '689', '497', '440', '171']
['279', '733', '491', '399', '58']
['398', '510', '968', '825', '951']
['7', '740', '373', '900', '341']
['993', '92', '882', '303', '387']
['975', '233', '881', '696', '923']
['629', '966', '651', '898', '166']
['580', '10', '903', '784', '319']
['765', '712', '991', '203', '356']
['560', '675', '223', '873', '909']
['4', '318', '538', '72', '756']
['331', '897', '767', '431', '268']
['735', '787', '781', '959', '976']
['446', '183', '320', '834', '6']
['752', '557', '71', '381', '690']
['16', '385', '494', '290', '266']
['569', '908', '5', '567', '81']
['887', '55', '423', '930', '69']
['170', '653', '720', '850', '921']
['474', '392', '711', '674', '265']
['104', '114', '827', '718', '934']
['486', '913', '891', '952', '470']
['828', '867', '687', '328', '772']
['360', '282', '826', '775', '713']
['86', '719', '283', '238', '888']
['610', '841', '776', '205', '583']
['482', '890', '631', '295', '989']
['330', '285', '588', '469', '302']
['695', '573', '377', '99', '556']
['874', '299', '400', '817', '912']
['164', '242', '444', '832', '149']
['523', '157', '535', '524', '310']
['656', '844', '939', '90', '778']
['677', '284', '647', '255', '616']
['801', '102', '657', '80', '769']
['353', '512', '938', '606', '820']
['563', '786', '595', '813', '218']
['126', '904', '798', '676', '965']
['40', '56', '419', '823', '487']
['761', '0', '451', '300', '212']
['910', '417', '427', '974', '612']
['342', '550', '471', '578', '760']
['705', '287', '78', '758', '988']
['868', '750', '815', '177', '439']
['429', '811', '33', '540', '271']
['327', '894', '793', '963', '125']
['121', '18', '804', '43', '9']
['179', '364', '792', '919', '62']
['235', '168', '272', '24', '57']
['267', '448', '536', '347', '845']
['517', '308', '797', '644', '686']
['276', '458', '800', '889', '493']
['955', '42', '416', '140', '61']
['701', '332', '153', '672', '637']
['879', '315', '128', '110', '977']
['853', '305', '124', '301', '46']
['664', '986', '895', '8', '665']
['946', '937', '501', '53', '692']
['878', '710', '626', '650', '41']
['186', '192', '277', '872', '12']
['309', '269', '594', '628', '77']
['721', '763', '479', '456', '348']
['739', '178', '840', '453', '37']
['67', '261', '722', '447', '483']
['534', '941', '144', '932', '871']
['415', '814', '434', '372', '306']
['607', '543', '363', '768', '421']
['956', '147', '621', '354', '994']
['802', '112', '521', '355', '313']
