['32', '339', '881', '540', '146', '233', '303', '214', '336', '732', '828', '585', '734', '716', '30', '794', '515', '94', '790', '807', '312', '654', '126', '621', '379', '898', '252', '754', '188', '7', '541', '359', '50', '376', '69', '279', '841', '853', '91', '472', '627', '136', '87', '500', '394']
['620', '131', '600', '334', '426', '196', '54', '678', '265', '382', '404', '682', '867', '871', '589', '441', '190', '53', '521', '428', '662', '314', '539', '791', '848', '868', '393', '226', '221', '443', '62', '121', '599', '412', '408', '494', '74', '789', '381', '870', '484', '466', '557', '528', '104']
['511', '458', '451', '610', '56', '787', '632', '103', '358', '83', '784', '766', '274', '225', '590', '666', '636', '684', '167', '858', '604', '88', '581', '132', '290', '155', '309', '71', '353', '646', '697', '665', '608', '111', '385', '473', '128', '514', '163', '362', '679', '148', '842', '278', '469']
['704', '29', '395', '236', '770', '229', '263', '467', '486', '298', '447', '788', '191', '79', '105', '517', '886', '6', '890', '171', '187', '641', '812', '520', '643', '798', '241', '703', '827', '702', '27', '108', '566', '829', '645', '861', '456', '639', '849', '615', '89', '425', '141', '189', '52']
['567', '366', '623', '304', '430', '34', '308', '837', '193', '510', '186', '232', '120', '397', '183', '110', '60', '255', '554', '647', '331', '64', '239', '895', '833', '76', '728', '737', '896', '491', '115', '449', '144', '80', '560', '855', '73', '799', '374', '749', '418', '699', '635', '23', '698']
['242', '537', '14', '332', '118', '779', '562', '253', '51', '202', '410', '630', '210', '323', '259', '593', '445', '416', '414', '720', '127', '122', '457', '223', '217', '795', '690', '888', '16', '847', '816', '149', '772', '287', '887', '424', '700', '444', '826', '306', '573', '512', '544', '586', '733']
['536', '161', '243', '846', '707', '617', '638', '373', '222', '260', '300', '857', '762', '776', '498', '470', '58', '349', '659', '67', '47', '741', '209', '880', '371', '897', '667', '266', '785', '524', '723', '602', '577', '44', '227', '731', '153', '156', '21', '250', '59', '185', '199', '72', '450']
['534', '3', '216', '390', '775', '760', '803', '92', '866', '75', '206', '691', '763', '835', '420', '446', '814', '184', '147', '346', '145', '677', '135', '513', '744', '273', '783', '471', '550', '753', '743', '648', '213', '230', '856', '400', '831', '388', '579', '151', '220', '815', '688', '433', '564']
['431', '98', '154', '182', '405', '297', '68', '606', '402', '302', '565', '713', '28', '114', '113', '432', '442', '438', '893', '238', '482', '739', '370', '548', '13', '403', '672', '726', '756', '818', '33', '197', '633', '311', '46', '821', '342', '321', '399', '683', '310', '398', '123', '280', '26']
['372', '736', '427', '65', '224', '878', '674', '649', '284', '570', '480', '204', '172', '735', '439', '256', '549', '320', '101', '459', '865', '468', '701', '476', '478', '591', '174', '629', '619', '343', '15', '748', '142', '17', '375', '434', '584', '730', '377', '823', '711', '422', '201', '613', '661']
['301', '0', '709', '452', '329', '351', '43', '18', '572', '100', '383', '317', '669', '724', '804', '354', '228', '293', '864', '356', '169', '319', '436', '778', '889', '45', '177', '767', '490', '294', '765', '543', '673', '212', '594', '275', '2', '415', '746', '38', '355', '891', '340', '859', '580']
['158', '93', '125', '653', '801', '143', '8', '461', '860', '877', '411', '844', '671', '258', '634', '598', '559', '1', '292', '694', '718', '505', '41', '352', '655', '82', '830', '740', '644', '140', '254', '299', '845', '503', '773', '885', '771', '11', '806', '879', '313', '160', '170', '322', '70']
['836', '660', '337', '130', '462', '882', '663', '326', '423', '759', '493', '668', '429', '401', '840', '19', '173', '475', '508', '464', '244', '407', '99', '725', '77', '518', '97', '380', '4', '474', '361', '875', '344', '892', '675', '777', '489', '112', '116', '133', '63', '769', '601', '797', '318']
['626', '419', '525', '705', '180', '838', '327', '305', '843', '717', '851', '22', '219', '448', '276', '781', '637', '357', '563', '538', '389', '607', '440', '78', '453', '611', '582', '95', '31', '714', '102', '800', '873', '552', '553', '178', '834', '66', '176', '107', '745', '277', '179', '307', '542']
['270', '504', '159', '839', '624', '530', '526', '268', '695', '721', '751', '546', '825', '810', '501', '200', '738', '289', '813', '558', '757', '347', '547', '396', '488', '533', '248', '527', '150', '522', '811', '285', '291', '774', '531', '198', '211', '203', '729', '805', '109', '692', '378', '569', '487']
['61', '497', '571', '39', '747', '194', '676', '165', '625', '687', '463', '894', '832', '516', '208', '809', '10', '86', '269', '129', '680', '710', '257', '85', '693', '477', '368', '324', '181', '240', '689', '768', '706', '391', '755', '272', '792', '824', '369', '192', '246', '507', '574', '852', '5']
['712', '808', '365', '650', '81', '9', '234', '117', '578', '483', '367', '576', '854', '282', '869', '168', '455', '722', '874', '618', '715', '603', '264', '575', '363', '316', '519', '696', '884', '899', '106', '333', '780', '124', '485', '622', '90', '561', '437', '435', '281', '876', '583', '283', '506']
['523', '386', '782', '335', '286', '496', '330', '614', '479', '817', '20', '597', '195', '139', '267', '42', '360', '137', '12', '157', '350', '235', '640', '609', '656', '595', '84', '742', '315', '164', '364', '555', '612', '205', '245', '249', '406', '872', '605', '48', '631', '670', '529', '24', '338']
['384', '750', '568', '328', '658', '341', '545', '295', '551', '119', '345', '764', '509', '261', '850', '207', '481', '802', '138', '727', '57', '251', '588', '793', '25', '819', '96', '592', '237', '247', '454', '37', '786', '657', '460', '409', '863', '465', '532', '271', '502', '499', '758', '296', '752']
['36', '556', '231', '175', '822', '40', '215', '49', '262', '883', '325', '708', '492', '348', '761', '820', '642', '162', '288', '421', '387', '681', '392', '652', '796', '495', '55', '152', '413', '862', '596', '686', '218', '35', '587', '664', '535', '417', '166', '719', '628', '134', '616', '685', '651']
