['0', '12', '24', '36', '48', '60', '72', '84', '96', '108', '120', '132', '144', '156', '168', '180', '192', '204', '216', '228', '240', '252', '264', '276', '288', '300', '312', '324', '336', '348', '360', '372', '384', '396', '408', '420', '432', '444', '456', '468', '480', '492', '504', '516', '528', '540', '552', '564', '576', '588', '600', '612', '624', '636', '648', '660', '672', '684', '696', '708', '720', '732', '744', '756', '768', '780', '792']
['1', '13', '25', '37', '49', '61', '73', '85', '97', '109', '121', '133', '145', '157', '169', '181', '193', '205', '217', '229', '241', '253', '265', '277', '289', '301', '313', '325', '337', '349', '361', '373', '385', '397', '409', '421', '433', '445', '457', '469', '481', '493', '505', '517', '529', '541', '553', '565', '577', '589', '601', '613', '625', '637', '649', '661', '673', '685', '697', '709', '721', '733', '745', '757', '769', '781', '793']
['2', '14', '26', '38', '50', '62', '74', '86', '98', '110', '122', '134', '146', '158', '170', '182', '194', '206', '218', '230', '242', '254', '266', '278', '290', '302', '314', '326', '338', '350', '362', '374', '386', '398', '410', '422', '434', '446', '458', '470', '482', '494', '506', '518', '530', '542', '554', '566', '578', '590', '602', '614', '626', '638', '650', '662', '674', '686', '698', '710', '722', '734', '746', '758', '770', '782', '794']
['3', '15', '27', '39', '51', '63', '75', '87', '99', '111', '123', '135', '147', '159', '171', '183', '195', '207', '219', '231', '243', '255', '267', '279', '291', '303', '315', '327', '339', '351', '363', '375', '387', '399', '411', '423', '435', '447', '459', '471', '483', '495', '507', '519', '531', '543', '555', '567', '579', '591', '603', '615', '627', '639', '651', '663', '675', '687', '699', '711', '723', '735', '747', '759', '771', '783', '795']
['4', '16', '28', '40', '52', '64', '76', '88', '100', '112', '124', '136', '148', '160', '172', '184', '196', '208', '220', '232', '244', '256', '268', '280', '292', '304', '316', '328', '340', '352', '364', '376', '388', '400', '412', '424', '436', '448', '460', '472', '484', '496', '508', '520', '532', '544', '556', '568', '580', '592', '604', '616', '628', '640', '652', '664', '676', '688', '700', '712', '724', '736', '748', '760', '772', '784', '796']
['5', '17', '29', '41', '53', '65', '77', '89', '101', '113', '125', '137', '149', '161', '173', '185', '197', '209', '221', '233', '245', '257', '269', '281', '293', '305', '317', '329', '341', '353', '365', '377', '389', '401', '413', '425', '437', '449', '461', '473', '485', '497', '509', '521', '533', '545', '557', '569', '581', '593', '605', '617', '629', '641', '653', '665', '677', '689', '701', '713', '725', '737', '749', '761', '773', '785', '797']
['6', '18', '30', '42', '54', '66', '78', '90', '102', '114', '126', '138', '150', '162', '174', '186', '198', '210', '222', '234', '246', '258', '270', '282', '294', '306', '318', '330', '342', '354', '366', '378', '390', '402', '414', '426', '438', '450', '462', '474', '486', '498', '510', '522', '534', '546', '558', '570', '582', '594', '606', '618', '630', '642', '654', '666', '678', '690', '702', '714', '726', '738', '750', '762', '774', '786', '798']
['7', '19', '31', '43', '55', '67', '79', '91', '103', '115', '127', '139', '151', '163', '175', '187', '199', '211', '223', '235', '247', '259', '271', '283', '295', '307', '319', '331', '343', '355', '367', '379', '391', '403', '415', '427', '439', '451', '463', '475', '487', '499', '511', '523', '535', '547', '559', '571', '583', '595', '607', '619', '631', '643', '655', '667', '679', '691', '703', '715', '727', '739', '751', '763', '775', '787', '799']
['8', '20', '32', '44', '56', '68', '80', '92', '104', '116', '128', '140', '152', '164', '176', '188', '200', '212', '224', '236', '248', '260', '272', '284', '296', '308', '320', '332', '344', '356', '368', '380', '392', '404', '416', '428', '440', '452', '464', '476', '488', '500', '512', '524', '536', '548', '560', '572', '584', '596', '608', '620', '632', '644', '656', '668', '680', '692', '704', '716', '728', '740', '752', '764', '776', '788', '800']
['9', '21', '33', '45', '57', '69', '81', '93', '105', '117', '129', '141', '153', '165', '177', '189', '201', '213', '225', '237', '249', '261', '273', '285', '297', '309', '321', '333', '345', '357', '369', '381', '393', '405', '417', '429', '441', '453', '465', '477', '489', '501', '513', '525', '537', '549', '561', '573', '585', '597', '609', '621', '633', '645', '657', '669', '681', '693', '705', '717', '729', '741', '753', '765', '777', '789', '801']
['10', '22', '34', '46', '58', '70', '82', '94', '106', '118', '130', '142', '154', '166', '178', '190', '202', '214', '226', '238', '250', '262', '274', '286', '298', '310', '322', '334', '346', '358', '370', '382', '394', '406', '418', '430', '442', '454', '466', '478', '490', '502', '514', '526', '538', '550', '562', '574', '586', '598', '610', '622', '634', '646', '658', '670', '682', '694', '706', '718', '730', '742', '754', '766', '778', '790', '802']
['11', '23', '35', '47', '59', '71', '83', '95', '107', '119', '131', '143', '155', '167', '179', '191', '203', '215', '227', '239', '251', '263', '275', '287', '299', '311', '323', '335', '347', '359', '371', '383', '395', '407', '419', '431', '443', '455', '467', '479', '491', '503', '515', '527', '539', '551', '563', '575', '587', '599', '611', '623', '635', '647', '659', '671', '683', '695', '707', '719', '731', '743', '755', '767', '779', '791', '803']
