['892', '179', '232', '143', '906', '618', '656', '643', '542', '521', '110', '165', '605', '515', '340', '20', '833', '167', '794', '696', '697', '732', '176', '253', '572', '66', '734', '49', '508', '940', '525', '447', '956', '790', '806', '288', '299', '835', '742', '212', '933', '2', '958', '87', '638', '142', '271', '489']
['820', '658', '889', '847', '294', '619', '601', '924', '939', '259', '42', '623', '490', '249', '109', '792', '673', '903', '684', '114', '386', '736', '438', '457', '41', '224', '92', '712', '449', '911', '452', '591', '354', '546', '101', '865', '108', '758', '870', '863', '206', '474', '417', '700', '494', '612', '375', '289']
['923', '45', '702', '345', '83', '488', '297', '579', '707', '480', '103', '584', '926', '549', '472', '503', '544', '460', '647', '511', '125', '555', '443', '4', '543', '96', '415', '466', '869', '18', '252', '13', '550', '112', '594', '84', '397', '76', '706', '717', '859', '148', '149', '841', '813', '686', '675', '367']
['881', '395', '896', '628', '699', '807', '435', '547', '729', '952', '374', '529', '181', '285', '209', '150', '302', '523', '635', '504', '496', '279', '248', '930', '740', '493', '214', '309', '636', '857', '687', '895', '46', '588', '804', '298', '80', '407', '627', '819', '277', '317', '296', '891', '509', '436', '399', '850']
['202', '728', '120', '393', '270', '701', '266', '739', '174', '195', '812', '867', '444', '548', '670', '487', '403', '861', '789', '520', '907', '810', '175', '16', '791', '161', '305', '402', '864', '455', '158', '621', '338', '814', '890', '246', '669', '394', '67', '774', '614', '785', '326', '613', '914', '752', '777', '315']
['378', '211', '648', '664', '405', '27', '441', '941', '414', '832', '938', '826', '506', '824', '342', '419', '524', '780', '368', '228', '573', '660', '799', '115', '78', '363', '72', '957', '37', '47', '168', '637', '809', '677', '57', '959', '727', '281', '439', '692', '610', '840', '421', '818', '138', '478', '645', '429']
['437', '953', '599', '770', '537', '689', '344', '35', '63', '100', '829', '737', '70', '796', '314', '913', '23', '505', '55', '679', '164', '350', '238', '919', '124', '694', '379', '348', '475', '153', '263', '942', '295', '559', '177', '827', '779', '31', '223', '873', '649', '879', '558', '751', '678', '912', '932', '680']
['532', '9', '44', '126', '308', '408', '256', '633', '831', '597', '603', '290', '839', '501', '64', '268', '418', '641', '646', '654', '442', '237', '590', '730', '62', '566', '659', '709', '691', '169', '269', '682', '352', '180', '329', '465', '137', '86', '134', '446', '306', '389', '860', '132', '887', '244', '353', '723']
['75', '816', '788', '213', '473', '586', '162', '412', '307', '909', '715', '564', '236', '359', '40', '560', '425', '600', '90', '772', '230', '784', '935', '243', '683', '470', '459', '762', '510', '720', '918', '936', '321', '849', '424', '141', '714', '499', '416', '657', '410', '147', '413', '172', '22', '29', '382', '117']
['773', '726', '131', '166', '242', '11', '569', '531', '387', '434', '373', '127', '583', '745', '755', '733', '731', '921', '900', '771', '82', '498', '775', '381', '426', '170', '611', '383', '406', '355', '391', '328', '284', '69', '950', '173', '369', '674', '483', '122', '705', '846', '943', '530', '798', '783', '111', '652']
['801', '136', '476', '527', '553', '346', '836', '311', '456', '893', '567', '462', '795', '578', '335', '97', '631', '445', '323', '221', '928', '642', '946', '929', '380', '384', '265', '582', '899', '203', '768', '430', '667', '366', '479', '51', '210', '815', '319', '17', '427', '283', '79', '778', '517', '713', '749', '766']
['595', '852', '300', '194', '756', '304', '665', '422', '507', '608', '3', '14', '830', '215', '454', '163', '748', '431', '229', '133', '5', '898', '481', '856', '585', '10', '347', '724', '592', '68', '8', '746', '25', '593', '104', '551', '463', '468', '757', '102', '497', '761', '440', '800', '208', '793', '33', '258']
['119', '557', '650', '121', '617', '915', '767', '722', '193', '450', '276', '423', '365', '188', '759', '802', '719', '185', '178', '844', '500', '38', '343', '184', '274', '485', '24', '937', '883', '663', '390', '916', '404', '318', '866', '107', '411', '275', '129', '99', '199', '884', '672', '155', '931', '159', '1', '541']
['954', '834', '448', '538', '26', '272', '77', '482', '428', '334', '118', '602', '828', '486', '310', '392', '685', '872', '154', '278', '98', '661', '396', '376', '341', '197', '48', '371', '88', '467', '187', '247', '725', '886', '576', '710', '853', '708', '464', '753', '324', '303', '262', '495', '43', '320', '160', '848']
['56', '540', '516', '471', '904', '837', '53', '216', '526', '662', '711', '512', '616', '113', '580', '362', '293', '862', '331', '651', '182', '622', '552', '698', '607', '681', '574', '888', '339', '581', '653', '233', '361', '250', '534', '59', '805', '139', '420', '620', '301', '152', '519', '398', '855', '565', '351', '226']
['536', '949', '95', '151', '93', '220', '876', '349', '882', '145', '655', '823', '453', '944', '743', '786', '372', '920', '598', '156', '764', '71', '688', '808', '695', '241', '196', '157', '183', '409', '769', '587', '234', '260', '868', '12', '563', '337', '255', '19', '589', '629', '797', '74', '330', '207', '644', '186']
