['257', '929', '607', '13', '77', '399', '491', '544', '171', '840', '659', '313', '416', '462', '802', '611', '185', '833', '28', '176', '18', '670', '784', '124', '390', '774', '266', '597', '841', '639', '454']
['483', '382', '363', '259', '123', '173', '562', '456', '75', '679', '650', '122', '564', '696', '828', '810', '871', '706', '658', '455', '388', '759', '98', '292', '738', '338', '536', '343', '289', '845', '172']
['452', '823', '33', '498', '770', '561', '158', '369', '398', '748', '740', '762', '505', '761', '579', '855', '834', '600', '577', '49', '663', '233', '862', '371', '554', '956', '316', '148', '339', '417', '424']
['858', '74', '756', '129', '893', '250', '749', '6', '584', '200', '82', '328', '53', '209', '305', '767', '36', '760', '933', '214', '0', '494', '255', '865', '831', '879', '721', '276', '747', '873', '923']
['2', '851', '633', '226', '311', '560', '345', '826', '216', '247', '701', '689', '935', '61', '119', '370', '497', '490', '692', '260', '570', '66', '733', '850', '25', '713', '939', '460', '208', '139', '728']
['712', '429', '81', '192', '283', '572', '853', '65', '286', '913', '115', '465', '861', '699', '251', '253', '883', '709', '814', '792', '626', '503', '222', '847', '244', '263', '445', '839', '583', '71', '872']
['520', '380', '210', '411', '612', '588', '128', '412', '928', '94', '504', '161', '56', '634', '270', '297', '734', '364', '736', '613', '248', '237', '324', '438', '406', '753', '258', '46', '384', '589', '530']
['92', '163', '34', '510', '372', '57', '901', '801', '708', '111', '126', '571', '340', '141', '409', '547', '374', '776', '694', '477', '811', '849', '131', '312', '806', '521', '182', '775', '662', '949', '791']
['629', '59', '360', '361', '164', '378', '227', '136', '211', '610', '688', '224', '215', '661', '232', '45', '366', '769', '789', '52', '867', '40', '332', '640', '55', '418', '79', '654', '385', '23', '618']
['201', '344', '95', '798', '604', '955', '443', '499', '878', '146', '22', '642', '317', '755', '513', '469', '225', '569', '684', '614', '651', '419', '336', '132', '291', '30', '17', '653', '615', '218', '87']
['751', '157', '799', '315', '809', '524', '229', '269', '758', '413', '819', '239', '357', '432', '436', '686', '310', '162', '576', '870', '786', '245', '252', '700', '628', '160', '797', '476', '926', '641', '24']
