['0lala', '50lala', '100lala', '150lala', '200lala', '250lala', '300lala', '350lala', '400lala', '450lala', '500lala', '550lala', '600lala', '650lala', '700lala', '750lala', '800lala', '850lala', '900lala', '950lala']
['1lala', '51lala', '101lala', '151lala', '201lala', '251lala', '301lala', '351lala', '401lala', '451lala', '501lala', '551lala', '601lala', '651lala', '701lala', '751lala', '801lala', '851lala', '901lala', '951lala']
['2lala', '52lala', '102lala', '152lala', '202lala', '252lala', '302lala', '352lala', '402lala', '452lala', '502lala', '552lala', '602lala', '652lala', '702lala', '752lala', '802lala', '852lala', '902lala', '952lala']
['3lala', '53lala', '103lala', '153lala', '203lala', '253lala', '303lala', '353lala', '403lala', '453lala', '503lala', '553lala', '603lala', '653lala', '703lala', '753lala', '803lala', '853lala', '903lala', '953lala']
['4lala', '54lala', '104lala', '154lala', '204lala', '254lala', '304lala', '354lala', '404lala', '454lala', '504lala', '554lala', '604lala', '654lala', '704lala', '754lala', '804lala', '854lala', '904lala', '954lala']
['5lala', '55lala', '105lala', '155lala', '205lala', '255lala', '305lala', '355lala', '405lala', '455lala', '505lala', '555lala', '605lala', '655lala', '705lala', '755lala', '805lala', '855lala', '905lala', '955lala']
['6lala', '56lala', '106lala', '156lala', '206lala', '256lala', '306lala', '356lala', '406lala', '456lala', '506lala', '556lala', '606lala', '656lala', '706lala', '756lala', '806lala', '856lala', '906lala', '956lala']
['7lala', '57lala', '107lala', '157lala', '207lala', '257lala', '307lala', '357lala', '407lala', '457lala', '507lala', '557lala', '607lala', '657lala', '707lala', '757lala', '807lala', '857lala', '907lala', '957lala']
['8lala', '58lala', '108lala', '158lala', '208lala', '258lala', '308lala', '358lala', '408lala', '458lala', '508lala', '558lala', '608lala', '658lala', '708lala', '758lala', '808lala', '858lala', '908lala', '958lala']
['9lala', '59lala', '109lala', '159lala', '209lala', '259lala', '309lala', '359lala', '409lala', '459lala', '509lala', '559lala', '609lala', '659lala', '709lala', '759lala', '809lala', '859lala', '909lala', '959lala']
['10lala', '60lala', '110lala', '160lala', '210lala', '260lala', '310lala', '360lala', '410lala', '460lala', '510lala', '560lala', '610lala', '660lala', '710lala', '760lala', '810lala', '860lala', '910lala', '960lala']
