['0', '20', '40', '60', '80', '120', '140', '160', '180', '200', '220', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '480', '500', '520', '540', '560', '580', '600', '620', '640', '660', '680', '700', '720', '740', '760', '780', '800', '820', '860', '880', '900', '920', '940', '960', '980', '109', '492', '931']
['1', '21', '41', '61', '81', '101', '141', '161', '181', '201', '221', '241', '261', '281', '301', '321', '341', '361', '401', '421', '441', '461', '481', '501', '521', '541', '561', '581', '601', '621', '661', '681', '701', '721', '741', '761', '781', '801', '821', '841', '861', '881', '921', '941', '961', '154', '42', '395', '908', '642']
['2', '22', '62', '82', '102', '142', '162', '182', '202', '222', '242', '262', '282', '302', '322', '342', '382', '402', '422', '442', '462', '482', '502', '522', '542', '562', '582', '602', '662', '682', '702', '722', '742', '762', '782', '802', '822', '842', '862', '882', '902', '922', '942', '368', '629', '78', '966', '985', '184', '657']
['3', '23', '43', '63', '83', '103', '123', '143', '163', '183', '203', '223', '243', '263', '283', '303', '323', '343', '363', '383', '403', '423', '443', '463', '483', '503', '523', '543', '563', '583', '603', '623', '643', '663', '683', '703', '723', '743', '763', '803', '823', '843', '863', '903', '923', '963', '983', '826', '981', '901']
['4', '24', '44', '64', '84', '104', '124', '144', '164', '204', '224', '244', '264', '284', '304', '324', '344', '364', '384', '404', '424', '464', '484', '504', '524', '544', '564', '604', '624', '644', '664', '684', '704', '724', '744', '764', '784', '804', '824', '844', '864', '884', '904', '924', '944', '964', '984', '465', '205', '641']
['5', '25', '45', '65', '85', '105', '125', '145', '165', '185', '245', '265', '285', '325', '345', '365', '385', '405', '425', '445', '485', '505', '545', '565', '585', '605', '625', '645', '685', '705', '745', '765', '785', '805', '825', '845', '865', '885', '905', '925', '945', '965', '235', '549', '737', '495', '698', '26', '252', '410']
['6', '46', '66', '106', '126', '146', '166', '226', '246', '266', '286', '306', '326', '346', '366', '386', '406', '426', '446', '466', '486', '506', '526', '546', '566', '586', '606', '626', '646', '666', '686', '706', '726', '746', '766', '806', '846', '866', '886', '906', '926', '946', '986', '95', '854', '189', '209', '976', '97', '787']
['7', '27', '47', '67', '87', '107', '147', '167', '187', '207', '227', '247', '267', '307', '327', '347', '367', '387', '407', '427', '447', '467', '487', '507', '527', '547', '567', '587', '607', '627', '667', '687', '707', '727', '747', '767', '827', '847', '867', '887', '907', '927', '947', '967', '312', '668', '186', '813', '840']
['8', '28', '48', '68', '88', '108', '128', '148', '168', '188', '208', '228', '248', '268', '288', '328', '348', '388', '408', '428', '448', '468', '488', '508', '528', '548', '568', '588', '608', '628', '648', '688', '708', '728', '748', '768', '788', '808', '828', '868', '888', '928', '948', '968', '988', '374', '669', '314', '883', '912']
['9', '29', '49', '69', '89', '129', '149', '169', '229', '249', '289', '309', '329', '349', '369', '389', '409', '429', '449', '469', '489', '509', '529', '569', '589', '609', '649', '689', '709', '729', '749', '769', '789', '809', '829', '849', '869', '889', '909', '929', '949', '969', '989', '121', '270', '579', '647', '725', '198', '236']
['10', '30', '50', '70', '90', '130', '150', '170', '190', '210', '230', '250', '310', '330', '350', '370', '390', '450', '470', '490', '510', '530', '550', '570', '590', '610', '630', '650', '670', '690', '710', '730', '750', '770', '790', '810', '830', '850', '870', '890', '910', '930', '950', '970', '990', '287', '460', '127', '305', '512']
['11', '31', '51', '71', '91', '111', '131', '151', '171', '191', '211', '231', '251', '271', '291', '311', '331', '351', '391', '411', '431', '451', '471', '491', '511', '531', '551', '571', '591', '611', '631', '651', '671', '691', '711', '751', '771', '791', '811', '851', '871', '891', '911', '951', '971', '991', '381', '799', '848', '987']
['12', '32', '52', '72', '92', '112', '132', '152', '172', '192', '212', '232', '272', '292', '332', '352', '372', '392', '412', '432', '452', '472', '532', '552', '572', '592', '612', '632', '652', '672', '692', '712', '732', '752', '772', '792', '812', '832', '852', '872', '892', '932', '952', '972', '992', '357', '515', '936', '290', '584']
['13', '33', '73', '93', '113', '133', '153', '173', '213', '233', '253', '273', '313', '333', '353', '373', '393', '413', '433', '453', '473', '493', '513', '533', '553', '573', '593', '613', '633', '653', '673', '693', '713', '733', '753', '773', '793', '833', '853', '873', '893', '913', '933', '953', '973', '993', '86', '225', '308', '831']
['14', '34', '54', '74', '94', '114', '134', '174', '194', '214', '234', '254', '274', '294', '334', '354', '394', '414', '434', '454', '474', '494', '514', '534', '554', '574', '594', '614', '634', '654', '674', '694', '714', '734', '754', '774', '794', '814', '834', '874', '894', '914', '934', '954', '974', '994', '177', '376', '939', '371']
['15', '35', '55', '75', '115', '135', '155', '175', '195', '215', '255', '275', '295', '315', '335', '355', '375', '415', '435', '455', '475', '535', '555', '575', '595', '635', '655', '675', '695', '715', '735', '755', '775', '795', '815', '835', '855', '875', '895', '915', '935', '955', '975', '995', '100', '269', '518', '399', '556', '665']
['16', '36', '56', '76', '96', '116', '136', '156', '176', '196', '216', '256', '276', '296', '316', '336', '356', '396', '416', '436', '456', '476', '496', '516', '536', '576', '596', '616', '636', '656', '676', '696', '716', '736', '756', '776', '796', '816', '836', '856', '876', '896', '916', '956', '996', '430', '293', '615', '962', '982']
['17', '37', '57', '77', '117', '137', '157', '197', '217', '237', '257', '277', '297', '317', '337', '377', '397', '417', '457', '477', '497', '517', '537', '557', '577', '597', '617', '637', '677', '697', '717', '757', '777', '797', '817', '837', '857', '877', '897', '917', '937', '957', '977', '997', '193', '362', '783', '444', '122', '786']
['18', '38', '58', '98', '118', '138', '158', '178', '218', '238', '258', '278', '298', '318', '338', '358', '378', '398', '418', '438', '458', '478', '498', '538', '558', '578', '598', '618', '638', '658', '678', '718', '738', '758', '778', '798', '818', '838', '858', '878', '898', '918', '938', '958', '978', '998', '525', '79', '206', '731']
['19', '39', '59', '99', '119', '139', '159', '179', '199', '219', '239', '259', '279', '299', '319', '339', '359', '379', '419', '439', '459', '479', '499', '519', '539', '559', '599', '619', '639', '659', '679', '699', '719', '739', '759', '779', '819', '839', '859', '879', '899', '919', '959', '979', '53', '622', '943', '110', '437', '807']
