['543', '359', '686', '778', '468', '750', '816', '742', '209', '62', '108', '402', '366', '526', '789', '30', '574', '765', '319', '190', '527', '727', '621', '488', '52', '666', '51', '739', '372', '770']
['507', '642', '205', '106', '811', '279', '214', '889', '494', '870', '437', '50', '730', '90', '751', '529', '747', '781', '804', '570', '771', '240', '534', '466', '429', '158', '138', '548', '120', '485']
['706', '780', '753', '824', '866', '515', '185', '13', '225', '247', '230', '175', '265', '514', '860', '306', '374', '773', '756', '349', '830', '320', '799', '102', '896', '788', '146', '749', '890', '755']
['27', '855', '699', '84', '194', '212', '885', '460', '68', '53', '685', '457', '826', '145', '650', '326', '23', '427', '591', '288', '528', '312', '21', '396', '151', '677', '802', '184', '585', '54']
['733', '133', '562', '72', '838', '812', '676', '416', '501', '412', '580', '536', '875', '712', '737', '607', '836', '357', '81', '107', '715', '547', '149', '513', '55', '63', '877', '61', '239', '719']
['726', '630', '236', '309', '700', '215', '363', '156', '559', '845', '40', '114', '340', '629', '398', '477', '137', '310', '380', '241', '397', '480', '80', '262', '134', '428', '731', '844', '274', '823']
['894', '767', '837', '281', '635', '521', '6', '679', '895', '14', '82', '573', '155', '663', '348', '410', '502', '334', '271', '784', '622', '827', '758', '709', '674', '445', '557', '608', '505', '532']
['231', '411', '419', '806', '188', '692', '364', '1', '893', '597', '842', '66', '567', '720', '268', '572', '32', '234', '324', '256', '277', '109', '293', '446', '523', '49', '162', '625', '418', '596']
['161', '187', '490', '516', '33', '15', '99', '538', '28', '252', '819', '774', '248', '237', '511', '487', '223', '768', '101', '654', '777', '400', '311', '462', '610', '862', '603', '558', '100', '219']
['189', '835', '698', '105', '639', '853', '336', '743', '644', '688', '381', '581', '713', '843', '200', '125', '192', '873', '649', '436', '291', '409', '299', '693', '73', '26', '43', '143', '785', '257']
['602', '839', '792', '584', '275', '12', '352', '638', '60', '351', '64', '757', '600', '595', '825', '272', '31', '91', '48', '888', '441', '863', '856', '807', '259', '790', '593', '776', '144', '254']
['318', '204', '384', '449', '636', '589', '864', '339', '227', '347', '479', '791', '632', '439', '181', '377', '517', '304', '269', '808', '820', '683', '729', '448', '395', '809', '744', '329', '775', '233']
['44', '551', '491', '249', '664', '694', '680', '323', '305', '803', '732', '519', '71', '270', '301', '615', '868', '850', '470', '242', '647', '369', '355', '307', '180', '472', '273', '251', '93', '520']
['684', '879', '327', '738', '232', '705', '47', '86', '333', '136', '255', '453', '897', '500', '172', '110', '564', '891', '263', '296', '292', '139', '473', '216', '276', '618', '641', '687', '432', '795']
['11', '678', '5', '196', '681', '298', '425', '389', '872', '828', '440', '408', '116', '128', '420', '616', '434', '728', '722', '659', '582', '482', '198', '56', '759', '3', '314', '341', '285', '483']
['371', '95', '546', '267', '141', '79', '735', '130', '612', '123', '560', '697', '235', '444', '426', '403', '486', '37', '499', '762', '182', '541', '796', '887', '601', '331', '203', '405', '695', '563']
['58', '701', '586', '623', '858', '571', '17', '539', '556', '346', '337', '832', '800', '484', '431', '476', '740', '599', '89', '550', '525', '874', '665', '495', '376', '497', '358', '19', '592', '760']
['583', '75', '394', '421', '813', '783', '77', '569', '782', '670', '640', '386', '510', '67', '613', '555', '763', '392', '191', '604', '801', '152', '38', '489', '45', '22', '126', '840', '578', '9']
['46', '375', '343', '7', '404', '361', '723', '851', '669', '98', '522', '703', '764', '302', '769', '217', '430', '745', '202', '97', '689', '127', '0', '565', '94', '450', '424', '315', '385', '617']
['415', '433', '295', '537', '869', '878', '199', '159', '131', '469', '553', '118', '456', '135', '147', '656', '353', '475', '119', '724', '787', '545', '332', '4', '648', '117', '859', '577', '857', '690']
['606', '794', '704', '619', '113', '542', '561', '899', '455', '208', '673', '880', '282', '399', '164', '552', '786', '646', '652', '634', '831', '250', '65', '535', '702', '725', '566', '245', '645', '854']
['103', '881', '661', '387', '898', '360', '83', '818', '115', '393', '148', '321', '140', '42', '59', '206', '772', '258', '169', '530', '186', '746', '220', '264', '29', '848', '213', '493', '308', '168']
['576', '865', '368', '867', '498', '283', '892', '711', '390', '821', '417', '16', '841', '721', '356', '793', '391', '383', '611', '132', '474', '588', '554', '435', '154', '481', '226', '624', '201', '365']
['382', '643', '260', '657', '464', '438', '163', '506', '492', '41', '207', '328', '458', '316', '575', '540', '627', '810', '197', '833', '20', '370', '594', '817', '87', '76', '2', '153', '177', '142']
['651', '211', '442', '176', '451', '160', '544', '478', '24', '18', '111', '88', '849', '290', '34', '335', '658', '509', '708', '846', '70', '748', '761', '504', '278', '871', '579', '637', '766', '35']
['300', '170', '779', '471', '847', '660', '443', '178', '829', '461', '671', '672', '222', '165', '57', '406', '696', '422', '78', '122', '166', '465', '876', '533', '10', '568', '229', '508', '25', '401']
['633', '379', '253', '754', '284', '814', '614', '289', '362', '691', '36', '423', '322', '605', '261', '85', '157', '280', '447', '598', '524', '653', '238', '286', '121', '467', '92', '388', '124', '662']
['886', '407', '344', '882', '716', '714', '707', '317', '171', '609', '414', '373', '752', '167', '626', '218', '682', '741', '620', '228', '195', '736', '815', '313', '717', '852', '104', '294', '354', '503']
['512', '297', '378', '221', '210', '342', '734', '518', '193', '345', '675', '496', '243', '303', '266', '74', '797', '549', '459', '96', '224', '710', '667', '452', '861', '350', '39', '338', '8', '531']
['129', '631', '883', '173', '798', '655', '628', '367', '69', '330', '174', '325', '463', '454', '668', '413', '822', '590', '244', '884', '587', '287', '834', '150', '183', '112', '179', '246', '718', '805']
