['0', '287', '575']
['1', '289', '577']
['2', '290', '578']
['3', '291', '579']
['4', '292', '580']
['5', '293', '581']
['6', '294', '582']
['7', '295', '583']
['8', '296', '584']
['9', '297', '585']
['10', '298', '586']
['11', '299', '587']
['72', '360', '648']
['12', '300', '588']
['13', '301', '589']
['14', '302', '590']
['15', '303', '591']
['16', '304', '592']
['17', '305', '593']
['18', '306', '594']
['19', '307', '595']
['20', '308', '596']
['21', '309', '597']
['22', '310', '598']
['23', '311', '599']
['24', '312', '600']
['25', '313', '601']
['26', '314', '602']
['27', '315', '603']
['28', '316', '604']
['29', '317', '605']
['30', '318', '606']
['31', '319', '607']
['32', '320', '608']
['33', '321', '609']
['34', '322', '610']
['35', '323', '611']
['36', '324', '612']
['37', '325', '613']
['38', '326', '614']
['39', '327', '615']
['40', '328', '616']
['41', '329', '617']
['42', '330', '618']
['43', '331', '619']
['44', '332', '620']
['45', '333', '621']
['46', '334', '622']
['47', '335', '623']
['48', '336', '624']
['49', '337', '625']
['50', '338', '626']
['51', '339', '627']
['52', '340', '628']
['53', '341', '629']
['54', '342', '630']
['55', '343', '631']
['56', '344', '632']
['57', '345', '633']
['58', '346', '634']
['59', '347', '635']
['60', '348', '636']
['61', '349', '637']
['62', '350', '638']
['63', '351', '639']
['64', '352', '640']
['65', '353', '641']
['66', '354', '642']
['67', '355', '643']
['68', '356', '644']
['69', '357', '645']
['70', '358', '646']
['71', '359', '647']
['73', '361', '649']
['74', '362', '650']
['75', '363', '651']
['76', '364', '652']
['77', '365', '653']
['78', '366', '654']
['79', '367', '655']
['80', '368', '656']
['81', '369', '657']
['82', '370', '658']
['83', '371', '659']
['144', '432', '720']
['84', '372', '660']
['85', '373', '661']
['86', '374', '662']
['87', '375', '663']
['88', '376', '664']
['89', '377', '665']
['90', '378', '666']
['91', '379', '667']
['92', '380', '668']
['93', '381', '669']
['94', '382', '670']
['95', '383', '671']
['96', '384', '672']
['97', '385', '673']
['98', '386', '674']
['99', '387', '675']
['100', '388', '676']
['101', '389', '677']
['102', '390', '678']
['103', '391', '679']
['104', '392', '680']
['105', '393', '681']
['106', '394', '682']
['107', '395', '683']
['108', '396', '684']
['109', '397', '685']
['110', '398', '686']
['111', '399', '687']
['112', '400', '688']
['113', '401', '689']
['114', '402', '690']
['115', '403', '691']
['116', '404', '692']
['117', '405', '693']
['118', '406', '694']
['119', '407', '695']
['120', '408', '696']
['121', '409', '697']
['122', '410', '698']
['123', '411', '699']
['124', '412', '700']
['125', '413', '701']
['126', '414', '702']
['127', '415', '703']
['128', '416', '704']
['129', '417', '705']
['130', '418', '706']
['131', '419', '707']
['132', '420', '708']
['133', '421', '709']
['134', '422', '710']
['135', '423', '711']
['136', '424', '712']
['137', '425', '713']
['138', '426', '714']
['139', '427', '715']
['140', '428', '716']
['141', '429', '717']
['142', '430', '718']
['143', '431', '719']
['145', '433', '721']
['146', '434', '722']
['147', '435', '723']
['148', '436', '724']
['149', '437', '725']
['150', '438', '726']
['151', '439', '727']
['152', '440', '728']
['153', '441', '729']
['154', '442', '730']
['155', '443', '731']
['216', '504', '792']
['156', '444', '732']
['157', '445', '733']
['158', '446', '734']
['159', '447', '735']
['160', '448', '736']
['161', '449', '737']
['162', '450', '738']
['163', '451', '739']
['164', '452', '740']
['165', '453', '741']
['166', '454', '742']
['167', '455', '743']
['168', '456', '744']
['169', '457', '745']
['170', '458', '746']
['171', '459', '747']
['172', '460', '748']
['173', '461', '749']
['174', '462', '750']
['175', '463', '751']
['176', '464', '752']
['177', '465', '753']
['178', '466', '754']
['179', '467', '755']
['180', '468', '756']
['181', '469', '757']
['182', '470', '758']
['183', '471', '759']
['184', '472', '760']
['185', '473', '761']
['186', '474', '762']
['187', '475', '763']
['188', '476', '764']
['189', '477', '765']
['190', '478', '766']
['191', '479', '767']
['192', '480', '768']
['193', '481', '769']
['194', '482', '770']
['195', '483', '771']
['196', '484', '772']
['197', '485', '773']
['198', '486', '774']
['199', '487', '775']
['200', '488', '776']
['201', '489', '777']
['202', '490', '778']
['203', '491', '779']
['204', '492', '780']
['205', '493', '781']
['206', '494', '782']
['207', '495', '783']
['208', '496', '784']
['209', '497', '785']
['210', '498', '786']
['211', '499', '787']
['212', '500', '788']
['213', '501', '789']
['214', '502', '790']
['215', '503', '791']
['217', '505', '793']
['218', '506', '794']
['219', '507', '795']
['220', '508', '796']
['221', '509', '797']
['222', '510', '798']
['223', '511', '799']
['224', '512', '800']
['225', '513', '801']
['226', '514', '802']
['227', '515', '803']
['288', '576', '804']
['228', '516', '805']
['229', '517', '806']
['230', '518', '807']
['231', '519', '808']
['232', '520', '809']
['233', '521', '810']
['234', '522', '811']
['235', '523', '812']
['236', '524', '813']
['237', '525', '814']
['238', '526', '815']
['239', '527', '816']
['240', '528', '817']
['241', '529', '818']
['242', '530', '819']
['243', '531', '820']
['244', '532', '821']
['245', '533', '822']
['246', '534', '823']
['247', '535', '824']
['248', '536', '825']
['249', '537', '826']
['250', '538', '827']
['251', '539', '828']
['252', '540', '829']
['253', '541', '830']
['254', '542', '831']
['255', '543', '832']
['256', '544', '833']
['257', '545', '834']
['258', '546', '835']
['259', '547', '836']
['260', '548', '837']
['261', '549', '838']
['262', '550', '839']
['263', '551', '840']
['264', '552', '841']
['265', '553', '842']
['266', '554', '843']
['267', '555', '844']
['268', '556', '845']
['269', '557', '846']
['270', '558', '847']
['271', '559', '848']
['272', '560', '849']
['273', '561', '850']
['274', '562', '851']
['275', '563', '852']
['276', '564', '853']
['277', '565', '854']
['278', '566', '855']
['279', '567', '856']
['280', '568', '857']
['281', '569', '858']
['282', '570', '859']
['283', '571', '860']
['284', '572', '861']
['285', '573', '862']
['286', '574', '863']
