['0', '20', '40', '60', '80', '100', '128', '148', '160', '180', '200', '220', '256', '276', '280', '300', '320', '340', '384', '364', '400', '420', '440', '460', '512', '492', '520', '540', '560', '580', '600', '620', '640', '660', '680', '700', '720', '740', '768', '788']
['1', '21', '41', '61', '81', '101', '129', '149', '161', '181', '201', '221', '257', '277', '281', '301', '321', '341', '385', '365', '401', '421', '441', '461', '513', '493', '521', '541', '561', '581', '601', '621', '641', '661', '681', '701', '721', '741', '769', '789']
['2', '22', '42', '62', '82', '102', '130', '150', '162', '182', '202', '222', '258', '278', '282', '302', '322', '342', '386', '366', '402', '422', '442', '462', '514', '494', '522', '542', '562', '582', '602', '622', '642', '662', '682', '702', '722', '742', '770', '790']
['3', '23', '43', '63', '83', '103', '131', '151', '163', '183', '203', '223', '259', '279', '283', '303', '323', '343', '387', '367', '403', '423', '443', '463', '515', '495', '523', '543', '563', '583', '603', '623', '643', '663', '683', '703', '723', '743', '771', '791']
['4', '24', '44', '64', '84', '104', '132', '152', '164', '184', '204', '224', '260', '240', '284', '304', '324', '344', '388', '368', '404', '424', '444', '464', '516', '496', '524', '544', '564', '584', '604', '624', '644', '664', '684', '704', '724', '744', '772', '792']
['5', '25', '45', '65', '85', '105', '133', '153', '165', '185', '205', '225', '261', '241', '285', '305', '325', '345', '389', '369', '405', '425', '445', '465', '517', '497', '525', '545', '565', '585', '605', '625', '645', '665', '685', '705', '725', '745', '773', '793']
['6', '26', '46', '66', '86', '106', '134', '154', '166', '186', '206', '226', '262', '242', '286', '306', '326', '346', '390', '370', '406', '426', '446', '466', '518', '498', '526', '546', '566', '586', '606', '626', '646', '666', '686', '706', '726', '746', '774', '794']
['7', '27', '47', '67', '87', '107', '135', '155', '167', '187', '207', '227', '263', '243', '287', '307', '327', '347', '391', '371', '407', '427', '447', '467', '519', '499', '527', '547', '567', '587', '607', '627', '647', '667', '687', '707', '727', '747', '775', '795']
['8', '28', '48', '68', '88', '108', '136', '156', '168', '188', '208', '228', '264', '244', '288', '308', '328', '348', '392', '372', '408', '428', '448', '468', '480', '500', '528', '548', '568', '588', '608', '628', '648', '668', '688', '708', '728', '748', '776', '796']
['9', '29', '49', '69', '89', '109', '137', '157', '169', '189', '209', '229', '265', '245', '289', '309', '329', '349', '393', '373', '409', '429', '449', '469', '481', '501', '529', '549', '569', '589', '609', '629', '649', '669', '689', '709', '729', '749', '777', '797']
['10', '30', '50', '70', '90', '110', '138', '158', '170', '190', '210', '230', '266', '246', '290', '310', '330', '350', '394', '374', '410', '430', '450', '470', '482', '502', '530', '550', '570', '590', '610', '630', '650', '670', '690', '710', '730', '750', '778', '798']
['11', '31', '51', '71', '91', '111', '139', '159', '171', '191', '211', '231', '267', '247', '291', '311', '331', '351', '395', '375', '411', '431', '451', '471', '483', '503', '531', '551', '571', '591', '611', '631', '651', '671', '691', '711', '731', '751', '779', '799']
['12', '32', '52', '72', '92', '112', '140', '120', '172', '192', '212', '232', '268', '248', '292', '312', '332', '352', '396', '376', '412', '432', '452', '472', '484', '504', '532', '552', '572', '592', '612', '632', '652', '672', '692', '712', '732', '752', '780', '760']
['13', '33', '53', '73', '93', '113', '141', '121', '173', '193', '213', '233', '269', '249', '293', '313', '333', '353', '397', '377', '413', '433', '453', '473', '485', '505', '533', '553', '573', '593', '613', '633', '653', '673', '693', '713', '733', '753', '781', '761']
['14', '34', '54', '74', '94', '114', '142', '122', '174', '194', '214', '234', '270', '250', '294', '314', '334', '354', '398', '378', '414', '434', '454', '474', '486', '506', '534', '554', '574', '594', '614', '634', '654', '674', '694', '714', '734', '754', '782', '762']
['15', '35', '55', '75', '95', '115', '143', '123', '175', '195', '215', '235', '271', '251', '295', '315', '335', '355', '399', '379', '415', '435', '455', '475', '487', '507', '535', '555', '575', '595', '615', '635', '655', '675', '695', '715', '735', '755', '783', '763']
['16', '36', '56', '76', '96', '116', '144', '124', '176', '196', '216', '236', '272', '252', '296', '316', '336', '356', '360', '380', '416', '436', '456', '476', '488', '508', '536', '556', '576', '596', '616', '636', '656', '676', '696', '716', '736', '756', '784', '764']
['17', '37', '57', '77', '97', '117', '145', '125', '177', '197', '217', '237', '273', '253', '297', '317', '337', '357', '361', '381', '417', '437', '457', '477', '489', '509', '537', '557', '577', '597', '617', '637', '657', '677', '697', '717', '737', '757', '785', '765']
['18', '38', '58', '78', '98', '118', '146', '126', '178', '198', '218', '238', '274', '254', '298', '318', '338', '358', '362', '382', '418', '438', '458', '478', '490', '510', '538', '558', '578', '598', '618', '638', '658', '678', '698', '718', '738', '758', '786', '766']
['19', '39', '59', '79', '99', '119', '147', '127', '179', '199', '219', '239', '275', '255', '299', '319', '339', '359', '363', '383', '419', '439', '459', '479', '491', '511', '539', '559', '579', '599', '619', '639', '659', '679', '699', '719', '739', '759', '787', '767']
