['344', '199', '449', '39', '339', '97', '141', '25', '378', '81', '452', '181', '320', '75', '129', '316', '384', '254', '162', '211', '265', '110', '303', '152', '489']
['0', '198', '448', '38', '338', '96', '148', '26', '371', '86', '453', '186', '321', '74', '414', '315', '385', '255', '163', '218', '264', '113', '304', '155', '488']
['346', '195', '443', '33', '335', '238', '149', '27', '370', '87', '454', '187', '326', '73', '415', '314', '386', '469', '9', '219', '269', '112', '305', '154', '487']
['347', '194', '442', '32', '334', '239', '133', '20', '373', '84', '455', '184', '327', '72', '416', '496', '387', '468', '357', '289', '268', '119', '306', '157', '486']
['340', '197', '441', '31', '337', '234', '132', '21', '372', '85', '456', '185', '324', '71', '417', '497', '388', '465', '356', '288', '59', '118', '307', '156', '485']
['341', '196', '440', '30', '336', '235', '131', '22', '375', '7', '457', '188', '325', '70', '410', '3', '389', '464', '355', '4', '58', '429', '229', '159', '484']
['342', '191', '447', '37', '331', '236', '130', '23', '374', '245', '179', '189', '328', '79', '411', '368', '60', '467', '354', '281', '55', '428', '228', '158', '483']
['343', '190', '446', '36', '330', '237', '137', '28', '377', '244', '178', '11', '329', '78', '412', '369', '61', '466', '353', '280', '54', '421', '227', '399', '482']
['348', '193', '445', '35', '333', '230', '136', '29', '376', '247', '177', '10', '201', '2', '413', '366', '258', '461', '352', '283', '57', '420', '226', '398', '481']
['349', '192', '444', '34', '332', '231', '135', '407', '393', '246', '176', '13', '200', '8', '498', '367', '259', '460', '351', '282', '56', '423', '225', '48', '480']
['298', '270', '108', '438', '345', '232', '134', '406', '392', '241', '175', '12', '203', '68', '418', '364', '64', '463', '350', '285', '51', '422', '224', '49', '472']
['299', '271', '109', '439', '6', '233', '494', '405', '88', '240', '174', '15', '202', '120', '419', '365', '65', '462', '359', '284', '50', '425', '223', '46', '473']
['296', '272', '102', '436', '99', '1', '495', '404', '89', '243', '173', '14', '205', '121', '499', '362', '66', '168', '358', '287', '53', '424', '222', '47', '470']
['297', '273', '103', '437', '98', '146', '139', '403', '397', '242', '172', '17', '204', '122', '319', '363', '67', '169', '216', '286', '52', '427', '221', '44', '471']
['294', '274', '100', '434', '91', '147', '138', '402', '396', '249', '171', '16', '207', '123', '318', '360', '252', '164', '217', '263', '63', '426', '220', '45', '476']
['295', '275', '101', '435', '90', '144', '490', '401', '395', '248', '170', '19', '206', '124', '313', '361', '69', '165', '214', '262', '115', '308', '391', '42', '477']
['292', '276', '106', '432', '93', '145', '491', '400', '394', '458', '253', '18', '209', '125', '312', '380', '250', '166', '215', '261', '114', '309', '390', '43', '474']
['293', '277', '107', '433', '92', '142', '492', '409', '82', '459', '182', '62', '208', '126', '311', '381', '251', '167', '212', '260', '117', '300', '151', '40', '475']
['290', '278', '104', '430', '95', '143', '493', '408', '83', '450', '183', '322', '77', '127', '310', '382', '256', '160', '213', '267', '116', '301', '150', '41', '478']
['291', '279', '105', '431', '94', '140', '24', '379', '80', '451', '180', '323', '76', '128', '317', '383', '257', '161', '210', '266', '111', '302', '153', '5', '479']
