['168', '706', '676', '722', '172', '739', '573', '122', '515', '729', '466', '630', '143', '150', '12', '358', '3', '75', '666', '361', '253', '327', '535', '392', '639', '408', '13', '271', '473', '315', '194', '31']
['37', '486', '645', '484', '131', '106', '425', '531', '662', '321', '370', '677', '28', '250', '752', '710', '461', '212', '756', '776', '481', '42', '693', '180', '499', '181', '561', '278', '642', '664', '437', '459']
['151', '608', '210', '203', '570', '133', '633', '135', '310', '789', '357', '121', '27', '581', '335', '152', '296', '313', '469', '169', '771', '427', '597', '685', '109', '286', '795', '78', '671', '140', '567', '382']
['223', '49', '556', '206', '737', '126', '208', '625', '483', '65', '268', '432', '98', '718', '249', '284', '791', '386', '788', '330', '765', '92', '732', '1', '258', '173', '46', '448', '444', '762', '611', '119']
['619', '768', '713', '743', '276', '496', '205', '431', '29', '443', '252', '521', '623', '218', '225', '32', '118', '725', '575', '74', '491', '422', '224', '516', '511', '663', '798', '309', '560', '757', '141', '33']
['429', '497', '530', '615', '333', '406', '70', '430', '533', '339', '176', '38', '64', '726', '721', '178', '192', '277', '305', '351', '190', '452', '58', '18', '613', '759', '487', '320', '624', '341', '129', '257']
['289', '363', '63', '36', '509', '47', '774', '229', '728', '735', '653', '730', '378', '137', '188', '91', '686', '102', '641', '501', '426', '457', '701', '451', '240', '376', '127', '402', '187', '492', '89', '367']
['84', '494', '435', '529', '652', '45', '164', '434', '785', '319', '350', '359', '647', '66', '214', '470', '256', '506', '236', '336', '704', '144', '514', '86', '545', '688', '447', '553', '349', '72', '734', '108']
['204', '409', '755', '674', '557', '380', '572', '56', '85', '26', '352', '698', '355', '314', '247', '83', '145', '558', '340', '779', '465', '81', '695', '90', '136', '614', '139', '239', '781', '500', '395', '634']
['513', '684', '22', '400', '522', '34', '248', '595', '412', '61', '393', '342', '585', '287', '709', '255', '407', '482', '644', '185', '132', '532', '282', '631', '760', '699', '632', '618', '329', '14', '288', '714']
['104', '598', '167', '421', '79', '696', '603', '635', '503', '246', '245', '471', '612', '254', '99', '477', '87', '640', '55', '295', '264', '745', '772', '93', '216', '71', '134', '610', '283', '485', '439', '741']
['170', '325', '747', '703', '373', '294', '489', '162', '474', '783', '629', '773', '565', '416', '655', '436', '200', '649', '232', '424', '568', '261', '364', '48', '280', '76', '599', '219', '165', '267', '383', '306']
['308', '462', '230', '638', '375', '293', '571', '733', '792', '241', '348', '667', '385', '617', '766', '21', '498', '52', '221', '323', '502', '130', '59', '654', '120', '374', '369', '700', '716', '731', '550', '707']
['682', '660', '399', '445', '317', '304', '758', '8', '207', '307', '549', '764', '680', '463', '523', '80', '458', '227', '744', '388', '166', '113', '428', '564', '668', '198', '449', '290', '51', '156', '643', '201']
['659', '778', '702', '548', '356', '453', '479', '607', '107', '260', '446', '775', '606', '799', '551', '234', '546', '657', '656', '675', '54', '616', '442', '35', '419', '292', '20', '5', '750', '312', '636', '697']
['715', '524', '184', '493', '138', '410', '43', '153', '605', '110', '155', '362', '0', '787', '753', '420', '694', '536', '646', '450', '740', '124', '97', '518', '604', '233', '488', '275', '391', '211', '95', '720']
['274', '797', '594', '68', '149', '574', '251', '403', '16', '472', '528', '464', '579', '433', '405', '39', '182', '298', '88', '302', '767', '602', '142', '366', '301', '24', '751', '159', '10', '163', '627', '157']
['542', '592', '456', '480', '324', '609', '161', '146', '213', '285', '186', '57', '790', '637', '415', '510', '600', '303', '291', '455', '796', '552', '326', '360', '128', '25', '692', '673', '589', '711', '596', '354']
['490', '584', '761', '266', '53', '687', '331', '708', '478', '371', '179', '577', '279', '691', '520', '372', '101', '387', '650', '19', '719', '30', '590', '538', '665', '111', '454', '311', '199', '580', '763', '679']
['712', '672', '67', '417', '60', '507', '576', '628', '337', '125', '189', '508', '562', '754', '41', '11', '539', '749', '398', '171', '736', '215', '748', '368', '793', '73', '334', '705', '115', '209', '23', '222']
['794', '177', '519', '583', '235', '158', '438', '193', '94', '723', '547', '527', '17', '318', '569', '727', '117', '365', '661', '197', '62', '601', '377', '238', '148', '724', '226', '669', '6', '297', '381', '220']
['717', '44', '259', '512', '681', '244', '504', '593', '40', '338', '746', '578', '517', '202', '394', '537', '414', '780', '526', '147', '272', '475', '269', '384', '7', '96', '270', '770', '587', '468', '116', '476']
['678', '648', '543', '114', '237', '586', '196', '390', '105', '559', '441', '626', '495', '69', '544', '389', '343', '620', '77', '191', '195', '262', '103', '525', '541', '555', '242', '554', '689', '467', '300', '347']
['782', '505', '397', '228', '379', '217', '154', '401', '658', '440', '263', '344', '160', '563', '404', '582', '423', '174', '175', '777', '651', '738', '534', '540', '328', '396', '273', '265', '123', '411', '690', '588']
['621', '112', '322', '9', '591', '299', '418', '622', '346', '566', '50', '15', '183', '413', '243', '316', '353', '281', '683', '4', '786', '2', '82', '332', '769', '231', '742', '460', '670', '345', '784', '100']
