['798', '12', '351']
['100', '424', '242']
['938', '65', '569']
['36', '560', '95']
['302', '966', '24']
['30', '975', '108']
['220', '400', '84']
['623', '208', '974']
['752', '230', '492']
['273', '573', '717']
['325', '679', '748']
['493', '58', '701']
['792', '316', '443']
['321', '894', '878']
['549', '428', '633']
['472', '407', '507']
['708', '813', '688']
['783', '847', '114']
['201', '901', '803']
['240', '820', '301']
['159', '280', '602']
['225', '162', '26']
['685', '18', '784']
['654', '352', '535']
['85', '559', '215']
['796', '727', '342']
['69', '818', '67']
['384', '945', '177']
['942', '419', '618']
['912', '13', '82']
['176', '420', '105']
['268', '266', '931']
['969', '111', '152']
['613', '871', '28']
['943', '204', '637']
['254', '951', '977']
['944', '93', '356']
['787', '250', '844']
['68', '663', '380']
['827', '976', '153']
['169', '269', '461']
['644', '373', '392']
['804', '164', '283']
['640', '451', '73']
['568', '267', '687']
['205', '906', '664']
['534', '877', '62']
['288', '571', '971']
['379', '448', '417']
['195', '815', '677']
['993', '604', '383']
['309', '422', '845']
['839', '504', '56']
['120', '660', '396']
['849', '513', '842']
['463', '954', '957']
['256', '651', '198']
['239', '295', '720']
['291', '879', '21']
['928', '883', '620']
['458', '367', '406']
['830', '986', '596']
['676', '76', '908']
['518', '716', '314']
['248', '814', '521']
['168', '916', '731']
['231', '113', '599']
['745', '981', '148']
['408', '800', '498']
['700', '965', '286']
['998', '332', '910']
['324', '614', '481']
['445', '106', '854']
['588', '398', '592']
['988', '649', '92']
['746', '753', '953']
['831', '608', '578']
['516', '116', '754']
['369', '769', '425']
['175', '299', '469']
['238', '764', '918']
['173', '722', '503']
['860', '35', '290']
['192', '412', '794']
['530', '210', '575']
['251', '51', '926']
['511', '122', '232']
['682', '16', '935']
['243', '806', '900']
['294', '635', '234']
['415', '696', '247']
['484', '319', '950']
['157', '533', '809']
['675', '74', '252']
['665', '907', '873']
['397', '532', '702']
['680', '773', '132']
['241', '775', '724']
['810', '354', '20']
['271', '237', '546']
['642', '282', '992']
['172', '967', '756']
['876', '917', '473']
['442', '619', '807']
['554', '961', '363']
['438', '766', '607']
['186', '589', '989']
['14', '423', '853']
['465', '457', '88']
['494', '459', '736']
['179', '555', '310']
['207', '315', '856']
['940', '594', '382']
['365', '836', '686']
['450', '199', '567']
['59', '46', '431']
['543', '726', '763']
['33', '221', '579']
['19', '625', '973']
['650', '678', '433']
['757', '905', '206']
['990', '126', '362']
['850', '952', '265']
['693', '508', '287']
['337', '89', '202']
['997', '296', '366']
['576', '345', '52']
['648', '197', '87']
['150', '333', '410']
['118', '656', '209']
['349', '96', '48']
['838', '160', '824']
['23', '449', '937']
['888', '771', '323']
['767', '895', '317']
['258', '370', '597']
['566', '185', '414']
['117', '284', '1']
['556', '822', '306']
['223', '956', '90']
['502', '652', '244']
['855', '715', '27']
['138', '228', '553']
['163', '638', '857']
['257', '707', '326']
['308', '674', '788']
['128', '781', '739']
['886', '817', '987']
['848', '634', '983']
['821', '709', '692']
['581', '659', '541']
['528', '718', '180']
['71', '102', '527']
['927', '622', '617']
['606', '434', '915']
['601', '510', '0']
['835', '39', '405']
['833', '181', '851']
['922', '874', '923']
['83', '447', '612']
['647', '683', '765']
['214', '631', '551']
['453', '595', '97']
['577', '371', '41']
['297', '586', '570']
['880', '212', '235']
['919', '61', '828']
