['273', '122', '183', '649', '364', '580', '2']
['539', '559', '156', '328', '6', '493', '606']
['525', '192', '636', '96', '253', '316', '450']
['414', '406', '372', '430', '638', '421', '338']
['60', '62', '141', '157', '478', '665', '453']
['258', '95', '330', '562', '648', '333', '560']
['234', '269', '160', '107', '679', '262', '439']
['380', '624', '7', '4', '64', '530', '448']
['537', '52', '354', '229', '112', '578', '524']
['104', '422', '136', '147', '656', '444', '82']
['256', '231', '151', '384', '223', '173', '692']
['188', '581', '391', '12', '245', '186', '56']
['368', '526', '343', '319', '365', '398', '597']
['105', '484', '339', '670', '612', '473', '20']
['79', '348', '352', '654', '637', '57', '159']
['216', '169', '276', '72', '447', '296', '286']
['599', '630', '658', '1', '166', '219', '63']
['695', '153', '582', '634', '571', '661', '487']
['185', '342', '527', '214', '326', '230', '512']
['283', '178', '431', '375', '131', '641', '595']
['545', '551', '633', '518', '579', '139', '68']
['664', '24', '501', '542', '520', '226', '237']
['681', '425', '23', '684', '124', '115', '374']
['678', '337', '683', '301', '660', '291', '401']
['171', '643', '356', '38', '14', '482', '315']
['504', '322', '691', '446', '331', '54', '567']
['395', '158', '676', '502', '362', '673', '497']
['585', '209', '295', '435', '218', '386', '152']
['382', '39', '161', '92', '698', '388', '36']
['40', '127', '203', '516', '9', '350', '476']
['247', '18', '426', '620', '53', '235', '657']
['699', '80', '462', '635', '533', '251', '0']
['355', '33', '377', '266', '35', '168', '667']
['480', '129', '662', '217', '29', '272', '208']
['626', '644', '541', '361', '467', '544', '265']
['623', '437', '244', '84', '106', '224', '653']
['206', '259', '264', '22', '321', '554', '140']
['460', '604', '594', '593', '205', '523', '42']
['459', '289', '121', '403', '611', '682', '43']
['693', '221', '196', '246', '627', '655', '685']
['155', '600', '252', '349', '278', '117', '305']
['399', '145', '490', '255', '666', '363', '492']
['120', '100', '565', '48', '615', '88', '573']
['202', '415', '564', '472', '76', '357', '181']
['477', '379', '238', '198', '236', '94', '697']
['257', '576', '625', '303', '397', '427', '81']
['227', '175', '677', '26', '108', '563', '495']
['668', '69', '470', '659', '228', '650', '675']
['270', '59', '70', '182', '614', '165', '588']
['210', '16', '290', '335', '535', '190', '402']
['340', '41', '416', '616', '90', '177', '66']
['11', '547', '590', '297', '97', '34', '543']
['313', '394', '433', '540', '50', '370', '341']
['461', '481', '67', '686', '428', '294', '546']
['298', '134', '622', '329', '631', '98', '531']
['589', '116', '240', '494', '514', '302', '263']
['300', '550', '45', '628', '574', '509', '413']
['250', '389', '486', '345', '281', '318', '317']
['378', '457', '320', '75', '438', '200', '193']
['534', '429', '570', '351', '696', '199', '489']
['569', '212', '417', '146', '556', '307', '189']
['508', '249', '629', '454', '652', '288', '174']
['601', '267', '149', '367', '511', '387', '30']
['445', '410', '561', '233', '31', '455', '282']
['195', '164', '191', '179', '103', '619', '366']
['688', '248', '346', '485', '651', '617', '292']
['469', '584', '176', '442', '27', '102', '360']
['184', '645', '150', '680', '144', '496', '522']
['78', '532', '49', '275', '519', '336', '86']
['25', '400', '449', '385', '128', '162', '521']
['383', '405', '204', '232', '566', '586', '13']
['111', '170', '261', '419', '555', '671', '436']
['180', '503', '596', '194', '334', '434', '37']
['99', '663', '608', '587', '309', '125', '424']
['647', '690', '432', '137', '344', '393', '369']
['132', '325', '632', '44', '71', '451', '420']
['93', '211', '306', '458', '123', '603', '536']
['506', '215', '8', '279', '207', '110', '491']
['466', '553', '557', '513', '610', '172', '87']
['142', '381', '3', '222', '254', '483', '55']
['311', '465', '669', '498', '47', '592', '412']
['359', '376', '479', '58', '552', '607', '61']
['143', '510', '464', '409', '312', '138', '74']
['640', '538', '118', '371', '314', '411', '85']
['423', '347', '598', '463', '10', '28', '353']
['148', '225', '575', '260', '46', '114', '163']
['126', '242', '468', '73', '621', '293', '327']
['15', '443', '568', '280', '505', '572', '89']
['396', '271', '285', '358', '77', '456', '689']
['284', '507', '452', '241', '277', '694', '392']
['17', '324', '558', '65', '51', '605', '21']
['674', '119', '441', '500', '109', '577', '135']
['642', '91', '113', '83', '529', '130', '646']
['101', '274', '304', '407', '308', '133', '323']
['474', '201', '154', '390', '488', '220', '167']
['418', '583', '243', '591', '187', '609', '373']
['287', '618', '613', '471', '475', '32', '213']
['299', '639', '404', '548', '268', '197', '332']
['239', '19', '549', '672', '310', '602', '517']
['5', '408', '515', '499', '687', '528', '440']
