['510', '788', '479', '433', '830', '219', '908', '309', '653', '493', '907', '735', '752', '697', '692', '394', '554', '373', '495', '748']
['86', '918', '858', '717', '526', '740', '571', '560', '374', '683', '47', '76', '494', '517', '40', '664', '481', '869', '110', '380']
['247', '99', '627', '563', '429', '323', '619', '12', '695', '437', '362', '94', '256', '567', '273', '707', '922', '28', '678', '105']
['840', '535', '927', '538', '285', '73', '270', '787', '679', '663', '342', '236', '282', '796', '405', '107', '590', '643', '372', '729']
['704', '648', '821', '155', '465', '675', '212', '208', '482', '456', '457', '333', '361', '20', '569', '30', '70', '449', '866', '325']
['346', '976', '324', '197', '448', '172', '550', '608', '178', '996', '680', '210', '872', '845', '504', '484', '189', '673', '269', '674']
['759', '566', '639', '602', '814', '961', '655', '642', '965', '257', '802', '15', '235', '621', '423', '988', '140', '524', '741', '313']
['990', '825', '743', '254', '665', '838', '1', '992', '258', '716', '341', '928', '469', '690', '202', '565', '387', '8', '559', '500']
['568', '160', '964', '782', '857', '769', '895', '513', '575', '308', '936', '561', '196', '137', '359', '220', '850', '39', '970', '62']
['836', '19', '706', '733', '843', '773', '917', '291', '6', '78', '151', '271', '863', '322', '251', '320', '487', '879', '431', '913']
['24', '52', '942', '411', '541', '393', '327', '624', '89', '43', '980', '321', '975', '905', '912', '929', '649', '111', '558', '245']
['150', '207', '725', '145', '408', '389', '612', '562', '388', '67', '902', '304', '152', '744', '564', '27', '497', '244', '330', '656']
['522', '404', '331', '837', '801', '130', '841', '278', '979', '460', '476', '728', '668', '977', '458', '592', '578', '703', '817', '367']
['756', '200', '310', '791', '848', '119', '886', '813', '338', '81', '906', '793', '924', '546', '960', '700', '909', '461', '294', '523']
['641', '306', '711', '190', '171', '116', '343', '92', '594', '289', '753', '585', '868', '634', '638', '226', '143', '468', '985', '166']
['552', '302', '14', '250', '894', '268', '900', '46', '573', '557', '659', '618', '297', '348', '375', '298', '651', '398', '572', '33']
['632', '141', '59', '109', '381', '747', '265', '117', '556', '916', '72', '891', '667', '677', '644', '609', '214', '293', '871', '296']
['158', '314', '930', '473', '490', '113', '75', '660', '623', '305', '420', '984', '194', '941', '767', '763', '501', '382', '100', '440']
['897', '702', '142', '827', '369', '228', '413', '806', '34', '414', '488', '630', '453', '36', '865', '809', '192', '935', '93', '635']
['832', '224', '603', '41', '613', '79', '365', '157', '91', '614', '582', '768', '286', '953', '131', '410', '997', '920', '377', '277']
['849', '123', '90', '396', '765', '738', '132', '661', '616', '326', '989', '896', '349', '339', '547', '880', '999', '436', '409', '364']
['686', '870', '272', '471', '577', '63', '892', '165', '662', '666', '958', '784', '861', '426', '350', '316', '670', '71', '162', '261']
['528', '864', '951', '829', '901', '424', '724', '88', '718', '587', '336', '96', '376', '57', '164', '971', '758', '973', '944', '179']
['520', '940', '416', '898', '842', '710', '83', '279', '233', '51', '950', '736', '180', '5', '213', '345', '455', '209', '851', '629']
['938', '688', '888', '368', '454', '933', '185', '617', '766', '390', '509', '491', '418', '108', '746', '303', '447', '191', '931', '926']
['211', '507', '816', '794', '422', '177', '749', '807', '136', '48', '751', '127', '260', '540', '406', '954', '645', '199', '737', '779']
['876', '502', '593', '810', '10', '203', '138', '2', '328', '947', '459', '781', '102', '516', '867', '417', '121', '506', '529', '682']
['23', '499', '439', '201', '187', '786', '255', '206', '370', '757', '650', '218', '883', '536', '188', '790', '993', '242', '222', '778']
