['80', '278', '128', '505', '669', '82', '510', '541', '712', '807', '861', '322', '422', '982', '98', '873', '676', '817', '870', '478', '954', '132', '348', '446', '185', '328', '507', '274', '91', '734', '836', '405', '242', '228', '524', '667', '356', '709', '255', '971', '334', '857', '648', '415', '272', '994', '94', '466', '408', '986']
['889', '839', '314', '504', '515', '619', '6', '508', '10', '267', '774', '998', '591', '809', '215', '534', '542', '465', '286', '638', '299', '779', '991', '266', '932', '621', '293', '916', '867', '416', '234', '152', '543', '429', '582', '377', '301', '841', '370', '78', '153', '358', '686', '455', '635', '282', '911', '593', '11', '672']
['191', '74', '592', '130', '473', '622', '557', '354', '758', '806', '544', '848', '978', '349', '327', '142', '65', '270', '24', '895', '896', '768', '22', '763', '933', '227', '271', '364', '584', '892', '666', '700', '630', '137', '119', '579', '48', '83', '246', '134', '755', '487', '323', '720', '30', '555', '251', '764', '997', '552']
['636', '799', '610', '192', '14', '801', '106', '189', '930', '613', '623', '685', '483', '634', '977', '438', '773', '717', '248', '390', '61', '769', '329', '457', '460', '123', '381', '420', '941', '399', '716', '395', '523', '93', '784', '960', '641', '624', '535', '812', '931', '141', '8', '385', '710', '495', '759', '25', '748', '683']
['474', '252', '868', '697', '196', '652', '433', '698', '33', '959', '333', '221', '166', '169', '796', '990', '815', '900', '921', '53', '664', '382', '627', '249', '738', '733', '749', '42', '224', '637', '197', '983', '449', '145', '728', '21', '943', '461', '407', '643', '633', '0', '851', '671', '319', '451', '379', '737', '207', '76']
['532', '304', '678', '894', '174', '198', '60', '576', '729', '172', '291', '236', '864', '47', '823', '955', '468', '121', '673', '75', '519', '437', '860', '431', '263', '825', '167', '762', '915', '220', '261', '578', '444', '216', '859', '302', '617', '863', '790', '654', '303', '243', '317', '974', '404', '961', '887', '722', '168', '653']
['980', '387', '49', '726', '402', '912', '663', '262', '352', '410', '918', '5', '950', '501', '50', '247', '484', '436', '772', '398', '194', '180', '116', '702', '792', '124', '657', '822', '396', '369', '338', '597', '310', '601', '539', '938', '747', '963', '814', '583', '138', '682', '151', '934', '324', '275', '225', '813', '818', '936']
['81', '39', '797', '649', '406', '808', '480', '989', '254', '394', '372', '417', '858', '426', '44', '273', '750', '976', '660', '967', '650', '529', '531', '603', '164', '922', '497', '161', '765', '891', '89', '837', '958', '41', '170', '28', '350', '880', '714', '72', '458', '704', '751', '171', '920', '471', '362', '699', '330', '126']
['351', '454', '962', '260', '917', '853', '804', '727', '525', '940', '125', '419', '569', '761', '440', '15', '400', '549', '102', '231', '558', '68', '12', '703', '587', '109', '344', '852', '428', '31', '939', '144', '104', '577', '256', '155', '111', '996', '953', '46', '26', '871', '824', '136', '445', '285', '178', '975', '512', '957']
['339', '380', '965', '834', '739', '135', '665', '241', '452', '187', '775', '745', '668', '357', '787', '143', '561', '719', '176', '34', '588', '740', '842', '564', '724', '158', '715', '283', '786', '16', '292', '313', '850', '984', '690', '620', '536', '342', '844', '530', '173', '146', '374', '589', '730', '57', '904', '315', '388']
['701', '780', '827', '985', '513', '590', '284', '331', '204', '397', '609', '113', '499', '618', '58', '366', '614', '968', '56', '599', '27', '383', '567', '69', '99', '781', '414', '1', '373', '626', '937', '139', '598', '556', '222', '840', '973', '615', '736', '833', '810', '199', '97', '988', '674', '346', '820', '343', '826', '36']
['951', '927', '195', '311', '631', '295', '424', '608', '777', '946', '368', '746', '71', '689', '629', '182', '149', '108', '830', '706', '753', '203', '693', '409', '110', '289', '767', '869', '865', '103', '183', '776', '574', '325', '472', '972', '127', '367', '521', '391', '881', '907', '347', '371', '148', '386', '647', '661', '551', '680']
['562', '571', '209', '281', '520', '872', '430', '453', '157', '268', '742', '879', '205', '696', '486', '193', '516', '290', '233', '19', '259', '560', '312', '175', '212', '476', '335', '316', '594', '462', '250', '843', '611', '393', '475', '604', '687', '129', '874', '944', '692', '794', '945', '307', '528', '337', '838', '770', '435', '413']
['919', '670', '467', '163', '514', '147', '59', '326', '725', '165', '112', '245', '947', '423', '448', '707', '878', '906', '518', '219', '713', '87', '847', '32', '35', '418', '17', '18', '691', '893', '966', '217', '899', '829', '287', '511', '450', '547', '160', '828', '498', '913', '646', '269', '656', '332', '553', '280', '782', '115']
['877', '297', '890', '117', '384', '218', '376', '63', '802', '79', '979', '186', '29', '70', '901', '935', '403', '570', '705', '522', '200', '559', '206', '580', '341', '616', '819', '320', '981', '277', '229', '791', '835', '757', '306', '456', '359', '184', '575', '77', '948', '442', '214', '489', '45', '783', '788', '545', '133', '488']
['546', '202', '52', '771', '502', '20', '993', '62', '885', '756', '754', '3', '318', '884', '655', '902', '942', '421', '662', '375', '548', '96', '4', '995', '566', '586', '55', '688', '23', '210', '800', '213', '40', '363', '563', '86', '658', '294', '875', '239', '964', '492', '230', '66', '883', '533', '493', '926', '434', '340']
['308', '862', '13', '361', '179', '496', '188', '479', '64', '503', '463', '114', '949', '464', '585', '855', '490', '85', '903', '122', '253', '90', '846', '805', '365', '439', '744', '718', '803', '336', '789', '84', '154', '554', '298', '296', '177', '675', '581', '500', '477', '956', '550', '596', '481', '969', '38', '506', '517', '305']
['595', '679', '469', '288', '7', '684', '264', '856', '886', '639', '223', '411', '640', '632', '537', '625', '538', '509', '732', '470', '432', '849', '95', '798', '441', '265', '443', '731', '821', '905', '888', '723', '257', '118', '237', '447', '51', '735', '159', '208', '240', '485', '694', '929', '741', '427', '540', '101', '695', '162']
['876', '651', '392', '602', '244', '190', '389', '606', '898', '9', '642', '482', '987', '677', '276', '88', '573', '105', '355', '321', '866', '778', '854', '232', '708', '952', '897', '923', '309', '131', '73', '494', '353', '882', '909', '811', '924', '238', '644', '612', '970', '832', '43', '831', '211', '752', '816', '67', '607', '491']
