['58', '325', '90', '45', '104', '465', '404', '361', '170', '344', '337', '258', '147', '214', '373', '287', '127', '102', '212', '124', '176', '419', '162', '207', '321']
['56', '54', '46', '289', '78', '331', '439', '155', '152', '110', '25', '257', '408', '424', '168', '241', '48', '417', '26', '182', '359', '113', '138', '368', '277']
['62', '440', '240', '134', '371', '460', '139', '126', '199', '201', '137', '140', '268', '358', '76', '245', '352', '494', '388', '375', '329', '66', '223', '273', '94']
['499', '20', '253', '238', '301', '327', '30', '42', '50', '39', '196', '205', '432', '43', '86', '80', '398', '322', '318', '410', '136', '57', '37', '16', '492']
['49', '326', '300', '434', '121', '431', '254', '288', '485', '271', '455', '250', '309', '360', '189', '34', '164', '96', '437', '304', '339', '323', '402', '429', '31']
['381', '345', '260', '17', '83', '305', '116', '191', '91', '496', '334', '297', '52', '8', '353', '376', '498', '221', '493', '448', '180', '84', '157', '338', '380']
['481', '415', '392', '146', '218', '144', '314', '22', '19', '470', '0', '315', '198', '311', '119', '379', '447', '53', '457', '389', '354', '195', '32', '282', '6']
['420', '490', '40', '307', '239', '107', '13', '386', '215', '341', '445', '355', '349', '4', '186', '468', '117', '75', '165', '225', '263', '320', '372', '130', '335']
['95', '369', '175', '236', '79', '235', '5', '109', '366', '131', '145', '197', '378', '28', '153', '237', '247', '356', '172', '364', '105', '413', '462', '453', '350']
['333', '27', '407', '108', '203', '206', '118', '278', '286', '64', '166', '55', '97', '401', '281', '312', '488', '120', '88', '161', '111', '283', '393', '430', '274']
['149', '370', '219', '436', '89', '295', '308', '151', '279', '418', '243', '249', '44', '363', '74', '255', '486', '132', '11', '181', '284', '477', '163', '128', '423']
['495', '471', '77', '454', '193', '435', '336', '213', '141', '18', '93', '29', '2', '204', '15', '347', '342', '328', '156', '399', '173', '154', '463', '384', '228']
['190', '264', '248', '270', '92', '362', '70', '174', '21', '7', '310', '491', '63', '185', '324', '367', '394', '285', '385', '459', '36', '441', '427', '416', '293']
['269', '391', '148', '365', '122', '406', '387', '340', '259', '65', '383', '276', '99', '251', '422', '233', '473', '159', '265', '390', '67', '414', '69', '106', '303']
['451', '227', '222', '351', '298', '9', '421', '290', '229', '246', '220', '38', '1', '396', '467', '232', '275', '160', '405', '497', '143', '412', '35', '464', '261']
['480', '317', '68', '487', '482', '458', '272', '192', '129', '280', '444', '452', '51', '294', '114', '242', '266', '125', '59', '103', '450', '135', '478', '217', '112']
['475', '231', '200', '24', '123', '316', '230', '171', '397', '483', '224', '382', '474', '216', '209', '426', '343', '313', '446', '466', '411', '133', '403', '167', '71']
['142', '10', '179', '211', '484', '61', '291', '23', '101', '299', '177', '456', '346', '433', '395', '33', '226', '377', '306', '82', '262', '443', '332', '374', '73']
['442', '100', '476', '158', '449', '183', '98', '348', '425', '330', '438', '469', '234', '267', '319', '178', '302', '428', '14', '292', '47', '12', '188', '115', '187']
['3', '357', '87', '244', '256', '208', '202', '296', '472', '489', '81', '150', '194', '409', '252', '184', '461', '41', '210', '479', '85', '72', '169', '400', '60']
