['222', '368', '905', '523', '741', '643', '393', '309', '385', '549', '275', '864', '674', '840', '149', '942', '482', '12', '736', '228', '970', '319', '727', '909', '106', '187', '295', '85', '841', '56', '246', '490', '194', '804', '221', '781', '924', '154', '462', '491', '679', '262', '767', '551', '625', '58', '766', '454', '912']
['418', '620', '628', '366', '440', '82', '431', '475', '517', '502', '881', '381', '383', '215', '868', '717', '742', '211', '363', '74', '958', '370', '61', '6', '976', '808', '33', '159', '932', '845', '144', '439', '753', '844', '143', '660', '877', '79', '720', '283', '730', '227', '764', '544', '168', '114', '963', '880', '626']
['234', '466', '72', '32', '683', '377', '644', '353', '225', '806', '5', '34', '594', '829', '733', '710', '210', '328', '661', '635', '962', '847', '675', '230', '408', '317', '200', '399', '955', '0', '196', '795', '479', '793', '668', '759', '571', '140', '337', '134', '117', '40', '274', '165', '590', '177', '871', '908', '55']
['784', '947', '664', '467', '778', '695', '17', '401', '287', '655', '638', '342', '50', '116', '21', '346', '249', '367', '423', '64', '802', '109', '438', '172', '541', '390', '142', '669', '456', '29', '26', '815', '732', '959', '54', '843', '734', '146', '407', '238', '129', '631', '772', '777', '915', '854', '396', '364', '489']
['284', '694', '897', '97', '824', '608', '696', '831', '799', '934', '769', '434', '605', '907', '580', '31', '961', '965', '300', '119', '598', '335', '306', '371', '640', '530', '979', '607', '616', '780', '282', '14', '122', '59', '838', '398', '379', '911', '971', '939', '509', '599', '554', '271', '805', '25', '896', '39', '698']
['292', '474', '678', '496', '615', '365', '729', '186', '169', '443', '280', '652', '921', '151', '972', '617', '83', '421', '722', '634', '857', '651', '290', '782', '904', '705', '93', '835', '314', '415', '400', '797', '47', '45', '49', '2', '150', '568', '690', '821', '410', '667', '84', '432', '526', '409', '394', '301', '974']
['175', '387', '96', '602', '339', '178', '511', '108', '232', '887', '250', '419', '71', '173', '853', '763', '102', '951', '259', '323', '771', '428', '181', '621', '501', '255', '481', '297', '817', '906', '414', '737', '118', '848', '11', '495', '470', '865', '101', '455', '477', '622', '681', '711', '512', '731', '427', '289', '199']
['614', '76', '437', '447', '497', '940', '810', '878', '352', '224', '27', '637', '485', '936', '937', '582', '738', '525', '916', '834', '516', '663', '665', '752', '503', '849', '112', '504', '714', '943', '206', '386', '830', '855', '531', '329', '4', '745', '716', '450', '555', '922', '397', '757', '789', '823', '758', '229', '923']
['46', '15', '606', '36', '755', '327', '895', '123', '19', '689', '338', '814', '231', '645', '226', '656', '707', '341', '203', '277', '487', '81', '858', '595', '967', '179', '478', '98', '205', '460', '556', '693', '436', '657', '874', '919', '954', '566', '476', '269', '514', '536', '671', '91', '51', '506', '37', '929', '870']
['561', '933', '336', '798', '176', '532', '609', '618', '286', '416', '448', '392', '527', '768', '941', '188', '220', '38', '807', '718', '978', '121', '585', '783', '276', '827', '569', '391', '913', '375', '66', '816', '358', '350', '658', '163', '465', '9', '762', '92', '592', '449', '28', '533', '110', '893', '403', '322', '819']
['219', '601', '572', '931', '257', '552', '133', '553', '856', '248', '709', '515', '402', '579', '344', '240', '404', '99', '545', '538', '534', '726', '202', '560', '493', '575', '469', '611', '209', '10', '646', '600', '43', '828', '260', '113', '966', '442', '256', '639', '570', '315', '833', '901', '885', '803', '267', '372', '820']
