['180', '566', '680', '478', '370', '598']
['167', '645', '139', '656', '624', '220']
['130', '426', '562', '583', '67', '200']
['70', '504', '552', '77', '364', '498']
['187', '316', '329', '642', '378', '137']
['335', '89', '714', '610', '574', '665']
['663', '339', '711', '182', '593', '19']
['681', '73', '625', '655', '418', '505']
['256', '302', '640', '708', '98', '619']
['496', '702', '245', '173', '234', '553']
['74', '591', '443', '262', '321', '240']
['31', '630', '503', '632', '11', '30']
['579', '634', '357', '658', '410', '235']
['603', '578', '284', '314', '196', '345']
['62', '569', '404', '617', '620', '215']
['406', '325', '61', '581', '712', '121']
['560', '35', '435', '43', '412', '4']
['258', '500', '437', '551', '28', '596']
['601', '178', '462', '626', '185', '638']
['691', '143', '451', '547', '627', '295']
['343', '517', '568', '242', '1', '197']
['324', '159', '264', '232', '386', '606']
['347', '191', '237', '710', '155', '635']
['540', '56', '570', '668', '91', '592']
['633', '516', '253', '136', '391', '192']
['236', '7', '135', '75', '254', '164']
['380', '20', '99', '719', '597', '83']
['602', '554', '689', '674', '414', '400']
['162', '225', '82', '542', '718', '229']
['396', '556', '716', '366', '59', '587']
['113', '222', '465', '294', '424', '590']
['18', '495', '227', '210', '501', '297']
['69', '163', '692', '647', '270', '346']
['513', '392', '571', '188', '429', '127']
['485', '444', '528', '688', '348', '607']
['42', '301', '336', '416', '588', '693']
['208', '350', '298', '246', '662', '699']
['461', '176', '563', '492', '515', '434']
['72', '112', '288', '683', '212', '217']
['649', '281', '334', '238', '157', '52']
['421', '146', '37', '650', '440', '413']
['322', '96', '312', '293', '118', '661']
['390', '529', '493', '101', '105', '377']
['244', '672', '484', '320', '90', '363']
['78', '271', '156', '499', '394', '641']
['247', '703', '23', '94', '454', '467']
['383', '120', '171', '483', '682', '311']
['186', '308', '694', '398', '32', '205']
['26', '226', '534', '15', '299', '359']
['525', '14', '289', '110', '282', '259']
['255', '221', '8', '239', '189', '371']
['278', '686', '193', '87', '147', '532']
['230', '318', '257', '117', '33', '653']
['331', '684', '340', '102', '22', '399']
['623', '430', '53', '584', '419', '564']
['21', '303', '148', '126', '34', '385']
['151', '145', '518', '514', '160', '307']
['527', '214', '508', '272', '415', '138']
['36', '447', '29', '557', '460', '480']
['211', '458', '140', '168', '535', '511']
['664', '352', '522', '367', '165', '609']
['285', '228', '671', '13', '506', '555']
['618', '701', '361', '195', '660', '487']
['95', '152', '141', '448', '636', '58']
['659', '657', '709', '704', '84', '142']
['170', '441', '589', '468', '274', '360']
['417', '604', '524', '358', '323', '541']
['407', '595', '509', '132', '599', '713']
['349', '241', '92', '64', '420', '279']
['433', '213', '675', '631', '408', '310']
['507', '275', '696', '611', '5', '24']
['133', '423', '218', '473', '174', '305']
['374', '372', '85', '71', '123', '60']
['537', '427', '612', '39', '678', '338']
['175', '111', '224', '474', '395', '705']
['545', '80', '250', '494', '273', '652']
['582', '66', '382', '181', '261', '384']
['125', '306', '263', '521', '199', '405']
['459', '10', '65', '637', '369', '106']
['690', '436', '333', '481', '558', '622']
['365', '379', '629', '523', '489', '580']
['161', '68', '134', '47', '315', '409']
['615', '280', '2', '375', '639', '576']
['685', '223', '86', '531', '373', '475']
['104', '695', '233', '268', '614', '464']
['479', '269', '561', '368', '644', '621']
['628', '202', '122', '526', '40', '616']
['676', '48', '344', '567', '510', '100']
['12', '544', '204', '93', '572', '466']
['667', '482', '292', '389', '530', '109']
['393', '277', '715', '586', '16', '57']
['670', '76', '304', '287', '538', '411']
['79', '158', '654', '172', '342', '243']
['327', '341', '209', '0', '207', '206']
['326', '354', '17', '251', '469', '605']
['450', '216', '190', '328', '150', '265']
['565', '402', '291', '488', '707', '231']
['219', '27', '183', '9', '337', '381']
['687', '456', '452', '54', '55', '41']
['439', '330', '643', '700', '6', '679']
['356', '63', '477', '119', '432', '362']
['648', '103', '577', '49', '453', '114']
['355', '520', '46', '677', '486', '449']
['476', '309', '38', '88', '116', '166']
['697', '608', '376', '283', '149', '248']
['44', '286', '198', '319', '131', '519']
['129', '81', '543', '252', '438', '536']
['351', '646', '549', '706', '669', '546']
['550', '594', '457', '203', '115', '332']
['717', '497', '276', '491', '425', '144']
['573', '290', '25', '666', '154', '300']
['387', '502', '463', '559', '397', '184']
['353', '613', '177', '260', '651', '3']
['50', '673', '428', '388', '249', '317']
['575', '533', '169', '446', '585', '600']
['512', '201', '107', '45', '313', '267']
['455', '108', '422', '266', '153', '471']
['470', '431', '548', '403', '296', '490']
['194', '445', '128', '472', '698', '401']
['97', '51', '442', '124', '539', '179']
