['878', '978', '226', '110', '688', '397', '552', '850', '173', '392', '51', '460', '867', '155', '478', '675', '941', '12', '303', '586']
['358', '877', '389', '526', '56', '871', '954', '276', '249', '738', '435', '466', '489', '943', '116', '876', '692', '883', '430', '805']
['551', '260', '467', '83', '556', '652', '671', '856', '288', '134', '893', '704', '697', '416', '801', '664', '740', '408', '502', '613']
['24', '758', '981', '969', '286', '363', '85', '332', '777', '974', '714', '952', '924', '175', '348', '456', '330', '135', '284', '361']
['336', '109', '815', '27', '482', '369', '789', '950', '326', '99', '206', '580', '169', '918', '812', '581', '300', '702', '34', '334']
['216', '767', '973', '484', '673', '546', '667', '149', '601', '626', '87', '93', '931', '687', '223', '916', '662', '995', '481', '415']
['368', '520', '431', '558', '657', '532', '96', '469', '170', '230', '380', '317', '472', '188', '211', '14', '126', '222', '906', '779']
['136', '987', '691', '772', '493', '462', '253', '311', '972', '670', '196', '240', '835', '976', '873', '870', '80', '823', '703', '650']
['507', '596', '255', '166', '490', '795', '448', '668', '374', '612', '189', '915', '178', '148', '707', '826', '890', '294', '658', '838']
['463', '190', '331', '929', '290', '479', '297', '937', '414', '251', '94', '725', '958', '606', '262', '960', '101', '989', '355', '264']
['695', '860', '359', '796', '542', '434', '242', '424', '145', '114', '647', '782', '193', '497', '454', '977', '195', '818', '304', '543']
['444', '298', '942', '956', '624', '35', '343', '595', '45', '965', '617', '217', '842', '827', '534', '313', '505', '118', '44', '633']
['316', '968', '735', '651', '182', '22', '291', '728', '780', '672', '824', '165', '103', '907', '320', '781', '566', '797', '699', '545']
['74', '59', '732', '861', '739', '496', '521', '783', '410', '763', '237', '857', '574', '899', '881', '904', '184', '285', '457', '527']
['660', '828', '607', '274', '553', '568', '896', '983', '16', '859', '208', '229', '752', '813', '418', '370', '279', '676', '880', '212']
['21', '685', '281', '105', '955', '628', '940', '181', '990', '583', '985', '576', '339', '305', '405', '327', '946', '250', '19', '693']
['218', '491', '112', '442', '564', '335', '71', '354', '91', '537', '760', '347', '727', '204', '43', '593', '887', '817', '273', '167']
['909', '236', '29', '788', '133', '905', '33', '655', '55', '980', '999', '629', '371', '865', '200', '395', '997', '172', '830', '345']
['514', '265', '774', '730', '157', '603', '928', '554', '258', '618', '751', '713', '927', '839', '848', '207', '152', '510', '344', '168']
['948', '720', '755', '452', '863', '975', '721', '239', '814', '841', '378', '698', '130', '372', '86', '244', '605', '440', '241', '401']
['694', '267', '205', '761', '768', '487', '160', '386', '180', '301', '866', '113', '312', '512', '10', '967', '421', '620', '821', '623']
['231', '913', '417', '60', '54', '324', '310', '964', '98', '394', '108', '159', '733', '333', '530', '447', '509', '525', '597', '681']
['17', '903', '471', '6', '560', '742', '235', '646', '737', '277', '352', '547', '741', '256', '635', '441', '834', '922', '594', '309']
['246', '908', '665', '259', '398', '840', '143', '686', '961', '102', '712', '637', '275', '70', '853', '986', '793', '886', '15', '769']
