['425', '178', '560', '423', '825', '715', '402', '534', '515', '393']
['229', '646', '912', '272', '909', '777', '498', '441', '518', '477']
['844', '207', '491', '505', '503', '206', '220', '578', '853', '284']
['769', '405', '575', '969', '333', '966', '144', '18', '979', '915']
['797', '485', '706', '148', '509', '628', '858', '910', '507', '988']
['213', '24', '700', '543', '559', '378', '182', '622', '43', '29']
['796', '239', '83', '362', '75', '501', '893', '545', '805', '556']
['268', '642', '291', '497', '117', '566', '991', '586', '671', '170']
['411', '610', '341', '429', '965', '747', '860', '390', '522', '692']
['694', '821', '604', '724', '332', '676', '306', '33', '932', '687']
['641', '721', '129', '824', '974', '54', '169', '948', '539', '939']
['930', '817', '380', '347', '222', '181', '295', '227', '468', '587']
['928', '454', '327', '44', '626', '246', '478', '816', '779', '8']
['976', '177', '363', '417', '160', '895', '537', '55', '541', '728']
['274', '13', '352', '331', '964', '240', '199', '980', '744', '42']
['47', '252', '656', '570', '339', '263', '385', '329', '876', '982']
['134', '854', '343', '981', '304', '277', '250', '654', '869', '530']
['857', '140', '458', '907', '357', '814', '384', '285', '118', '463']
['299', '38', '488', '132', '582', '798', '62', '591', '741', '447']
['601', '977', '242', '802', '596', '116', '413', '51', '435', '358']
['801', '37', '608', '101', '414', '41', '611', '888', '613', '621']
['921', '121', '730', '483', '391', '399', '167', '245', '795', '484']
['761', '712', '804', '710', '733', '191', '471', '523', '516', '959']
['617', '397', '289', '933', '529', '691', '296', '606', '961', '521']
['324', '205', '757', '280', '81', '313', '386', '373', '917', '486']
['166', '133', '633', '439', '657', '316', '74', '102', '369', '353']
['852', '65', '431', '261', '571', '198', '843', '453', '317', '602']
['663', '734', '271', '791', '311', '115', '109', '984', '776', '618']
['952', '337', '305', '179', '549', '614', '216', '255', '968', '637']
['14', '265', '154', '967', '630', '307', '34', '546', '247', '388']
['11', '294', '555', '251', '50', '781', '922', '770', '346', '918']
['577', '845', '689', '308', '22', '114', '374', '53', '941', '709']
['487', '975', '176', '708', '282', '233', '645', '508', '658', '833']
['502', '749', '669', '461', '538', '629', '688', '533', '334', '194']
['94', '273', '627', '940', '100', '819', '188', '955', '464', '342']
['446', '152', '377', '809', '600', '662', '218', '905', '448', '445']
['865', '598', '820', '946', '678', '731', '992', '241', '78', '513']
['36', '202', '16', '64', '455', '236', '651', '368', '619', '155']
['171', '920', '960', '310', '40', '496', '211', '986', '652', '524']
['574', '793', '31', '719', '572', '919', '383', '73', '875', '732']
['519', '811', '287', '164', '714', '162', '675', '886', '589', '428']
['45', '318', '290', '56', '58', '995', '774', '520', '818', '403']
['123', '32', '615', '737', '442', '28', '262', '113', '864', '579']
['223', '249', '514', '267', '838', '667', '320', '636', '878', '175']
['387', '839', '812', '314', '958', '705', '897', '138', '506', '95']
['325', '840', '849', '554', '836', '879', '200', '298', '768', '360']
['727', '906', '139', '323', '57', '815', '25', '492', '631', '923']
['778', '344', '395', '883', '356', '433', '738', '396', '82', '588']
