['204', '28', '13', '114', '253', '34', '31', '592', '649', '476', '498', '629', '178', '203', '121', '118', '78', '711', '267', '712', '541', '704', '94', '360', '684', '412', '181', '658', '602', '350']
['299', '749', '687', '328', '623', '369', '90', '547', '193', '105', '681', '46', '413', '304', '664', '370', '228', '290', '641', '526', '520', '222', '249', '443', '77', '702', '617', '83', '445', '300']
['591', '212', '583', '128', '744', '644', '264', '439', '274', '538', '49', '419', '463', '660', '61', '60', '721', '153', '308', '457', '544', '678', '603', '634', '587', '366', '24', '342', '381', '507']
['66', '742', '333', '682', '4', '209', '628', '244', '107', '198', '344', '446', '167', '609', '182', '447', '639', '22', '377', '659', '680', '323', '610', '675', '536', '735', '152', '378', '70', '250']
['67', '55', '705', '546', '715', '501', '531', '365', '657', '408', '656', '548', '337', '12', '236', '436', '739', '159', '385', '227', '239', '586', '349', '65', '499', '265', '238', '679', '510', '289']
['580', '452', '338', '561', '567', '363', '147', '143', '303', '555', '132', '420', '543', '362', '493', '232', '552', '317', '283', '668', '17', '292', '294', '185', '528', '549', '577', '315', '685', '423']
['568', '281', '278', '464', '268', '64', '343', '503', '409', '488', '287', '627', '262', '642', '430', '16', '296', '530', '127', '25', '261', '1', '284', '161', '576', '319', '455', '710', '6', '579']
['354', '708', '187', '594', '320', '532', '56', '500', '191', '348', '373', '345', '202', '517', '376', '126', '316', '509', '221', '404', '645', '340', '564', '434', '653', '722', '379', '98', '177', '310']
['44', '176', '0', '179', '606', '733', '276', '120', '117', '437', '133', '475', '361', '214', '19', '59', '106', '671', '148', '619', '374', '497', '460', '359', '593', '438', '635', '357', '50', '516']
['197', '489', '184', '346', '302', '269', '648', '605', '454', '81', '565', '86', '566', '400', '110', '738', '297', '429', '732', '535', '697', '37', '271', '631', '144', '450', '384', '32', '465', '330']
['174', '734', '76', '633', '486', '270', '402', '654', '390', '122', '690', '172', '389', '45', '676', '23', '387', '699', '51', '442', '186', '35', '7', '556', '219', '421', '514', '461', '33', '119']
['195', '255', '224', '741', '142', '109', '573', '572', '196', '700', '570', '441', '748', '257', '424', '492', '371', '63', '525', '79', '170', '146', '693', '279', '433', '630', '691', '189', '341', '53']
['312', '375', '240', '36', '726', '451', '331', '225', '479', '495', '266', '616', '483', '14', '453', '534', '709', '559', '745', '482', '158', '263', '367', '706', '275', '364', '372', '625', '136', '388']
['590', '637', '399', '533', '554', '662', '716', '30', '99', '612', '542', '157', '229', '725', '585', '324', '718', '48', '8', '10', '472', '21', '523', '38', '103', '335', '596', '646', '589', '173']
['398', '92', '743', '581', '470', '156', '210', '537', '737', '643', '368', '674', '391', '41', '431', '252', '85', '640', '403', '155', '491', '692', '307', '124', '652', '703', '246', '471', '73', '673']
['235', '578', '401', '480', '740', '663', '322', '129', '135', '597', '293', '54', '655', '551', '314', '69', '392', '670', '504', '145', '100', '241', '487', '425', '166', '352', '467', '20', '519', '97']
['665', '611', '428', '282', '318', '574', '545', '329', '647', '458', '220', '477', '347', '205', '582', '677', '527', '87', '215', '165', '563', '88', '339', '353', '720', '502', '218', '309', '72', '234']
['427', '169', '396', '116', '539', '305', '608', '618', '707', '380', '540', '291', '511', '562', '251', '217', '313', '571', '194', '417', '730', '286', '449', '80', '207', '27', '405', '473', '226', '272']
['686', '560', '137', '52', '154', '125', '632', '459', '102', '624', '356', '93', '717', '91', '426', '418', '719', '199', '163', '729', '74', '140', '168', '206', '101', '484', '208', '595', '724', '651']
['200', '259', '444', '15', '448', '727', '5', '599', '2', '478', '410', '393', '327', '260', '71', '84', '82', '524', '512', '334', '57', '440', '494', '171', '43', '422', '254', '115', '613', '68']
['285', '131', '247', '638', '123', '698', '746', '383', '689', '26', '598', '713', '688', '29', '696', '151', '306', '188', '96', '190', '558', '141', '521', '600', '522', '466', '575', '358', '75', '134']
['406', '112', '325', '183', '139', '351', '435', '180', '621', '242', '672', '669', '550', '298', '111', '355', '588', '553', '485', '160', '108', '506', '18', '411', '407', '9', '245', '95', '529', '288']
['513', '321', '416', '301', '40', '237', '243', '104', '701', '58', '39', '414', '614', '456', '201', '695', '397', '273', '607', '277', '42', '736', '311', '231', '113', '683', '666', '89', '332', '474']
['731', '162', '481', '3', '149', '216', '230', '280', '395', '130', '394', '47', '336', '213', '505', '604', '518', '164', '490', '626', '468', '636', '728', '622', '258', '661', '469', '620', '694', '256']
['192', '714', '248', '747', '295', '508', '62', '382', '175', '386', '650', '462', '11', '601', '723', '223', '615', '415', '496', '326', '138', '557', '667', '584', '150', '211', '432', '233', '515', '569']
