['497', '600', '264']
['360', '128', '437', '715', '135', '251', '310', '724', '72', '207', '759', '292', '767', '775', '518', '151', '204', '408', '805', '809']
['59', '13', '505']
['161', '804', '785']
['577', '694', '375']
['247', '549', '353']
['313', '422', '541']
['771', '687', '656']
['758', '604', '245']
['165', '451', '229']
['712', '792', '130']
['748', '306', '240']
['342', '241', '185']
['122', '778', '643']
['395', '381', '140']
['638', '428', '299']
['587', '69', '685']
['68', '652', '426', '358']
['661', '276', '595', '530']
['667', '284', '473', '352']
['764', '249', '801', '223']
['145', '357', '163', '489']
['215', '659', '406', '519']
['280', '567', '377', '366']
['323', '60', '401', '315']
['311', '288', '594', '538']
['768', '296', '503', '97']
['670', '43', '268', '126']
['535', '243', '802', '367']
['717', '459', '556', '739']
['795', '208', '198', '425']
['285', '371', '414', '115']
['239', '298', '231', '695']
['589', '74', '539', '345']
['486', '24', '42', '615']
['793', '304', '38', '526']
['373', '644', '462', '362']
['515', '368', '542', '707']
['708', '210', '166', '67']
['591', '169', '664', '188']
['328', '698', '101', '407']
['73', '108', '619', '396']
['492', '435', '6', '34']
['798', '236', '112', '614']
['507', '448', '370', '255']
['625', '118', '2', '682']
['810', '705', '433', '443']
['325', '481', '639', '721']
['580', '111', '279', '780']
['403', '601', '732', '491']
['751', '14', '651', '379']
['726', '123', '143', '173']
['39', '583', '586', '286']
['593', '218', '412', '346']
['330', '648', '713', '421']
['474', '91', '779', '598']
['727', '51', '818', '432']
['485', '537', '261', '232']
['156', '716', '147', '678']
['283', '90', '337', '71']
['815', '762', '808', '338']
['579', '596', '696', '761']
['629', '490', '442', '756']
['684', '766', '597', '252']
['319', '66', '438', '675']
['392', '745', '575', '683']
['584', '37', '787', '402']
['314', '336', '502', '588']
['564', '540', '471', '533']
['257', '55', '148', '602']
['308', '714', '26', '531']
['450', '48', '666', '254']
['680', '578', '178', '411']
['246', '212', '746', '307']
['29', '718', '0', '676']
['355', '320', '752', '741']
['763', '446', '75', '7']
['350', '127', '439', '622']
['788', '633', '669', '170']
['806', '663', '786', '582']
['85', '735', '521', '516']
['719', '480', '544', '691']
['547', '463', '21', '528']
['816', '33', '611', '747']
['546', '476', '290', '374']
['628', '219', '84', '674']
['627', '419', '699', '603']
['702', '506', '54', '782']
['723', '623', '86', '581']
['278', '760', '237', '94']
['430', '605', '171', '571']
['731', '609', '770', '495']
['361', '728', '87', '181']
['18', '681', '125', '700']
['335', '327', '129', '269']
['302', '410', '233', '568']
['117', '262', '637', '70']
['272', '312', '387', '599']
['479', '749', '447', '12']
['263', '274', '454', '225']
['217', '686', '510', '420']
['573', '710', '711', '653']
['17', '99', '550', '365']
['429', '466', '195', '209']
['382', '183', '309', '253']
['27', '613', '693', '348']
['504', '612', '157', '386']
['23', '783', '742', '260']
['655', '632', '372', '468']
['329', '289', '205', '641']
['753', '57', '369', '574']
['440', '647', '445', '496']
['44', '216', '689', '227']
['238', '138', '660', '811']
['1', '155', '514', '404']
['415', '153', '436', '501']
['270', '391', '543', '554']
['266', '513', '380', '294']
['100', '620', '83', '194']
['688', '303', '730', '363']
['191', '791', '331', '9']
['186', '300', '244', '527']
['104', '293', '677', '803']
['465', '322', '552', '635']
['679', '184', '482', '642']
['58', '159', '697', '498']
['131', '5', '158', '281']
['259', '77', '576', '483']
['388', '167', '109', '234']
['405', '168', '267', '548']
['189', '673', '132', '649']
['740', '53', '800', '524']
['390', '47', '796', '529']
['665', '41', '175', '31']
['469', '271', '706', '508']
['734', '590', '11', '523']
['690', '525', '25', '190']
['654', '344', '318', '89']
['275', '585', '179', '287']
['692', '376', '297', '258']
['133', '470', '137', '152']
['248', '460', '722', '640']
['636', '378', '19', '499']
['134', '196', '413', '273']
['333', '631', '610', '397']
['441', '120', '765', '457']
['570', '144', '662', '790']
['400', '81', '201', '230']
['206', '102', '107', '484']
['565', '119', '797', '220']
['214', '162', '347', '141']
['464', '61', '658', '452']
['22', '560', '618', '172']
['124', '399', '553', '458']
['277', '754', '110', '701']
['242', '213', '772', '743']
['82', '608', '105', '15']
['781', '774', '487', '646']
['202', '316', '409', '160']
['750', '351', '794', '65']
['558', '30', '256', '203']
['488', '522', '393', '773']
['334', '199', '423', '606']
['431', '427', '45', '76']
['551', '222', '704', '784']
['511', '626', '46', '103']
['572', '340', '534', '114']
['177', '95', '339', '364']
['455', '668', '341', '32']
['121', '154', '777', '305']
['301', '555', '63', '146']
['106', '324', '813', '532']
['720', '434', '738', '149']
['545', '88', '500', '424']
['650', '512', '187', '359']
['49', '737', '755', '389']
['228', '493', '657', '703']
['461', '221', '709', '354']
['224', '744', '566', '520']
['557', '617', '769', '52']
['418', '453', '80']
['192', '4', '475']
['142', '517', '349']
['265', '814', '180']
['176', '757', '449']
['807', '96', '332']
['113', '467', '250']
['226', '200', '561']
['211', '671', '136']
['812', '630', '139']
['736', '356', '62']
['817', '725', '394']
['621', '729', '10']
['93', '235', '536']
['28', '116', '559']
['607', '672', '477']
['478', '776', '343']
['150', '56', '616']
['456', '385', '592']
['295', '321', '398']
['164', '733', '799']
['569', '16', '789']
['383', '472', '3']
['624', '291', '563']
['36', '282', '50']
['193', '384', '79']
['64', '634', '562']
['326', '416', '20']
['98', '494', '197']
['40', '92', '645']
['78', '182', '174']
['317', '417', '444']
['509', '8', '35']
