['161', '914', '718', '452', '179']
['346', '909', '312', '175', '406']
['79', '512', '313', '185', '875']
['728', '662', '894', '383', '897']
['144', '67', '182', '641', '836']
['533', '712', '137', '90', '556']
['32', '576', '912', '609', '570']
['139', '557', '767', '867', '236']
['31', '151', '765', '983', '540']
['240', '769', '399', '164', '209']
['648', '745', '878', '974', '105']
['2', '311', '10', '995', '503']
['919', '802', '772', '778', '743']
['70', '228', '940', '952', '200']
['564', '29', '343', '753', '335']
['871', '474', '454', '561', '893']
['211', '128', '638', '999', '993']
['183', '951', '152', '204', '923']
['961', '507', '425', '531', '825']
['945', '283', '853', '290', '310']
['587', '398', '734', '724', '954']
['304', '472', '259', '96', '560']
['591', '515', '473', '582', '92']
['849', '703', '15', '203', '402']
['862', '389', '279', '0', '191']
['66', '469', '906', '159', '176']
['889', '721', '479', '563', '145']
['272', '194', '40', '166', '260']
['101', '49', '537', '783', '394']
['26', '876', '494', '302', '37']
['899', '291', '626', '196', '415']
['834', '744', '477', '285', '250']
['971', '948', '478', '71', '538']
['225', '126', '508', '982', '773']
['959', '339', '6', '198', '666']
['682', '655', '150', '807', '859']
['763', '891', '816', '132', '549']
['51', '571', '470', '552', '782']
['496', '972', '725', '958', '764']
['258', '643', '697', '797', '788']
['517', '174', '366', '462', '345']
['850', '804', '85', '480', '567']
['378', '404', '580', '679', '960']
['171', '657', '282', '741', '212']
['539', '156', '351', '190', '98']
['748', '967', '57', '801', '623']
['506', '901', '848', '921', '812']
['476', '424', '598', '242', '13']
['288', '427', '688', '1', '180']
['786', '491', '342', '969', '890']
['691', '832', '980', '241', '554']
['516', '43', '806', '449', '519']
['265', '293', '667', '656', '726']
['405', '611', '803', '821', '865']
['877', '791', '308', '881', '72']
['36', '177', '835', '521', '627']
['590', '505', '942', '423', '21']
['586', '58', '653', '327', '768']
['723', '966', '319', '395', '828']
['608', '635', '436', '248', '929']
['904', '111', '361', '752', '332']
['47', '754', '80', '588', '463']
['438', '440', '264', '100', '138']
['520', '681', '354', '757', '385']
['223', '630', '664', '127', '338']
['155', '886', '963', '54', '584']
['714', '729', '375', '243', '443']
['337', '120', '149', '25', '296']
['428', '632', '680', '186', '256']
['102', '400', '874', '885', '696']
['64', '808', '526', '864', '523']
['844', '676', '28', '610', '855']
['59', '880', '672', '639', '633']
['684', '482', '117', '814', '333']
['944', '860', '199', '362', '616']
['624', '715', '973', '23', '829']
['371', '344', '87', '809', '163']
['530', '444', '45', '863', '286']
['965', '77', '606', '962', '509']
['642', '213', '819', '732', '528']
['719', '22', '622', '720', '868']
['432', '577', '739', '953', '569']
['446', '455', '699', '367', '377']
['541', '380', '513', '247', '926']
['800', '382', '24', '504', '413']
['603', '401', '555', '123', '475']
['315', '237', '910', '605', '263']
['374', '869', '938', '514', '417']
['110', '41', '908', '459', '178']
['511', '695', '465', '678', '112']
['170', '709', '708', '823', '410']
['525', '663', '61', '173', '245']
['730', '390', '370', '716', '324']
