['265', '3', '232', '667', '157', '775', '261', '277', '428', '135', '449', '100', '720', '24', '133', '67', '71', '60', '203', '273', '88', '635', '310', '551', '18', '705', '238', '384', '572', '482', '529', '365', '708', '531', '47', '502', '692', '257', '258', '698', '141', '338', '715', '769', '780', '75', '447', '728', '466', '398']
['344', '34', '701', '391', '690', '125', '766', '647', '649', '114', '576', '158', '779', '517', '371', '438', '603', '633', '691', '8', '793', '579', '64', '372', '198', '177', '233', '19', '169', '212', '611', '741', '491', '119', '20', '341', '266', '282', '583', '382', '786', '353', '712', '348', '89', '329', '240', '763', '27', '479']
['313', '494', '38', '511', '154', '664', '138', '767', '553', '234', '777', '601', '695', '765', '453', '61', '512', '26', '653', '764', '300', '688', '191', '789', '227', '6', '590', '112', '409', '151', '216', '153', '515', '322', '12', '643', '675', '317', '144', '651', '746', '538', '9', '276', '504', '194', '700', '573', '93', '748']
['65', '652', '598', '488', '679', '422', '631', '696', '567', '759', '521', '251', '331', '85', '406', '204', '446', '758', '366', '326', '197', '473', '128', '625', '123', '587', '53', '644', '605', '393', '15', '263', '185', '540', '106', '436', '557', '628', '513', '754', '292', '669', '481', '547', '637', '703', '377', '464', '510', '323']
['210', '415', '407', '7', '525', '202', '284', '205', '199', '29', '78', '569', '395', '459', '126', '729', '462', '259', '709', '568', '156', '22', '410', '499', '70', '187', '118', '610', '308', '356', '66', '630', '471', '55', '776', '778', '271', '435', '609', '180', '267', '332', '612', '768', '591', '412', '222', '304', '218', '291']
['423', '519', '286', '132', '25', '798', '186', '115', '293', '495', '788', '129', '740', '250', '140', '721', '255', '243', '147', '762', '111', '43', '558', '312', '527', '220', '732', '448', '792', '56', '242', '641', '474', '420', '484', '404', '288', '735', '663', '707', '460', '654', '518', '722', '490', '167', '658', '550', '307', '68']
['14', '396', '239', '624', '600', '101', '44', '699', '389', '496', '465', '432', '214', '727', '543', '684', '268', '483', '660', '671', '575', '50', '417', '376', '467', '54', '785', '320', '209', '751', '744', '335', '620', '31', '73', '361', '411', '737', '352', '117', '508', '231', '771', '578', '559', '533', '642', '217', '429', '179']
['311', '339', '249', '176', '434', '175', '632', '62', '650', '327', '229', '772', '188', '443', '450', '49', '516', '714', '782', '713', '656', '706', '604', '493', '148', '416', '595', '726', '677', '670', '616', '475', '497', '745', '10', '74', '206', '665', '171', '349', '350', '13', '213', '30', '183', '718', '143', '351', '364', '683']
['562', '215', '116', '201', '666', '455', '498', '131', '606', '200', '742', '750', '477', '636', '16', '724', '253', '296', '626', '28', '91', '1', '368', '4', '618', '226', '425', '336', '324', '208', '57', '264', '648', '614', '319', '629', '387', '486', '457', '46', '252', '23', '367', '165', '237', '440', '333', '375', '535', '570']
['98', '184', '82', '120', '241', '408', '456', '42', '566', '211', '343', '41', '795', '72', '285', '541', '139', '94', '342', '121', '394', '719', '554', '760', '639', '505', '168', '526', '520', '340', '755', '588', '580', '363', '645', '248', '272', '672', '107', '442', '223', '621', '381', '476', '561', '678', '149', '685', '655', '79']
['743', '681', '725', '627', '172', '492', '710', '524', '84', '160', '472', '659', '723', '532', '166', '613', '419', '426', '791', '373', '318', '747', '781', '790', '599', '69', '501', '190', '196', '330', '299', '219', '444', '787', '757', '86', '563', '522', '461', '155', '702', '316', '80', '345', '424', '528', '392', '122', '799', '182']
['246', '298', '414', '487', '269', '536', '640', '192', '608', '11', '577', '0', '254', '596', '260', '379', '189', '278', '584', '565', '451', '32', '500', '560', '92', '622', '693', '485', '127', '773', '235', '96', '427', '45', '507', '397', '328', '586', '602', '784', '548', '163', '5', '35', '597', '81', '51', '236', '673', '306']
['463', '506', '275', '794', '680', '657', '359', '325', '687', '589', '433', '174', '452', '152', '355', '99', '454', '195', '17', '478', '458', '145', '403', '110', '662', '439', '162', '717', '173', '734', '303', '193', '225', '668', '337', '430', '581', '634', '697', '207', '95', '431', '124', '178', '137', '90', '738', '770', '401', '783']
['689', '63', '159', '108', '181', '290', '711', '380', '733', '623', '704', '752', '661', '753', '360', '441', '674', '2', '103', '369', '549', '146', '37', '390', '224', '256', '378', '585', '400', '274', '437', '470', '102', '301', '530', '480', '694', '164', '418', '731', '539', '413', '315', '682', '36', '399', '619', '445', '571', '104']
['736', '230', '362', '87', '503', '59', '334', '556', '749', '281', '83', '52', '388', '774', '385', '509', '607', '142', '77', '247', '546', '58', '686', '170', '544', '761', '314', '279', '592', '287', '245', '574', '48', '383', '386', '716', '150', '21', '421', '638', '39', '354', '262', '615', '523', '537', '545', '294', '297', '280']
['357', '555', '302', '796', '552', '76', '134', '105', '730', '97', '346', '370', '582', '221', '469', '405', '402', '797', '295', '309', '33', '564', '289', '676', '321', '161', '113', '489', '283', '756', '514', '374', '244', '739', '347', '109', '136', '534', '542', '130', '358', '270', '646', '228', '593', '468', '305', '594', '40', '617']
