['0', '24', '48', '72', '96', '120', '144', '168', '192', '216', '240']
['1', '25', '49', '73', '97', '121', '145', '169', '193', '217', '241']
['2', '26', '50', '74', '98', '122', '146', '170', '194', '218', '242']
['3', '27', '51', '75', '99', '123', '147', '171', '195', '219', '243']
['4', '28', '52', '76', '100', '124', '148', '172', '196', '220', '244']
['5', '29', '53', '77', '101', '125', '149', '173', '197', '221', '245']
['6', '30', '54', '78', '102', '126', '150', '174', '198', '222', '246']
['7', '31', '55', '79', '103', '127', '151', '175', '199', '223', '247']
['8', '32', '56', '80', '104', '128', '152', '176', '200', '224', '248']
['9', '33', '57', '81', '105', '129', '153', '177', '201', '225', '249']
['10', '34', '58', '82', '106', '130', '154', '178', '202', '226', '250']
['11', '35', '59', '83', '107', '131', '155', '179', '203', '227', '251']
['12', '36', '60', '84', '108', '132', '156', '180', '204', '228', '252']
['13', '37', '61', '85', '109', '133', '157', '181', '205', '229', '262']
['14', '38', '62', '86', '110', '134', '158', '182', '206', '230', '254']
['15', '39', '63', '87', '111', '135', '159', '183', '207', '231', '259']
['16', '40', '64', '88', '112', '136', '160', '184', '208', '232', '256']
['17', '41', '65', '89', '113', '137', '161', '185', '209', '233', '257']
['18', '42', '66', '90', '114', '138', '162', '186', '210', '234', '253']
['19', '43', '67', '91', '115', '139', '163', '187', '211', '235', '255']
['20', '44', '68', '92', '116', '140', '164', '188', '212', '236', '258']
['21', '45', '69', '93', '117', '141', '165', '189', '213', '237', '260']
['22', '46', '70', '94', '118', '142', '166', '190', '214', '238', '261']
['23', '47', '71', '95', '119', '143', '167', '191', '215', '239', '263']
