['1', '64', '127', '190', '253', '379', '442', '324']
['65', '191', '254', '317', '380', '135', '448', '57']
['3', '66', '192', '318', '381', '444', '260', '195']
['4', '67', '130', '193', '256', '319', '445', '397']
['5', '131', '257', '320', '383', '446', '73', '201']
['6', '69', '132', '258', '321', '384', '447', '233']
['70', '133', '196', '259', '322', '385', '19', '2']
['71', '197', '323', '386', '449', '20', '156', '267']
['72', '198', '387', '450', '26', '155', '349', '453']
['10', '136', '199', '262', '388', '451', '78', '330']
['11', '74', '137', '263', '326', '389', '452', '211']
['12', '75', '138', '264', '327', '390', '206']
['13', '76', '139', '202', '265', '328', '391', '470']
['77', '203', '329', '392', '455', '31', '145', '366']
['15', '141', '204', '393', '456', '95', '272', '338']
['16', '142', '205', '268', '331', '394', '457', '84']
['17', '80', '143', '269', '332', '395', '458', '217']
['18', '81', '144', '207', '270', '333', '396', '459']
['82', '208', '271', '334', '460', '41', '150', '405']
['83', '146', '209', '335', '398', '461', '36', '283']
['21', '147', '210', '273', '336', '399', '462', '101']
['22', '148', '274', '337', '400', '463', '90', '216']
['23', '86', '149', '212', '275', '401', '464', '343']
['24', '87', '213', '276', '339', '402', '188', '476']
['25', '88', '151', '214', '340', '403', '466', '282']
['89', '152', '215', '278', '341', '467', '46']
['27', '153', '279', '342', '468', '107', '244', '410']
['28', '91', '154', '280', '406', '469', '222', '371']
['29', '92', '218', '281', '407', '183', '372', '8']
['30', '93', '219', '345', '408', '161', '297', '487']
['94', '157', '220', '346', '409', '472', '51', '288']
['32', '158', '221', '284', '347', '473', '102', '454']
['33', '159', '285', '348', '411', '474', '227', '162']
['34', '97', '160', '223', '286', '412', '475', '357']
['35', '98', '224', '287', '350', '413', '168', '481']
['99', '225', '351', '414', '477', '56', '310', '228']
['37', '100', '163', '226', '289', '352', '478', '430']
['38', '164', '290', '353', '416', '479', '118', '234']
['39', '165', '291', '354', '417', '480', '140', '266']
['40', '103', '166', '229', '292', '355', '418']
['104', '230', '293', '356', '419', '482', '63', '189']
['42', '105', '231', '294', '420', '483', '173', '382']
['43', '106', '169', '232', '295', '358', '421', '484']
['44', '170', '296', '359', '422', '485', '112', '261']
['45', '108', '171', '360', '423', '486', '239', '305']
['109', '172', '235', '298', '361', '424', '68', '96']
['47', '110', '236', '299', '362', '425', '488', '178']
['48', '111', '174', '237', '300', '363', '426', '489']
['49', '175', '238', '301', '364', '427', '490', '117']
['50', '113', '176', '302', '365', '428', '491', '250']
['114', '177', '240', '303', '429', '492', '79', '404']
['52', '115', '241', '304', '367', '493', '200', '438']
['53', '116', '179', '242', '368', '431', '494', '316']
['54', '180', '243', '306', '369', '432', '495', '134']
['55', '181', '307', '370', '433', '496', '123', '249']
['119', '182', '245', '308', '434', '497', '167', '415']
['120', '246', '309', '435', '498', '344', '377']
['58', '121', '184', '247', '373', '436', '499', '471']
['59', '122', '185', '248', '311', '374', '500', '465']
['60', '186', '312', '375', '9', '128', '277', '443']
['61', '124', '187', '313', '376', '439', '7', '255']
['62', '125', '251', '314', '440', '325', '437', '129']
['126', '252', '315', '378', '441', '14', '85', '194']
