['62', '15', '47', '48', '157', '292', '208', '176', '179', '376', '390', '393']
['104', '148', '131', '78', '158', '310', '234', '192', '338', '337', '411', '335']
['95', '79', '49', '56', '400', '261', '249', '260', '314', '348', '316', '422']
['117', '2', '140', '30', '233', '212', '252', '169', '438', '357', '458', '431']
['150', '34', '10', '110', '309', '262', '156', '254', '347', '369', '371', '317']
['43', '114', '153', '98', '250', '255', '239', '226', '329', '461', '363', '331']
['100', '75', '9', '58', '283', '307', '236', '308', '407', '344', '416', '394']
['103', '27', '126', '17', '302', '203', '170', '232', '457', '423', '332', '367']
['6', '94', '127', '46', '303', '193', '268', '161', '459', '326', '374', '324']
['1', '88', '121', '84', '247', '205', '285', '167', '320', '440', '426', '336']
['105', '54', '139', '77', '297', '211', '190', '269', '328', '398', '443', '361']
['36', '91', '134', '44', '288', '186', '257', '230', '463', '462', '467', '429']
['50', '132', '4', '116', '237', '173', '227', '219', '434', '322', '451', '399']
['108', '80', '106', '67', '287', '224', '271', '304', '315', '392', '388', '420']
['61', '137', '149', '72', '197', '178', '213', '231', '341', '312', '362', '402']
['65', '138', '28', '136', '171', '177', '258', '185', '455', '330', '446', '356']
['51', '96', '20', '97', '209', '196', '248', '162', '343', '346', '350', '447']
['13', '42', '64', '90', '223', '184', '300', '278', '353', '381', '439', '427']
['89', '82', '145', '35', '275', '274', '244', '206', '339', '465', '430', '432']
['143', '86', '115', '107', '201', '172', '251', '164', '406', '380', '444', '425']
['45', '29', '141', '11', '199', '293', '215', '238', '435', '385', '445', '349']
['33', '112', '144', '92', '290', '187', '294', '216', '441', '345', '436', '327']
['87', '7', '60', '63', '159', '225', '301', '195', '323', '370', '453', '454']
['73', '69', '55', '19', '276', '282', '168', '296', '414', '387', '386', '424']
['26', '22', '57', '83', '221', '277', '182', '289', '404', '418', '417', '464']
['152', '18', '70', '151', '245', '253', '210', '240', '382', '421', '340', '334']
['32', '135', '85', '133', '218', '299', '298', '264', '368', '448', '351', '401']
['59', '31', '40', '154', '242', '259', '286', '305', '396', '415', '333', '442']
['99', '102', '113', '41', '165', '229', '166', '222', '364', '450', '419', '449']
['37', '53', '122', '71', '228', '214', '311', '243', '359', '325', '389', '319']
['23', '101', '142', '125', '306', '246', '200', '270', '372', '460', '318', '354']
['39', '128', '68', '118', '265', '188', '180', '284', '409', '466', '360', '342']
['66', '111', '38', '52', '198', '263', '256', '267', '378', '408', '383', '352']
['155', '21', '24', '3', '266', '163', '207', '273', '313', '410', '358', '355']
['130', '119', '124', '147', '189', '281', '279', '191', '375', '403', '452', '395']
['25', '12', '120', '123', '295', '235', '202', '280', '391', '377', '366', '413']
['93', '14', '0', '109', '175', '291', '174', '272', '397', '433', '384', '405']
['16', '81', '74', '8', '160', '181', '217', '183', '373', '365', '437', '456']
['129', '76', '5', '146', '220', '204', '241', '194', '379', '412', '428', '321']
