['0', '70', '140', '210', '280', '350', '420']
['1', '71', '141', '211', '281', '351', '421']
['2', '72', '212', '282', '352', '422', '155']
['3', '73', '213', '283', '353', '423', '156']
['4', '74', '144', '214', '354', '424', '368']
['5', '75', '145', '215', '285', '355', '425']
['6', '76', '216', '286', '356', '479', '158']
['7', '77', '147', '217', '287', '357', '427']
['8', '78', '148', '218', '358', '428', '308']
['9', '149', '219', '289', '359', '429', '93']
['10', '150', '220', '290', '360', '430', '98']
['11', '81', '151', '291', '361', '431', '288']
['12', '82', '152', '222', '292', '432', '31']
['13', '83', '153', '223', '293', '363', '433']
['14', '84', '154', '224', '294', '364', '434']
['15', '85', '295', '365', '435', '162', '312']
['16', '86', '226', '296', '366', '436', '192']
['87', '157', '227', '297', '367', '437', '99']
['88', '228', '298', '438', '391', '90', '225']
['19', '89', '159', '299', '439', '258', '17']
['20', '160', '230', '300', '370', '440', '107']
['21', '91', '161', '231', '301', '371', '441']
['22', '92', '232', '302', '372', '442', '229']
['23', '163', '233', '303', '373', '443', '94']
['24', '164', '234', '304', '374', '444', '119']
['25', '95', '165', '235', '305', '445', '426']
['26', '96', '166', '236', '306', '376', '446']
['27', '97', '167', '237', '307', '377', '447']
['28', '168', '238', '378', '448', '115', '338']
['29', '169', '239', '309', '379', '449', '100']
['30', '170', '240', '310', '380', '450', '194']
['101', '171', '241', '381', '451', '313', '58']
['32', '102', '172', '242', '382', '452', '346']
['103', '173', '243', '383', '453', '40', '362']
['34', '104', '174', '244', '314', '384', '454']
['105', '175', '245', '315', '385', '455', '79']
['36', '176', '246', '316', '386', '456', '110']
['37', '177', '247', '317', '387', '457', '116']
['38', '108', '178', '248', '318', '388', '458']
['39', '109', '179', '249', '319', '389', '459']
['180', '250', '320', '390', '460', '54', '369']
['41', '111', '181', '251', '321', '461', '484']
['42', '112', '182', '252', '322', '392', '462']
['43', '113', '183', '253', '323', '393', '463']
['44', '114', '184', '254', '324', '394', '464']
['45', '185', '255', '325', '395', '465', '142']
['46', '186', '256', '326', '396', '466', '143']
['47', '117', '187', '257', '327', '397', '467']
['48', '118', '188', '328', '398', '468', '272']
['49', '189', '259', '329', '399', '469', '146']
['50', '120', '190', '260', '330', '400', '470']
['51', '121', '191', '261', '331', '401', '471']
['52', '122', '262', '332', '402', '472', '311']
['53', '123', '193', '263', '333', '403', '473']
['124', '264', '334', '404', '474', '69', '221']
['55', '125', '195', '265', '335', '475', '106']
['56', '126', '196', '266', '336', '406', '476']
['57', '127', '197', '267', '337', '407', '477']
['128', '198', '268', '408', '478', '375']
['59', '129', '199', '269', '339', '409', '35']
['60', '130', '200', '270', '340', '410', '480']
['61', '131', '201', '271', '341', '411', '481']
['62', '132', '202', '342', '412', '482', '284']
['63', '133', '203', '273', '343', '413', '483']
['64', '134', '204', '274', '344', '414', '18']
['65', '135', '205', '275', '345', '415', '485']
['66', '136', '206', '276', '416', '486', '405']
['67', '137', '207', '277', '347', '417', '487']
['68', '138', '208', '278', '348', '418', '488']
['139', '209', '279', '349', '419', '33', '80']
