['0', '12', '24', '36', '48', '60', '72', '84', '96', '108', '120', '132', '144', '156', '168', '180', '192', '204', '216', '228', '240', '252', '264', '276', '288']
['1', '13', '25', '37', '49', '61', '73', '85', '97', '109', '121', '133', '145', '157', '169', '181', '193', '205', '217', '229', '241', '253', '265', '277', '289']
['2', '14', '26', '38', '50', '62', '74', '86', '98', '110', '122', '134', '146', '158', '170', '182', '194', '206', '218', '230', '242', '254', '266', '278', '290']
['3', '15', '27', '39', '51', '63', '75', '87', '99', '111', '123', '135', '147', '159', '171', '183', '195', '207', '219', '231', '243', '255', '267', '279', '291']
['4', '16', '28', '40', '52', '64', '76', '88', '100', '112', '124', '136', '148', '160', '172', '184', '196', '208', '220', '232', '244', '256', '268', '280', '292']
['5', '17', '29', '41', '53', '65', '77', '89', '101', '113', '125', '137', '149', '161', '173', '185', '197', '209', '221', '233', '245', '257', '269', '281', '293']
['6', '18', '30', '42', '54', '66', '78', '90', '102', '114', '126', '138', '150', '162', '174', '186', '198', '210', '222', '234', '246', '258', '270', '282', '294']
['7', '19', '31', '43', '55', '67', '79', '91', '103', '115', '127', '139', '151', '163', '175', '187', '199', '211', '223', '235', '247', '259', '271', '283', '295']
['8', '20', '32', '44', '56', '68', '80', '92', '104', '116', '128', '140', '152', '164', '176', '188', '200', '212', '224', '236', '248', '260', '272', '284', '296']
['9', '21', '33', '45', '57', '69', '81', '93', '105', '117', '129', '141', '153', '165', '177', '189', '201', '213', '225', '237', '249', '261', '273', '285', '297']
['10', '22', '34', '46', '58', '70', '82', '94', '106', '118', '130', '142', '154', '166', '178', '190', '202', '214', '226', '238', '250', '262', '274', '286', '298']
['11', '23', '35', '47', '59', '71', '83', '95', '107', '119', '131', '143', '155', '167', '179', '191', '203', '215', '227', '239', '251', '263', '275', '287', '299']
