['0', '334', '31', '55', '79', '87', '107', '133', '143', '161', '329', '191', '218', '238', '253', '277', '287', '331', '358', '373']
['1', '52', '36', '56', '60', '88', '108', '135', '144', '162', '206', '223', '219', '239', '254', '278', '317', '320', '359', '374']
['2', '32', '351', '57', '61', '89', '109', '136', '145', '163', '187', '348', '361', '220', '255', '279', '300', '321', '341', '375']
['3', '33', '134', '58', '62', '90', '110', '137', '146', '164', '192', '355', '284', '221', '347', '296', '301', '322', '342', '379']
['4', '34', '274', '59', '63', '91', '111', '138', '147', '165', '193', '344', '336', '222', '251', '362', '302', '323', '343', '385']
['5', '35', '126', '64', '106', '92', '112', '139', '148', '166', '194', '200', '297', '328', '270', '376', '304', '324', '345', '384']
['6', '37', '40', '65', '378', '93', '113', '120', '149', '167', '195', '202', '224', '257', '260', '288', '305', '325', '346', '386']
['7', '38', '41', '66', '388', '94', '114', '121', '150', '168', '196', '203', '225', '258', '261', '289', '306', '326', '349', '387']
['8', '39', '42', '67', '293', '95', '115', '122', '151', '169', '197', '204', '226', '259', '262', '290', '307', '327', '350', '389']
['9', '20', '43', '68', '96', '118', '116', '123', '152', '170', '198', '205', '227', '240', '263', '291', '308', '330', '360', '390']
['10', '21', '44', '69', '97', '250', '117', '124', '153', '172', '199', '207', '228', '241', '264', '292', '309', '332', '363', '392']
['11', '22', '45', '70', '98', '391', '119', '125', '154', '173', '180', '208', '229', '242', '265', '294', '310', '333', '364', '393']
['12', '23', '46', '71', '99', '377', '256', '127', '155', '174', '181', '209', '230', '243', '266', '295', '311', '335', '365', '394']
['13', '24', '47', '72', '80', '397', '189', '283', '156', '176', '182', '210', '231', '244', '268', '298', '312', '338', '366', '395']
['14', '25', '48', '73', '81', '100', '267', '314', '157', '177', '183', '211', '232', '245', '269', '299', '313', '339', '367', '396']
['15', '26', '49', '74', '82', '101', '128', '201', '158', '178', '184', '212', '233', '246', '271', '280', '315', '352', '368', '399']
['16', '27', '50', '75', '83', '102', '129', '398', '159', '179', '185', '213', '234', '247', '272', '281', '316', '353', '369', '380']
['17', '28', '51', '76', '84', '103', '130', '140', '171', '175', '186', '214', '235', '248', '273', '282', '318', '354', '370', '381']
['18', '29', '53', '77', '85', '104', '131', '141', '337', '303', '188', '216', '236', '249', '275', '285', '319', '356', '371', '382']
['19', '30', '54', '78', '86', '105', '132', '142', '160', '215', '190', '217', '237', '252', '276', '286', '340', '357', '372', '383']
