['gw', 'dl', 't', 'es', 'br', 'cl', 'jy', 'f', 'ar', 'fe']
['gv', 'dm', 'kg', 'er', 'bs', 'cc', 'hz', 'j', 'au', 'ff']
['gu', 'dj', 'x', 'jz', 'jd', 'cb', 'kc', 'ij', 'at', 'fg']
['gt', 'dk', 'ir', 'js', 'je', 'ca', 'hx', 'ik', 'aw', 'fh']
['gs', 'dh', 'em', 'jt', 'jf', 'jk', 'hy', 'n', 'av', 'fi']
['gr', 'di', 'el', 'ju', 'jg', 'cg', 'hr', 'kk', 'ay', 'fj']
['gq', 'df', 'eo', 'it', 'bx', 'cf', 'hs', 'r', 'ax', 'fk']
['gp', 'dg', 'en', 'jv', 'by', 'ce', 'hp', 'v', 'ic', 'fl']
['gz', 'dd', 'ei', 'bd', 'bz', 'cd', 'hq', 'im', 'az', 'fm']
['gy', 'de', 'eh', 'be', 'jc', 'io', 'hv', 'z', 'ie', 'fn']
['gx', 'db', 'ek', 'bf', 'jl', 'cz', 'hw', 'il', 'zz', 'fo']
['gg', 'dc', 'ej', 'bg', 'c', 'cy', 'ht', 'aa', 'ig', 'a']
['gf', 'da', 'ee', 'jx', 'g', 'cx', 'hu', 'ix', 'if', 'kb']
['ge', 'dz', 'ed', 'ba', 'jm', 'cs', 'hj', 'ac', 'ib', 'jj']
['gd', 'dx', 'eg', 'bb', 'k', 'cr', 'hk', 'ab', 'in', 'e']
['gc', 'dy', 'ef', 'bc', 'jn', 'cq', 'hh', 'ae', 'fp', 'kf']
['gb', 'dv', 'ea', 'bl', 'o', 'cp', 'hi', 'ad', 'fq', 'ke']
['ga', 'dw', 'ec', 'bm', 's', 'cw', 'hn', 'ag', 'fr', 'kd']
['go', 'dt', 'eb', 'bn', 'jo', 'cv', 'ho', 'af', 'fs', 'i']
['gn', 'du', 'jr', 'bo', 'iv', 'cu', 'hl', 'ai', 'ft', 'kj']
['gm', 'dr', 'ey', 'bh', 'w', 'ct', 'hm', 'ah', 'fu', 'ki']
['gl', 'ds', 'ex', 'bi', 'jh', 'ka', 'hb', 'ak', 'fv', 'kh']
['gk', 'dp', 'jp', 'bj', 'ji', 'ja', 'hc', 'aj', 'fw', 'm']
['gj', 'dq', 'ez', 'bk', 'ck', 'ih', 'ha', 'am', 'fx', 'kn']
['gi', 'iw', 'eu', 'bt', 'cj', 'iq', 'hf', 'al', 'fy', 'iz']
['gh', 'd', 'et', 'bu', 'ci', 'iy', 'hg', 'ao', 'fz', 'kl']
['jw', 'h', 'ew', 'bv', 'ch', 'iu', 'hd', 'an', 'fa', 'q']
['ia', 'l', 'ev', 'bw', 'co', 'jb', 'he', 'aq', 'fb', 'u']
['dn', 'p', 'eq', 'bp', 'cn', 'ip', 'ii', 'ap', 'fc', 'km']
['do', 'jq', 'ep', 'bq', 'cm', 'is', 'b', 'as', 'fd', 'y']
