['0', '40', '80', '140', '160', '180', '200', '240', '260', '280', '300', '320', '340', '360', '380', '400', '420', '440', '460', '480', '25', '72', '104', '122', '233']
['21', '41', '61', '81', '101', '121', '161', '181', '201', '221', '241', '261', '281', '301', '321', '361', '381', '401', '421', '441', '461', '481', '7', '8']
['22', '42', '62', '102', '142', '162', '182', '202', '222', '242', '262', '302', '322', '342', '362', '382', '402', '422', '442', '462', '482', '90', '126', '291', '4']
['23', '43', '63', '83', '103', '143', '163', '183', '203', '223', '243', '263', '283', '303', '323', '343', '363', '383', '403', '423', '443', '53', '474', '6', '335']
['24', '84', '124', '144', '164', '184', '204', '224', '244', '264', '284', '304', '324', '344', '364', '384', '404', '424', '444', '464', '484', '51', '112', '138', '167']
['45', '65', '85', '105', '125', '165', '185', '205', '225', '245', '265', '285', '305', '325', '345', '365', '385', '405', '425', '445', '485', '27', '476', '428', '123']
['26', '46', '66', '86', '106', '146', '166', '186', '206', '226', '246', '266', '286', '306', '326', '346', '406', '426', '446', '466', '486', '127', '374', '465', '9']
['47', '67', '87', '107', '147', '187', '207', '227', '247', '267', '287', '307', '327', '347', '367', '387', '407', '427', '447', '467', '487', '29', '128', '2', '3']
['28', '48', '68', '88', '108', '168', '188', '208', '228', '248', '268', '288', '308', '328', '348', '368', '388', '408', '448', '468', '488', '15', '211', '431', '275']
['49', '69', '89', '109', '129', '149', '169', '189', '209', '229', '249', '269', '289', '309', '349', '369', '389', '409', '429', '449', '469', '489', '366', '52', '148']
['10', '30', '50', '70', '110', '130', '150', '170', '190', '210', '230', '250', '270', '290', '330', '350', '370', '390', '410', '430', '450', '470', '490', '96', '329']
['11', '31', '71', '91', '111', '131', '151', '171', '191', '231', '311', '331', '351', '371', '391', '411', '451', '471', '491', '214', '252', '310', '145', '463', '1']
['12', '32', '92', '132', '152', '172', '192', '212', '232', '272', '292', '312', '332', '352', '372', '392', '412', '432', '452', '472', '492', '74', '114', '271', '64']
['13', '33', '73', '93', '113', '133', '153', '173', '193', '213', '253', '273', '293', '313', '333', '353', '373', '393', '413', '433', '453', '473', '493', '55', '234']
['14', '34', '54', '94', '134', '154', '174', '194', '254', '274', '294', '314', '334', '354', '394', '414', '434', '454', '494', '75', '118', '219', '251', '375', '495']
['35', '95', '115', '135', '155', '175', '195', '215', '235', '255', '295', '315', '355', '395', '415', '435', '455', '475', '17', '57', '76', '379', '282', '5', '341']
['16', '36', '56', '116', '136', '156', '176', '196', '216', '236', '256', '276', '296', '316', '336', '356', '376', '396', '416', '436', '456', '496', '78', '98', '483']
['37', '77', '97', '117', '137', '157', '177', '197', '217', '237', '257', '277', '297', '317', '337', '357', '377', '397', '417', '437', '457', '477', '497', '18', '60']
['38', '58', '158', '178', '198', '218', '238', '258', '278', '298', '318', '338', '358', '378', '398', '418', '438', '458', '478', '498', '20', '82', '100', '120', '141']
['19', '39', '59', '79', '99', '119', '139', '159', '179', '199', '239', '259', '279', '299', '319', '339', '359', '399', '419', '439', '459', '479', '220', '386', '44']
