['A0', 'H20', 'G41']
['B0', 'H41', 'E41']
['C0', 'B21', 'A42']
['D0', 'C21', 'B42']
['D21', 'C42', 'A21']
['F0', 'E21', 'D42']
['G0', 'F21', 'E0']
['H0', 'G21', 'F42']
['A1', 'G42', 'E42']
['B1', 'A22', 'H42']
['C1', 'B22', 'A43']
['D1', 'C22', 'B43']
['E1', 'D22', 'C43']
['F1', 'E22', 'D43']
['G1', 'F22', 'E43']
['H1', 'G22', 'F43']
['H22', 'G43', 'H21']
['B2', 'A23', 'A2']
['C2', 'B23', 'A44']
['D2', 'C23', 'B44']
['E2', 'D23', 'C44']
['F2', 'E23', 'D44']
['G2', 'F23', 'E44']
['H2', 'G23', 'F44']
['A3', 'H23', 'G44']
['B3', 'H44', 'H43']
['C3', 'B24', 'A45']
['D3', 'C24', 'B45']
['D24', 'C45', 'A24']
['F3', 'E24', 'D45']
['G3', 'F24', 'E3']
['H3', 'G24', 'F45']
['A4', 'H24', 'G45']
['B4', 'H45', 'E45']
['C4', 'B25', 'A46']
['D4', 'C25', 'B46']
['D25', 'C46', 'A25']
['F4', 'E25', 'D46']
['G4', 'F25', 'E4']
['H4', 'G25', 'F46']
['A5', 'G46', 'E46']
['B5', 'A26', 'H46']
['C5', 'B26', 'A47']
['D5', 'C26', 'B47']
['E5', 'D26', 'C47']
['F5', 'E26', 'D47']
['G5', 'F26', 'E47']
['H5', 'G26', 'F47']
['H26', 'G47', 'H25']
['B6', 'A27', 'A6']
['C6', 'B27', 'A48']
['D6', 'C27', 'B48']
['E6', 'D27', 'C48']
['F6', 'E27', 'D48']
['G6', 'F27', 'E48']
['H6', 'G27', 'F48']
['A7', 'H27', 'G48']
['B7', 'H48', 'H47']
['C7', 'B28', 'A49']
['D7', 'C28', 'B49']
['D28', 'C49', 'A28']
['F7', 'E28', 'D49']
['G7', 'F28', 'E7']
['H7', 'G28', 'F49']
['A8', 'H28', 'G49']
['B8', 'H49', 'E49']
['C8', 'B29', 'A50']
['D8', 'C29', 'B50']
['D29', 'C50', 'A29']
['F8', 'E29', 'D50']
['G8', 'F29', 'E8']
['H8', 'G29', 'F50']
['A9', 'G50', 'E50']
['B9', 'A30', 'H50']
['C9', 'B30', 'A51']
['D9', 'C30', 'B51']
['E9', 'D30', 'C51']
['F9', 'E30', 'D51']
['G9', 'F30', 'E51']
['H9', 'G30', 'F51']
['H30', 'G51', 'H29']
['B10', 'A31', 'A10']
['C10', 'B31', 'A52']
['D10', 'C31', 'B52']
['E10', 'D31', 'C52']
['F10', 'E31', 'D52']
['G10', 'F31', 'E52']
['H10', 'G31', 'F52']
['A11', 'H31', 'G52']
['B11', 'H52', 'H51']
['C11', 'B32', 'A53']
['D11', 'C32', 'B53']
['D32', 'C53', 'A32']
['F11', 'E32', 'D53']
['G11', 'F32', 'E11']
['H11', 'G32', 'F53']
['A12', 'H32', 'G53']
['B12', 'H53', 'E53']
['B33', 'A54', 'A33']
['D12', 'C33', 'B54']
['E12', 'D33', 'C54']
['F12', 'E33', 'D54']
['G12', 'F33', 'E54']
['H12', 'G33', 'F54']
['A13', 'H33', 'G54']
['B13', 'A34', 'H54']
['C13', 'B34', 'C12']
['D13', 'C34', '1']
['E13', 'D34', '2']
['F13', 'E34', '3']
['G13', 'F34', '4']
['H13', 'G34', '5']
['A14', 'H34', '6']
['B14', 'A35', '7']
['C14', 'B35', '8']
['D14', 'C35', '9']
['E14', 'D35', '10']
['F14', 'E35', '11']
['G14', 'F35', '12']
['H14', 'G35', '13']
['A15', 'H35', '14']
['B15', 'A36', '15']
['C15', 'B36', '16']
['D15', 'C36', '17']
['E15', 'D36', '18']
['F15', 'E36', '19']
['G15', 'F36', '20']
['H15', 'G36', '21']
['A16', 'H36', '22']
['B16', '23', '0']
['B37', '24', 'A37']
['D16', 'C37', '25']
['E16', 'D37', '26']
['F16', 'E37', '27']
['G16', 'F37', '28']
['H16', 'G37', '29']
['A17', 'H37', 'B17']
['A38', '31', 'B38']
['C17', '32', 'C16']
['D17', 'C38', '33']
['E17', 'D38', '34']
['F17', 'E38', '35']
['G17', 'F38', '36']
['H17', 'G38', '37']
['A18', 'H38', '38']
['B18', '39']
['B39', '40', 'A39']
['D18', 'C39', '41']
['E18', 'D39', '42']
['F18', 'E39', '43']
['G18', 'F39', '44']
['H18', 'G39', '45']
['A19', '46', 'B19']
['A40', '47', 'B40']
['C19', '48', 'C18']
['D19', 'C40', '49']
['E19', 'D40', '50']
['F19', 'E40', '51']
['G19', 'F40', '52']
['H19', 'G40', '53']
['H40', '54', 'H39']
['B20', '55', '30']
['C20', 'B41', '56']
['D20', 'C41', '57']
['D41', '58', 'A41']
['F20', '59', 'A20']
['G20', 'F41', 'E20']
