['a0', 'a198', 'a37', 'a66', 'a82', 'a124', 'a157', 'a180', 'a219', 'a246']
['a6', 'a193', 'a32', 'a194', 'a89', 'a122', 'a152', 'a183', 'a220', 'a247']
['a9', 'a197', 'a35', 'a90', 'a191', 'a123', 'a151', 'a185', 'a222', 'a3']
['a7', 'a204', 'a39', 'a190', 'a96', 'a125', 'a158', 'a181', 'a227', 'a21']
['a1', 'a17', 'a40', 'a192', 'a99', 'a129', 'a159', 'a189', 'a225', 'a31']
['a4', 'a98', 'a49', 'a64', 'a100', 'a128', 'a156', 'a182', 'a221', 'a45']
['a2', 'a83', 'a42', 'a85', 'a106', 'a130', 'a154', 'a188', 'a226', 'a46']
['a5', 'a201', 'a41', 'a86', 'a103', 'a134', 'a160', 'a187', 'a224', 'a53']
['a8', 'a206', 'a47', 'a91', 'a109', 'a133', 'a165', 'a186', 'a229', 'a79']
['a10', 'a92', 'a48', 'a97', 'a108', 'a138', 'a164', 'a203', 'a228', 'a101']
['a11', 'a207', 'a43', 'a94', 'a107', 'a139', 'a161', 'a200', 'a230', 'a102']
['a13', 'a20', 'a44', 'a93', 'a104', 'a135', 'a169', 'a202', 'a235', 'a113']
['a69', 'a24', 'a50', 'a95', 'a105', 'a132', 'a167', 'a209', 'a239', 'a121']
['a19', 'a28', 'a56', 'a70', 'a110', 'a131', 'a166', 'a195', 'a234', 'a136']
['a15', 'a27', 'a57', 'a77', 'a116', 'a140', 'a168', 'a199', 'a231', 'a137']
['a14', 'a29', 'a54', 'a72', 'a114', 'a145', 'a163', 'a205', 'a238', 'a142']
['a16', 'a22', 'a55', 'a76', 'a115', 'a144', 'a170', 'a208', 'a233', 'a153']
['a61', 'a25', 'a52', 'a73', 'a118', 'a141', 'a175', 'a210', 'a232', 'a162']
['a63', 'a26', 'a58', 'a71', 'a119', 'a146', 'a173', 'a211', 'a236', 'a179']
['a65', 'a23', 'a51', 'a78', 'a111', 'a148', 'a171', 'a218', 'a240', 'a184']
['a68', 'a30', 'a59', 'a74', 'a112', 'a143', 'a178', 'a216', 'a248', 'a217']
['a12', 'a38', 'a60', 'a75', 'a117', 'a147', 'a176', 'a214', 'a243', 'a223']
['a81', 'a33', 'a67', 'a80', 'a120', 'a149', 'a172', 'a212', 'a241', 'a237']
['a18', 'a34', 'a62', 'a84', 'a127', 'a150', 'a174', 'a215', 'a242', 'a244']
['a88', 'a36', 'a196', 'a87', 'a126', 'a155', 'a177', 'a213', 'a249', 'a245']
