['0', '72', '144', '216', '288', '360']
['1', '73', '145', '217', '289', '361']
['2', '74', '146', '218', '290', '362']
['3', '75', '147', '219', '291', '363']
['4', '76', '148', '220', '292', '364']
['5', '77', '149', '221', '293', '365']
['6', '78', '150', '222', '294', '366']
['7', '79', '151', '223', '295', '367']
['8', '80', '152', '224', '296', '368']
['9', '81', '153', '225', '297', '369']
['10', '82', '154', '226', '298', '370']
['11', '83', '155', '227', '299', '371']
['12', '84', '156', '228', '300', '372']
['13', '85', '157', '229', '301', '373']
['14', '86', '158', '230', '302', '374']
['15', '87', '159', '231', '303', '375']
['16', '88', '160', '232', '304', '376']
['17', '89', '161', '233', '305', '377']
['18', '90', '162', '234', '306', '378']
['19', '91', '163', '235', '307', '379']
['20', '92', '164', '236', '308', '380']
['21', '93', '165', '237', '309', '381']
['22', '94', '166', '238', '310', '382']
['23', '95', '167', '239', '311', '383']
['24', '96', '168', '240', '312', '384']
['25', '97', '169', '241', '313', '385']
['26', '98', '170', '242', '314', '386']
['27', '99', '171', '243', '315', '387']
['28', '100', '172', '244', '316', '388']
['29', '101', '173', '245', '317', '389']
['30', '102', '174', '246', '318', '390']
['31', '103', '175', '247', '319', '391']
['32', '104', '176', '248', '320', '392']
['33', '105', '177', '249', '321', '399']
['34', '106', '178', '250', '322', '400']
['35', '107', '179', '251', '323', '401']
['36', '108', '180', '252', '324', '402']
['37', '109', '181', '253', '325', '393']
['38', '110', '182', '254', '326', '394']
['39', '111', '183', '255', '327', '395']
['40', '112', '184', '256', '328', '396']
['41', '113', '185', '257', '329', '397']
['42', '114', '186', '258', '330', '398']
['43', '115', '187', '259', '331', '403']
['44', '116', '188', '260', '332', '404']
['45', '117', '189', '261', '333', '405']
['46', '118', '190', '262', '334', '406']
['47', '119', '191', '263', '335', '407']
['48', '120', '192', '264', '336', '408']
['49', '121', '193', '265', '337', '409']
['50', '122', '194', '266', '338', '410']
['51', '123', '195', '267', '339', '411']
['52', '124', '196', '268', '340', '412']
['53', '125', '197', '269', '341', '413']
['54', '126', '198', '270', '342', '415']
['55', '127', '199', '271', '343', '414']
['56', '128', '200', '272', '344', '416']
['57', '129', '201', '273', '345', '419']
['58', '130', '202', '274', '346', '417']
['59', '131', '203', '275', '347', '418']
['60', '132', '204', '276', '348', '420']
['61', '133', '205', '277', '349', '421']
['62', '134', '206', '278', '350', '422']
['63', '135', '207', '279', '351', '423']
['64', '136', '208', '280', '352', '424']
['65', '137', '209', '281', '353', '425']
['66', '138', '210', '282', '354', '426']
['67', '139', '211', '283', '355', '427']
['68', '140', '212', '284', '356', '428']
['69', '141', '213', '285', '357', '429']
['70', '142', '214', '286', '358', '430']
['71', '143', '215', '287', '359', '431']
