['0', '22', '44', '66', '88', '110', '132', '154', '176', '198', '220', '242', '264', '286', '21']
['1', '23', '45', '67', '89', '111', '133', '155', '177', '199', '221', '243', '265', '287']
['2', '24', '46', '68', '90', '112', '134', '156', '178', '200', '222', '244', '266', '288']
['3', '25', '47', '69', '91', '113', '135', '157', '179', '201', '223', '245', '267', '289']
['4', '26', '48', '70', '92', '114', '136', '158', '180', '202', '224', '246', '268', '290']
['5', '27', '49', '71', '93', '115', '137', '159', '181', '203', '225', '247', '269', '291']
['6', '28', '50', '72', '94', '116', '138', '160', '182', '204', '226', '248', '270', '292']
['7', '29', '51', '73', '95', '117', '139', '161', '183', '205', '227', '249', '271', '293']
['8', '30', '52', '74', '96', '118', '140', '162', '184', '206', '228', '250', '272', '294']
['9', '31', '53', '75', '97', '119', '141', '163', '185', '207', '229', '251', '273', '295']
['10', '32', '54', '76', '98', '120', '142', '164', '186', '208', '230', '252', '274', '296']
['11', '33', '55', '77', '99', '121', '143', '165', '187', '209', '231', '253', '275', '297']
['12', '34', '56', '78', '100', '122', '144', '166', '188', '210', '232', '254', '276', '298']
['13', '35', '57', '79', '101', '123', '145', '167', '189', '211', '233', '255', '277', '299']
['14', '36', '58', '80', '102', '124', '146', '168', '190', '212', '234', '256', '278', '300']
['15', '37', '59', '81', '103', '125', '147', '169', '191', '213', '235', '257', '279', '301']
['16', '38', '60', '82', '104', '126', '148', '170', '192', '214', '236', '258', '280', '302']
['17', '39', '61', '83', '105', '127', '149', '171', '193', '215', '237', '259', '281', '303']
['18', '40', '62', '84', '106', '128', '150', '172', '194', '216', '238', '260', '282', '304']
['19', '41', '63', '85', '107', '129', '151', '173', '195', '217', '239', '261', '283', '305']
['20', '42', '64', '86', '108', '130', '152', '174', '196', '218', '240', '262', '284', '306']
['43', '65', '87', '109', '131', '153', '175', '197', '219', '241', '263', '285']
