['SirJellyTheTrueVampireSniffer', 'QueenBarneyTheMightyZombieEater', 'QueenBarneyTheMightyDragonSniffer', 'MasterJellyTheGreatDragonHunter', 'DuchessShadowTheTrueVampireFinder', 'DuchessBarneyTheBraveZombieMaker', 'QueenFluffyTheMightyVampireEater', 'DukeFluffyTheMightyZombieFinder', 'MasterTrinityTheHeroicDragonHunter', 'LordJellyTheTrueMonsterMaker', 'MasterBarneyTheHeroicVampireMaker', 'DuchessBarneyTheGreatDragonMaker', 'SirFluffyTheGreatMonsterHunter', 'QueenFluffyTheMightyRobotEater', 'MasterBarneyTheGreatDragonEater', 'LordFluffyTheTrueMonsterSniffer', 'MasterJellyTheGreatZombieHunter', 'QueenSushiTheTrueVampireEater', 'QueenBeetleTheGreatMonsterFinder', 'MasterSushiTheBraveDragonFinder']
['SirBarneyTheGreatZombieEater', 'DuchessBarneyTheMightyVampireFinder', 'DuchessFluffyTheTrueRobotFinder', 'MasterJellyTheTrueDragonMaker', 'DuchessTrinityTheTrueZombieEater', 'MasterJellyTheMightyDragonFinder', 'MasterBarneyTheTrueDragonFinder', 'MasterSushiTheHeroicRobotSniffer', 'DukeShadowTheHeroicVampireHunter', 'MasterSushiTheMightyZombieHunter', 'DukeSushiTheTrueMonsterEater', 'QueenBarneyTheBraveMonsterHunter', 'QueenBarneyTheMightyZombieHunter', 'QueenSushiTheHeroicVampireMaker', 'DuchessBarneyTheBraveMonsterHunter', 'QueenBarneyTheGreatRobotFinder', 'MadameJellyTheBraveDragonEater', 'MasterBeetleTheMightyDragonMaker', 'DuchessShadowTheMightyVampireFinder', 'MadameBarneyTheMightyRobotHunter']
['DuchessSushiTheHeroicRobotHunter', 'LordJellyTheTrueDragonEater', 'DukeJellyTheGreatMonsterFinder', 'QueenShadowTheHeroicMonsterSniffer', 'SirSushiTheTrueDragonMaker', 'DukeBeetleTheHeroicVampireFinder', 'MadameTrinityTheHeroicMonsterEater', 'DukeSushiTheTrueDragonFinder', 'LordBarneyTheMightyDragonEater', 'QueenSushiTheMightyMonsterEater', 'SirBarneyTheBraveRobotHunter', 'SirShadowTheMightyDragonHunter', 'MadameTrinityTheGreatZombieEater', 'MasterJellyTheHeroicRobotHunter', 'QueenFluffyTheBraveDragonFinder', 'LordFluffyTheBraveVampireHunter', 'LordFluffyTheMightyDragonSniffer', 'DukeTrinityTheBraveMonsterMaker', 'DuchessFluffyTheGreatZombieSniffer', 'DukeShadowTheBraveRobotEater']
['DuchessTrinityTheGreatVampireFinder', 'DuchessShadowTheBraveZombieHunter', 'DukeFluffyTheMightyZombieHunter', 'MasterBeetleTheTrueMonsterFinder', 'SirSushiTheBraveDragonMaker', 'MasterShadowTheHeroicMonsterSniffer', 'MadameFluffyTheTrueMonsterEater', 'LordJellyTheBraveZombieEater', 'MasterBeetleTheGreatRobotSniffer', 'SirBarneyTheTrueVampireEater', 'LordSushiTheMightyZombieFinder', 'QueenTrinityTheBraveMonsterFinder', 'LordShadowTheHeroicDragonHunter', 'DuchessTrinityTheGreatZombieFinder', 'MasterJellyTheHeroicMonsterHunter', 'MasterBarneyTheTrueMonsterMaker', 'MadameShadowTheGreatVampireFinder', 'DuchessShadowTheMightyMonsterSniffer', 'QueenShadowTheBraveRobotFinder', 'MasterTrinityTheMightyVampireEater']
['MadameShadowTheGreatZombieSniffer', 'MasterTrinityTheMightyRobotSniffer', 'LordBeetleTheBraveDragonHunter', 'QueenFluffyTheBraveRobotFinder', 'SirShadowTheMightyRobotSniffer', 'MadameFluffyTheTrueVampireFinder', 'MasterSushiTheBraveRobotEater', 'DukeTrinityTheHeroicRobotMaker', 'MadameBeetleTheTrueVampireEater', 'DukeJellyTheHeroicDragonHunter', 'MadameSushiTheTrueRobotEater', 'DukeBeetleTheHeroicZombieMaker', 'SirBeetleTheBraveZombieEater', 'SirBeetleTheBraveRobotHunter', 'QueenBeetleTheBraveVampireMaker', 'DuchessBarneyTheTrueDragonMaker', 'DuchessBeetleTheTrueZombieEater', 'LordBeetleTheMightyZombieSniffer', 'SirShadowTheBraveZombieFinder', 'QueenBarneyTheTrueRobotFinder']
['LordSushiTheHeroicDragonMaker', 'QueenBarneyTheHeroicZombieHunter', 'LordShadowTheBraveRobotMaker', 'MasterBeetleTheMightyVampireSniffer', 'DukeJellyTheMightyDragonFinder', 'MasterJellyTheMightyRobotEater', 'DuchessFluffyTheMightyRobotMaker', 'DukeShadowTheBraveVampireHunter', 'QueenBarneyTheBraveVampireHunter', 'DuchessBeetleTheBraveDragonEater', 'DukeJellyTheBraveVampireFinder', 'MasterBeetleTheTrueVampireMaker', 'DukeJellyTheBraveZombieEater', 'SirShadowTheHeroicVampireEater', 'MadameJellyTheGreatMonsterEater', 'LordSushiTheHeroicRobotEater', 'MasterBeetleTheHeroicRobotFinder', 'SirShadowTheMightyZombieEater', 'MasterShadowTheGreatRobotSniffer', 'MadameBarneyTheGreatMonsterSniffer']
['QueenBeetleTheMightyRobotMaker', 'DuchessBeetleTheTrueDragonFinder', 'MadameJellyTheTrueRobotEater', 'SirBarneyTheMightyRobotSniffer', 'QueenSushiTheTrueZombieEater', 'MadameSushiTheGreatRobotFinder', 'QueenBeetleTheBraveVampireFinder', 'DukeSushiTheGreatDragonSniffer', 'SirShadowTheGreatRobotMaker', 'SirBeetleTheTrueRobotHunter', 'MadameJellyTheMightyZombieMaker', 'MasterFluffyTheHeroicMonsterEater', 'LordFluffyTheMightyVampireFinder', 'LordShadowTheBraveVampireHunter', 'LordJellyTheGreatRobotHunter', 'DuchessBeetleTheGreatMonsterEater', 'MasterFluffyTheBraveVampireFinder', 'DuchessFluffyTheBraveDragonHunter', 'DuchessTrinityTheTrueDragonEater', 'MadameFluffyTheHeroicDragonMaker']
['LordFluffyTheGreatMonsterFinder', 'DukeJellyTheTrueMonsterMaker', 'DuchessSushiTheBraveMonsterHunter', 'LordFluffyTheTrueMonsterMaker', 'LordBeetleTheMightyZombieFinder', 'SirFluffyTheBraveMonsterMaker', 'MasterTrinityTheHeroicMonsterSniffer', 'DuchessSushiTheGreatVampireFinder', 'MasterShadowTheBraveDragonFinder', 'LordBarneyTheBraveRobotFinder', 'DuchessSushiTheTrueMonsterFinder', 'MadameJellyTheGreatVampireFinder', 'SirShadowTheHeroicRobotMaker', 'SirTrinityTheMightyMonsterSniffer', 'LordBeetleTheHeroicMonsterSniffer', 'MasterSushiTheHeroicZombieHunter', 'MadameShadowTheMightyDragonEater', 'MadameBarneyTheBraveVampireSniffer', 'LordFluffyTheMightyRobotSniffer', 'QueenFluffyTheBraveRobotHunter']
['QueenBeetleTheGreatMonsterEater', 'QueenJellyTheMightyMonsterMaker', 'DuchessShadowTheHeroicZombieFinder', 'MasterSushiTheMightyVampireHunter', 'DukeFluffyTheGreatRobotEater', 'DukeTrinityTheBraveRobotEater', 'SirBarneyTheGreatRobotEater', 'DukeJellyTheHeroicRobotHunter', 'QueenSushiTheHeroicVampireFinder', 'LordSushiTheBraveZombieSniffer', 'LordBeetleTheMightyMonsterMaker', 'MasterShadowTheTrueDragonSniffer', 'MasterShadowTheGreatRobotHunter', 'MadameSushiTheMightyDragonSniffer', 'DukeBeetleTheMightyRobotHunter', 'MadameFluffyTheHeroicVampireMaker', 'MasterTrinityTheBraveMonsterMaker', 'DukeJellyTheMightyRobotSniffer', 'DukeBarneyTheMightyRobotSniffer', 'QueenBeetleTheTrueRobotEater']
['SirTrinityTheGreatRobotMaker', 'MadameBarneyTheMightyVampireMaker', 'DukeSushiTheBraveDragonFinder', 'DukeBarneyTheTrueVampireEater', 'DuchessJellyTheHeroicMonsterMaker', 'DuchessBarneyTheMightyVampireSniffer', 'MadameBeetleTheHeroicDragonFinder', 'DukeJellyTheTrueRobotFinder', 'MadameSushiTheMightyZombieHunter', 'QueenJellyTheHeroicZombieEater', 'QueenShadowTheTrueVampireSniffer', 'MasterJellyTheMightyMonsterHunter', 'LordSushiTheGreatDragonEater', 'QueenJellyTheGreatMonsterFinder', 'MadameSushiTheMightyRobotMaker', 'SirFluffyTheTrueRobotEater', 'LordFluffyTheMightyVampireMaker', 'DuchessJellyTheHeroicVampireHunter', 'DukeJellyTheGreatDragonFinder', 'DuchessFluffyTheTrueVampireFinder']
['LordSushiTheBraveVampireEater', 'QueenJellyTheGreatRobotMaker', 'SirJellyTheHeroicZombieEater', 'MasterBeetleTheHeroicZombieMaker', 'SirShadowTheGreatZombieSniffer', 'QueenFluffyTheBraveVampireHunter', 'MasterBarneyTheGreatRobotEater', 'SirBeetleTheHeroicMonsterEater', 'DukeShadowTheMightyMonsterMaker', 'SirFluffyTheTrueMonsterFinder', 'MasterJellyTheMightyZombieEater', 'QueenBarneyTheMightyMonsterEater', 'SirBarneyTheHeroicRobotSniffer', 'QueenTrinityTheBraveVampireSniffer', 'DukeShadowTheMightyRobotEater', 'MasterTrinityTheHeroicZombieMaker', 'MadameShadowTheGreatZombieMaker', 'MasterBarneyTheBraveVampireFinder', 'MasterSushiTheTrueMonsterEater', 'QueenFluffyTheHeroicMonsterMaker']
