['283', '138', '403', '487', '62']
['375', '51', '306', '372', '186']
['44', '228', '159', '287', '305']
['319', '356', '112', '344', '433']
['343', '53', '349', '380', '427']
['491', '249', '333', '301', '411']
['89', '141', '400', '131', '94']
['48', '282', '458', '66', '415']
['199', '218', '21', '178', '316']
['225', '315', '253', '113', '40']
['204', '92', '299', '359', '486']
['241', '244', '25', '132', '498']
['331', '196', '39', '303', '125']
['437', '85', '6', '240', '477']
['33', '493', '309', '17', '263']
['202', '412', '494', '1', '100']
['153', '462', '147', '117', '485']
['425', '61', '345', '105', '452']
['63', '109', '229', '371', '245']
['106', '295', '414', '50', '289']
['139', '29', '396', '31', '242']
['424', '190', '188', '350', '197']
['166', '466', '234', '200', '496']
['464', '335', '95', '11', '258']
['108', '489', '277', '355', '444']
['185', '220', '307', '215', '476']
['358', '383', '413', '318', '293']
['150', '404', '492', '292', '260']
['290', '81', '80', '46', '471']
['121', '246', '67', '377', '416']
['173', '480', '259', '438', '454']
['148', '233', '157', '198', '332']
['12', '406', '213', '8', '87']
['223', '387', '313', '357', '402']
['365', '107', '65', '232', '270']
['182', '483', '389', '111', '463']
['451', '326', '174', '337', '475']
['408', '7', '247', '73', '373']
['183', '405', '226', '68', '268']
['209', '286', '325', '348', '156']
['436', '435', '251', '219', '336']
['20', '168', '398', '82', '257']
['324', '120', '271', '248', '69']
['165', '465', '366', '23', '222']
['255', '28', '409', '499', '285']
['57', '236', '330', '311', '22']
['453', '160', '455', '252', '103']
['243', '467', '201', '18', '352']
['393', '214', '55', '235', '478']
['104', '41', '450', '422', '431']
['122', '96', '441', '212', '83']
['334', '346', '280', '162', '127']
['265', '102', '124', '216', '407']
['369', '59', '482', '15', '320']
['317', '385', '488', '118', '32']
['49', '76', '386', '140', '302']
['448', '360', '79', '354', '474']
['363', '191', '97', '262', '37']
['347', '395', '207', '308', '310']
['497', '445', '158', '128', '184']
['170', '3', '353', '397', '171']
['136', '154', '176', '284', '93']
['189', '99', '314', '291', '143']
['211', '77', '275', '155', '130']
['472', '205', '144', '327', '261']
['272', '137', '152', '468', '177']
['297', '114', '164', '13', '126']
['367', '116', '266', '410', '273']
['364', '298', '484', '110', '145']
['432', '179', '151', '142', '328']
['60', '16', '479', '419', '4']
['267', '461', '390', '90', '469']
['264', '429', '163', '180', '384']
['0', '74', '224', '42', '123']
['227', '374', '38', '443', '428']
['88', '420', '56', '370', '456']
['439', '323', '24', '341', '495']
['5', '86', '146', '250', '423']
['447', '206', '26', '194', '434']
['84', '208', '30', '9', '368']
['10', '382', '134', '70', '329']
['47', '481', '394', '340', '379']
['221', '230', '421', '256', '167']
['161', '172', '470', '195', '101']
['45', '362', '72', '269', '36']
['351', '78', '54', '276', '294']
['304', '237', '238', '27', '392']
['361', '254', '181', '391', '210']
['115', '459', '473', '52', '401']
['192', '133', '231', '64', '426']
['399', '378', '203', '58', '418']
['175', '449', '71', '440', '98']
['442', '279', '342', '149', '169']
['217', '135', '193', '14', '43']
['376', '19', '187', '430', '91']
['490', '119', '274', '446', '312']
['35', '388', '300', '322', '2']
['460', '381', '75', '278', '281']
['417', '296', '339', '338', '321']
['457', '129', '34', '239', '288']
