['481', '274', '92', '383', '355', '358', '456', '366', '63', '369', '71', '122', '64', '238', '286', '353']
['457', '136', '126', '262', '203', '28', '295', '495', '94', '210', '89', '17', '474', '331', '452', '382']
['4', '446', '213', '371', '272', '45', '352', '42', '246', '359', '292', '200', '317', '125', '269', '111']
['115', '336', '166', '93', '330', '182', '321', '103', '135', '84', '492', '102', '158', '230', '187', '61']
['476', '322', '209', '157', '298', '13', '428', '260', '264', '214', '346', '99', '165', '132', '98', '33']
['243', '232', '194', '339', '467', '277', '215', '219', '465', '188', '67', '19', '389', '172', '140', '1']
['349', '341', '72', '357', '51', '35', '77', '351', '490', '32', '439', '403', '147', '282', '291', '438']
['75', '66', '121', '449', '409', '315', '463', '360', '24', '486', '374', '85', '429', '114', '325', '160']
['376', '224', '379', '36', '401', '424', '432', '373', '173', '113', '223', '191', '303', '392', '110', '83']
['144', '120', '471', '245', '397', '116', '404', '469', '181', '50', '134', '184', '445', '155', '284', '477']
['197', '493', '459', '400', '218', '422', '105', '101', '444', '265', '416', '23', '431', '228', '25', '304']
['119', '308', '68', '37', '313', '202', '189', '276', '107', '21', '484', '206', '280', '398', '279', '283']
['56', '365', '347', '475', '82', '482', '234', '235', '70', '407', '483', '425', '185', '74', '478', '443']
['252', '131', '7', '460', '150', '139', '174', '275', '310', '340', '319', '368', '65', '192', '327', '278']
['171', '363', '141', '447', '297', '453', '259', '6', '12', '109', '34', '162', '417', '221', '244', '489']
['118', '437', '48', '406', '435', '430', '480', '57', '236', '472', '261', '381', '149', '133', '29', '20']
['130', '170', '294', '488', '266', '361', '195', '222', '333', '76', '464', '402', '411', '96', '350', '175']
['300', '384', '196', '59', '168', '328', '312', '496', '231', '129', '441', '470', '248', '332', '237', '289']
['225', '448', '270', '88', '461', '247', '100', '378', '44', '394', '419', '410', '421', '156', '159', '367']
['106', '10', '405', '90', '256', '233', '3', '329', '15', '281', '255', '372', '229', '458', '226', '117']
['253', '95', '293', '128', '148', '370', '434', '479', '290', '31', '239', '377', '302', '415', '151', '142']
['2', '436', '205', '27', '391', '240', '423', '104', '146', '86', '326', '427', '413', '138', '207', '258']
['78', '485', '54', '316', '306', '356', '450', '420', '299', '342', '268', '451', '55', '386', '433', '487']
['124', '362', '49', '408', '179', '220', '112', '176', '108', '468', '385', '204', '79', '161', '491', '320']
['62', '241', '473', '58', '8', '380', '334', '127', '198', '314', '211', '257', '440', '22', '254', '343']
['395', '494', '242', '18', '390', '14', '145', '462', '80', '344', '201', '324', '393', '177', '137', '186']
['412', '227', '466', '455', '5', '263', '52', '39', '287', '40', '91', '301', '273', '305', '38', '396']
['212', '143', '309', '11', '152', '354', '180', '60', '73', '337', '97', '167', '323', '208', '271', '311']
['426', '345', '26', '47', '296', '307', '216', '16', '364', '267', '163', '388', '318', '43', '375', '169']
['9', '251', '348', '153', '53', '387', '217', '288', '249', '335', '123', '418', '178', '164', '399', '81']
['414', '154', '193', '338', '199', '46', '69', '250', '285', '454', '30', '190', '87', '442', '41', '183']
