['234', '312', '377', '457', '484', '376', '310', '411', '106', '421']
['242', '410', '436', '343', '460', '288', '301', '181', '250', '185']
['380', '431', '43', '162', '470', '40', '344', '174', '114', '171']
['313', '392', '57', '307', '107', '364', '300', '194', '118', '367']
['309', '378', '368', '395', '255', '356', '256', '382', '120', '251']
['63', '254', '497', '446', '153', '188', '366', '104', '203', '454']
['248', '416', '270', '47', '328', '479', '396', '128', '281', '91']
['74', '216', '105', '487', '394', '447', '177', '119', '408', '218']
['262', '17', '346', '399', '52', '191', '160', '252', '304', '246']
['276', '184', '496', '386', '141', '402', '385', '379', '452', '51']
['36', '231', '268', '375', '5', '317', '146', '69', '93', '450']
['354', '331', '139', '132', '27', '347', '9', '97', '180', '125']
['491', '22', '83', '32', '62', '232', '166', '142', '164', '280']
['205', '87', '389', '21', '463', '76', '165', '261', '170', '412']
['158', '144', '409', '186', '283', '154', '35', '443', '418', '207']
['148', '365', '197', '121', '111', '225', '415', '489', '202', '341']
['362', '273', '245', '289', '294', '189', '439', '161', '33', '179']
['94', '319', '492', '384', '68', '426', '214', '64', '490', '453']
['215', '182', '46', '383', '133', '18', '432', '19', '485', '458']
['109', '493', '233', '472', '58', '15', '187', '108', '75', '70']
['28', '335', '79', '110', '257', '37', '315', '466', '267', '353']
['178', '473', '220', '117', '247', '224', '96', '138', '38', '41']
['24', '113', '314', '59', '427', '429', '475', '495', '88', '444']
['370', '176', '442', '65', '449', '437', '7', '483', '244', '293']
['306', '430', '327', '198', '243', '321', '387', '274', '50', '499']
['372', '350', '156', '2', '269', '149', '413', '227', '55', '351']
['13', '183', '217', '61', '311', '101', '228', '115', '60', '336']
['263', '292', '264', '71', '334', '456', '440', '296', '260', '157']
['486', '417', '34', '56', '130', '298', '195', '23', '326', '388']
['102', '73', '414', '221', '72', '77', '238', '206', '212', '279']
['53', '3', '469', '272', '145', '333', '271', '201', '209', '258']
['213', '400', '287', '433', '284', '481', '134', '303', '275', '404']
['90', '419', '428', '498', '152', '330', '1', '357', '422', '196']
['78', '222', '282', '467', '494', '318', '103', '340', '8', '323']
['291', '391', '236', '6', '67', '471', '116', '339', '316', '302']
['329', '349', '11', '175', '423', '173', '85', '480', '295', '393']
['266', '84', '478', '369', '210', '211', '438', '193', '477', '192']
['420', '124', '322', '31', '253', '39', '82', '155', '390', '305']
['241', '10', '200', '337', '360', '30', '143', '100', '89', '290']
['325', '320', '112', '397', '277', '54', '355', '265', '299', '249']
['29', '403', '226', '345', '131', '168', '406', '237', '358', '26']
['81', '99', '163', '147', '342', '208', '363', '407', '286', '451']
['42', '465', '151', '461', '135', '86', '338', '129', '122', '169']
['459', '204', '482', '127', '126', '136', '240', '123', '398', '98']
['468', '324', '66', '425', '441', '348', '435', '0', '20', '44']
['172', '14', '25', '229', '488', '448', '381', '361', '401', '332']
['352', '285', '219', '474', '259', '359', '167', '48', '140', '405']
['190', '199', '95', '80', '374', '150', '49', '424', '235', '373']
['278', '371', '308', '462', '45', '434', '16', '455', '4', '230']
['476', '239', '223', '464', '445', '159', '137', '297', '92', '12']
